"/uav_ground_truth/pose/pose/position/y_x","/uav_ground_truth/pose/pose/position/y_y","/del_uav/KF_pose/y_x","/del_uav/KF_pose/y_y","/ual/pose/pose/position/y_x","/ual/pose/pose/position/y_y"
0.28,0.001166606789,0.306,-0.0887303241,0.298,0.009703172371,
0.3,0.001169404351,0.357,-0.08880722455,0.335,-0.0008534730878,
0.32,0.001172259088,0.374,-0.08880722463,0.361,-0.00582044106,
0.34,0.00117318527,0.409,-0.09868806564,0.406,-0.01448222157,
0.36,0.001176063799,0.441,-0.09868806562,0.446,-0.01752728783,
0.38,0.001178721422,0.476,-0.09868806548,0.478,-0.02159891836,
0.4,0.001181722775,0.515,-0.1086513347,0.498,-0.02433097735,
0.42,0.001184703093,0.552,-0.1086513345,0.546,-0.02865187824,
0.44,0.001187568973,0.6,-0.1086513342,0.562,-0.02935404517,
0.46,0.001190623036,0.612,-0.1086513337,0.61,-0.02349448577,
0.48,0.001193541716,0.645,-0.09876127149,0.645,-0.02064172924,
0.5,0.001196351326,0.675,-0.09873670343,0.662,-0.0189575348,
0.52,0.001199843723,0.713,-0.09873670308,0.707,-0.01405275054,
0.54,0.001203477242,0.746,-0.09873670282,0.741,-0.01185309887,
0.56,0.001206558077,0.774,-0.09825801807,0.779,-0.01249621809,
0.58,0.001209623872,0.809,-0.09825801699,0.802,-0.01333465893,
0.6,0.001212650437,0.844,-0.09825801638,0.839,-0.01414356474,
0.62,0.001215789948,0.887,-0.09825801567,0.862,-0.01467073802,
0.64,0.001218893556,0.912,-0.09825801521,0.894,-0.01546273474,
0.66,0.001221945281,0.96,-0.09754039895,0.935,-0.01974742673,
0.68,0.001224920385,0.976,-0.09754039858,0.962,-0.02225049213,
0.7,0.001227738877,1.01,-0.108098621,1.004,-0.02258651145,
0.72,0.00123071428,1.041,-0.09826001206,1.043,-0.02132000029,
0.74,0.001233711037,1.079,-0.09800273882,1.06,-0.02039027959,
0.76,0.001237071154,1.11,-0.09800273924,1.102,-0.01829013787,
0.78,0.001240375782,1.159,-0.09800273976,1.141,-0.01901166327,
0.8,0.001243604006,1.18,-0.09800274007,1.173,-0.02099413238,
0.82,0.001245678454,1.212,-0.09800274057,1.203,-0.02358906902,
0.84,0.001249049376,1.251,-0.1081094972,1.228,-0.0277647581,
0.86,0.001252936021,1.277,-0.108109498,1.273,-0.03323581442,
0.88,0.00125417289,1.308,-0.1179438886,1.295,-0.03631614894,
0.9,0.001253844375,1.347,-0.1176026835,1.34,-0.0424279049,
0.92,0.001257290682,1.38,-0.1274249084,1.378,-0.04698385671,
0.94,0.001260360064,1.409,-0.1274249099,1.4,-0.04570998996,
0.96,0.001263524805,1.441,-0.1176026872,1.437,-0.04252276942,
0.98,0.00126688592,1.475,-0.1170806393,1.468,-0.04020667076,
1,0.001270257684,1.509,-0.1170806395,1.509,-0.04004102573,
1.02,0.001273404572,1.543,-0.1170806399,1.536,-0.04032500461,
1.04,0.001276777208,1.576,-0.1178835053,1.576,-0.0370663479,
1.06,0.001280158796,1.604,-0.1178835055,1.592,-0.03357130662,
1.08,0.001283410266,1.648,-0.1079728343,1.64,-0.02695473097,
1.1,0.001286802688,1.679,-0.1079728344,1.669,-0.02346264385,
1.12,0.001290180094,1.707,-0.09813362645,1.692,-0.01992300898,
1.14,0.001293382099,1.742,-0.09813362685,1.736,-0.01025120541,
1.16,0.001297330975,1.793,-0.08829441899,1.761,-0.005613012705,
1.18,0.001300459353,1.81,-0.08829441922,1.812,-0.0003664445248,
1.2,0.001303551873,1.842,-0.08779705461,1.837,0.001245390158,
1.22,0.001306983659,1.877,-0.08779705481,1.875,0.005154570099,
1.24,0.00131046461,1.907,-0.08779705501,1.896,0.006043989211,
1.26,0.001313767222,1.943,-0.08842716342,1.928,0.003879769938,
1.28,0.00131710348,1.967,-0.08842716365,1.973,0.004866702016,
1.3,0.001320300188,2.008,-0.08842716392,2.009,0.00842921529,
1.32,0.001325368239,2.04,-0.08842716433,2.04,0.01186513435,
1.34,0.001326497229,2.074,-0.07857282806,2.077,0.01931648329,
1.36,0.001328468098,2.108,-0.06871849182,2.095,0.02410525456,
1.38,0.001331001689,2.144,-0.0682882693,2.143,0.03631236777,
1.4,0.001334718579,2.18,-0.05848235748,2.163,0.04502233863,
1.42,0.001338412728,2.206,-0.04867644569,2.209,0.0550647974,
1.44,0.001342134224,2.25,-0.0388705339,2.243,0.06050411612,
1.46,0.001345919065,2.273,-0.03937708692,2.262,0.06638830155,
1.48,0.001349452828,2.307,-0.01963390074,2.303,0.08025471866,
1.5,0.001352767064,2.343,-0.00976230763,2.342,0.09569541365,
1.52,0.001352528813,2.372,-0.009762307625,2.363,0.1052534729,
1.54,0.001358086156,2.408,0.0001092854632,2.4,0.1073630452,
1.56,0.00136040919,2.451,0.01004429132,2.436,0.111877501,
1.58,0.001363436808,2.473,0.01004429132,2.46,0.1147673205,
1.6,0.001366851634,2.51,0.01987243226,2.499,0.1255579591,
1.62,0.001370127994,2.543,0.02970057312,2.538,0.1408303827,
1.64,0.001373573033,2.576,0.03973886994,2.573,0.1545193493,
1.66,0.00137701799,2.607,0.04960379234,2.611,0.1574822515,
1.68,0.001380465145,2.64,0.04960379213,2.631,0.1588728279,
1.7,0.00138405382,2.673,0.04914719887,2.665,0.1635800004,
1.72,0.001387764431,2.711,0.05893716348,2.695,0.170784235,
1.74,0.001391264602,2.741,0.06872712812,2.739,0.1876123995,
1.76,0.00139460549,2.772,0.08830705742,2.771,0.2021847069,
1.78,0.0013981105,2.807,0.0891382739,2.808,0.2024138272,
1.8,0.00140165065,2.842,0.08913827383,2.844,0.2052898109,
1.82,0.001405070671,2.874,0.08855584906,2.859,0.2093667686,
1.84,0.001407436652,2.907,0.09836622291,2.906,0.218361184,
1.86,0.00140887141,2.94,0.1081765967,2.937,0.2290238887,
1.88,0.001412270551,2.973,0.1179869701,2.97,0.2297742218,
1.9,0.001415968132,3.01,0.09903874945,3.011,0.2114647031,
1.92,0.001419276823,3.039,0.08916098779,3.036,0.206466794,
1.94,0.001422304527,3.073,0.07928322623,3.075,0.1991232336,
1.96,0.001425859724,3.106,0.07928322547,3.112,0.1925990433,
1.98,0.00142922486,3.142,0.07893670482,3.138,0.1916515827,
2,0.001432511173,3.178,0.07893670407,3.178,0.1906990856,
2.02,0.00143592086,3.21,0.079356433,3.204,0.1841003448,
2.04,0.001439466871,3.241,0.05957529352,3.244,0.1656736583,
2.06,0.001443015389,3.274,0.0496847238,3.276,0.1516497582,
2.08,0.001446274891,3.307,0.03979415405,3.309,0.139156431,
2.1,0.001449822181,3.34,0.02000971139,3.34,0.1233813614,
2.12,0.001453338778,3.377,0.01012028693,3.379,0.1074365228,
2.14,0.001456549263,3.406,-0.00960422339,3.391,0.09505928308,
2.16,0.001459789666,3.441,-0.0195319865,3.438,0.07063060254,
2.18,0.001463198946,3.473,-0.04931527607,3.465,0.0478877537,
2.2,0.001466807141,3.507,-0.06877555812,3.5,0.02367069758,
2.22,0.001470671229,3.54,-0.08849752402,3.54,0.003815313103,
2.24,0.001474286927,3.574,-0.08849752456,3.573,-0.01558726653,
2.26,0.001477848992,3.61,-0.0982734361,3.594,-0.02157392912,
2.28,0.00148121223,3.643,-0.1081237005,3.642,-0.03317140043,
2.3,0.001484514231,3.673,-0.1177955244,3.667,-0.04045202583,
2.32,0.001488030587,3.709,-0.1177955245,3.708,-0.05131413788,
2.34,0.001490174659,3.741,-0.1374513059,3.729,-0.05709789321,
2.36,0.001493533569,3.775,-0.1374513061,3.769,-0.06964285672,
2.38,0.001496754445,3.807,-0.1472791967,3.793,-0.07596314698,
2.4,0.001500141386,3.84,-0.157107088,3.842,-0.08235537261,
2.42,0.001503745869,3.873,-0.1571070882,3.867,-0.0855274573,
2.44,0.001507492851,3.907,-0.1677510502,3.906,-0.09232646972,
2.46,0.001508999116,3.94,-0.1677510509,3.942,-0.1008911505,
2.48,0.001512264229,3.974,-0.1776344807,3.978,-0.1109054387,
2.5,0.001515514643,4.009,-0.1864817543,3.997,-0.1131669655,
2.52,0.001518603328,4.04,-0.1864817541,4.033,-0.1114795804,
2.54,0.001522136513,4.073,-0.1864817541,4.064,-0.1120448783,
2.56,0.001525608366,4.112,-0.1869508653,4.097,-0.1139967516,
2.58,0.001528993459,4.141,-0.1869508654,4.142,-0.115435876,
2.6,0.001532363619,4.173,-0.1869508654,4.179,-0.1193355098,
2.62,0.00153640115,4.207,-0.1869508654,4.197,-0.1217245981,
2.64,0.001540362073,4.242,-0.1863439121,4.232,-0.1151226833,
2.66,0.001543768401,4.273,-0.1765312157,4.265,-0.1057607979,
2.68,0.001547182776,4.306,-0.1765312163,4.301,-0.102448523,
2.7,0.001550503524,4.34,-0.1765312168,4.341,-0.1025833562,
2.72,0.001554046293,4.373,-0.1763294811,4.375,-0.1052227914,
2.74,0.001557618998,4.407,-0.176329482,4.409,-0.1012733504,
2.76,0.001560459349,4.441,-0.1667708503,4.429,-0.09906643629,
2.78,0.001563586168,4.473,-0.1667708513,4.466,-0.09395878762,
2.8,0.001566840746,4.508,-0.1667587183,4.496,-0.09327472001,
2.82,0.001568869521,4.541,-0.166758719,4.538,-0.09324824065,
2.84,0.001571489766,4.573,-0.1674712224,4.573,-0.0929164812,
2.86,0.00157454918,4.606,-0.1576158556,4.604,-0.086522609,
2.88,0.001578831405,4.64,-0.1580108403,4.641,-0.07782246917,
2.9,0.001576182496,4.666,-0.1481213302,4.679,-0.06965434551,
2.92,0.001579268003,4.708,-0.1382318201,4.7,-0.06564740092,
2.94,0.001582342127,4.742,-0.1382318201,4.742,-0.06199607998,
2.96,0.001585746236,4.777,-0.1382318204,4.777,-0.05809234083,
2.98,0.001588830657,4.813,-0.1283423105,4.797,-0.05504172668,
3,0.001590316018,4.843,-0.1283423109,4.837,-0.0508701466,
3.02,0.001590888153,4.877,-0.1269052612,4.876,-0.04844391346,
3.04,0.001591141687,4.907,-0.1269052616,4.903,-0.05121670663,
3.06,0.001591264324,4.94,-0.1273249862,4.936,-0.05322216451,
3.08,0.001591326562,4.966,-0.1371353148,4.976,-0.05736421421,
3.1,0.001591361822,5.007,-0.137135315,4.994,-0.05850159004,
3.12,0.001591392691,5.04,-0.1382902768,5.038,-0.05794072524,
3.14,0.001591417324,5.073,-0.1382902767,5.076,-0.0619392544,
3.16,0.001591424148,5.106,-0.1382902766,5.098,-0.06306687742,
3.18,0.001591426788,5.14,-0.147045746,5.143,-0.06862741709,
3.2,0.001591436305,5.173,-0.1470457458,5.165,-0.07217823714,
3.22,0.001591466015,5.208,-0.1476992061,5.209,-0.0789642185,
3.24,0.001591501866,5.238,-0.1575444688,5.227,-0.07769949734,
3.26,0.001591531709,5.281,-0.1575444685,5.266,-0.07950405777,
3.28,0.001591572258,5.315,-0.1575444683,5.302,-0.08278297633,
3.3,0.001591618744,5.347,-0.1572191394,5.327,-0.08682754636,
3.32,0.001591662189,5.374,-0.1670443902,5.366,-0.09210070968,
3.34,0.001591699798,5.407,-0.1670443904,5.401,-0.09146305919,
3.36,0.001591732395,5.44,-0.1560126013,5.446,-0.08554466069,
3.38,0.001591756,5.475,-0.1560126011,5.458,-0.08365767449,
3.4,0.001591773688,5.508,-0.1560126012,5.506,-0.08280336112,
3.42,0.001591789268,5.54,-0.156012601,5.529,-0.0838233754,
3.44,0.001591810019,5.572,-0.1578556306,5.563,-0.08549358696,
3.46,0.001591901629,5.609,-0.1578556305,5.605,-0.08311218023,
3.48,0.001593142515,5.643,-0.1563318607,5.638,-0.07771467417,
3.5,0.00158958259,5.681,-0.1465608305,5.66,-0.07531962544,
3.52,0.001584964598,5.707,-0.1465608303,5.703,-0.07171148807,
3.54,0.001579112056,5.741,-0.1465608299,5.744,-0.07075446099,
3.56,0.001568370149,5.779,-0.147413686,5.777,-0.07106935978,
3.58,0.001556875254,5.806,-0.1474136857,5.796,-0.07159485668,
3.6,0.001539537367,5.847,-0.1375803936,5.84,-0.06456481665,
3.62,0.001523130887,5.869,-0.1375803933,5.864,-0.06275933981,
3.64,0.001501926511,5.91,-0.137106116,5.9,-0.06298098713,
3.66,0.001485750397,5.944,-0.1371061155,5.939,-0.06204686686,
3.68,0.00146268785,5.977,-0.1371061151,5.975,-0.06208388135,
3.7,0.001450802723,6.007,-0.1371061147,6.008,-0.05785667151,
3.72,0.001430562368,6.038,-0.1273096201,6.029,-0.0547221005,
3.74,0.001406864349,6.076,-0.1274421378,6.074,-0.04897150397,
3.76,0.001381084837,6.109,-0.1274421375,6.093,-0.04545429721,
3.78,0.001346704239,6.14,-0.117636469,6.139,-0.04050530493,
3.8,0.001318447924,6.173,-0.1176364685,6.176,-0.03609688953,
3.82,0.001304535991,6.208,-0.1175920905,6.212,-0.02846939862,
3.84,0.001278447703,6.24,-0.1077884342,6.229,-0.02508859336,
3.86,0.001253234038,6.273,-0.09822844452,6.266,-0.01794559695,
3.88,0.001228616374,6.307,-0.09822844545,6.3,-0.01144187432,
3.9,0.001204000869,6.338,-0.08858647772,6.336,-0.005639326293,
3.92,0.001179378117,6.372,-0.08858647937,6.371,-0.0007504069945,
3.94,0.001155868497,6.407,-0.08858648033,6.411,0.002973750466,
3.96,0.001131270299,6.442,-0.09541136491,6.427,0.004336574581,
3.98,0.001106661918,6.478,-0.09541136585,6.468,0.006788670085,
4,0.001083247867,6.513,-0.09541136704,6.492,0.007880839519,
4.02,0.001053678363,6.541,-0.09541136807,6.532,0.009986279532,
4.04,0.001026916156,6.572,-0.08480532865,6.566,0.01243007462,
4.06,0.00100259423,6.611,-0.08480532932,6.601,0.01518604252,
4.08,0.0009775325766,6.661,-0.08610128449,6.621,0.01565748639,
4.1,0.0009527431098,6.674,-0.0861012849,6.672,0.01584169827,
4.12,0.0009280640946,6.707,-0.08610128554,6.711,0.01651819237,
4.14,0.0009044595434,6.74,-0.08610128614,6.728,0.01699351706,
4.16,0.0008807848071,6.774,-0.08610128678,6.767,0.01827038638,
4.18,0.000856094713,6.807,-0.08638552404,6.805,0.01951765455,
4.2,0.0008314914636,6.841,-0.08638552463,6.839,0.0188867636,
4.22,0.0008081007786,6.875,-0.08638552516,6.877,0.01858382672,
4.24,0.0007885662233,6.907,-0.08638552569,6.895,0.01878929883,
4.26,0.0007685274296,6.944,-0.0871856603,6.935,0.01912271604,
4.28,0.0007474412098,6.972,-0.08718566068,6.973,0.01971076056,
4.3,0.0007244848072,7.006,-0.0871856613,7.01,0.01917460747,
4.32,0.0006943367498,7.044,-0.08718566179,7.026,0.01858267188,
4.34,0.0006716338768,7.074,-0.08704354624,7.061,0.01780600101,
4.36,0.0006496395797,7.113,-0.08704354667,7.101,0.0174401924,
4.38,0.0006252474554,7.145,-0.08704354704,7.144,0.01740112156,
4.4,0.0006018808746,7.173,-0.0870435473,7.18,0.01790702716,
4.42,0.0005775104226,7.208,-0.08662123298,7.198,0.01837694272,
4.44,0.0005534485402,7.244,-0.08662123355,7.234,0.01692591235,
4.46,0.0005292648738,7.274,-0.08662123378,7.277,0.01490447856,
4.48,0.0005050226982,7.312,-0.08662123405,7.296,0.01412140112,
4.5,0.0004859191966,7.34,-0.08602522741,7.34,0.01297222171,
4.52,0.0004710718571,7.374,-0.08602522753,7.37,0.01253225654,
4.54,0.0004530376161,7.41,-0.08602522781,7.413,0.01185708493,
4.56,0.0004313978137,7.451,-0.09658599827,7.435,0.009679903276,
4.58,0.0003990894474,7.478,-0.09658599854,7.476,0.005859477911,
4.6,0.0003708736392,7.511,-0.09658599883,7.495,0.004199019633,
4.62,0.0003472145557,7.541,-0.09827366948,7.531,0.0008014781633,
4.64,0.0003157121356,7.577,-0.09827366986,7.57,-0.0009238555795,
