"/uav_ground_truth/pose/pose/position/x_x","/uav_ground_truth/pose/pose/position/x_y","/del_uav/KF_pose/x_x","/del_uav/KF_pose/x_y","/ual/pose/pose/position/x_x","/ual/pose/pose/position/x_y"
0.322,0.0004962217822,0.363,0.01994936664,0.368,-0.1492772698,
0.342,0.0004983144173,0.398,0.03984423189,0.4,-0.1357129514,
0.362,0.0004997997698,0.437,0.04983278293,0.42,-0.1311877966,
0.382,0.000501666894,0.474,0.04983278286,0.468,-0.1246487498,
0.402,0.0005036074063,0.522,0.05978949807,0.484,-0.1198510379,
0.422,0.0005053446424,0.534,0.06974621316,0.532,-0.09299513698,
0.442,0.000507228744,0.567,0.0896596432,0.567,-0.07325319201,
0.462,0.0005092644336,0.597,0.1095943383,0.584,-0.0642574504,
0.482,0.0005113511723,0.635,0.1195519328,0.629,-0.04518185183,
0.502,0.0005136248061,0.668,0.1295095274,0.663,-0.03231287375,
0.522,0.0005160594372,0.696,0.1387966494,0.701,-0.02264617756,
0.542,0.0005188148102,0.731,0.1487153617,0.724,-0.01642169058,
0.562,0.0005208892391,0.766,0.1586340746,0.761,-0.003531972179,
0.582,0.0005230790457,0.809,0.1586340735,0.784,0.003295859555,
0.602,0.000525243532,0.834,0.1586340728,0.816,0.007963430136,
0.622,0.0005271735115,0.882,0.1672386211,0.857,0.01814673655,
0.642,0.0005294027599,0.898,0.1672386205,0.884,0.02385820635,
0.662,0.0005316901678,0.932,0.1784379821,0.926,0.0344048366,
0.682,0.0005344330561,0.963,0.1883428978,0.965,0.0426617004,
0.702,0.0005369099353,1.001,0.1880968187,0.982,0.04536967725,
0.722,0.0005391296259,1.032,0.1979948938,1.024,0.04874364659,
0.742,0.0005420396331,1.081,0.1979948949,1.063,0.05509649962,
0.762,0.0005441124345,1.102,0.2078929699,1.095,0.05897174403,
0.782,0.0005461736497,1.134,0.2078929709,1.125,0.06311603636,
0.802,0.0005485017014,1.173,0.2179593551,1.15,0.07054703683,
0.822,0.0005538798499,1.199,0.2278600247,1.195,0.08331137896,
0.842,0.0005563210885,1.23,0.2377606953,1.217,0.08994688094,
0.862,0.0005589522258,1.269,0.2373698331,1.262,0.1026861966,
0.882,0.0005616524307,1.302,0.247258256,1.3,0.1145224795,
0.902,0.0005647476525,1.331,0.2571466791,1.322,0.1163197607,
0.922,0.0005677733994,1.363,0.2571466812,1.359,0.1215447932,
0.942,0.0005711210335,1.397,0.2655893791,1.39,0.127162531,
0.962,0.0005740240803,1.431,0.2655893795,1.431,0.1314840913,
0.982,0.0005768540969,1.465,0.2754226841,1.458,0.1341335326,
1.002,0.0005794655615,1.498,0.2775979387,1.498,0.1361266971,
1.022,0.0005825866359,1.526,0.2676830927,1.514,0.130277127,
1.042,0.000585936094,1.57,0.2674556225,1.562,0.1238762066,
1.062,0.0005891703104,1.601,0.2674556227,1.591,0.1224454939,
1.082,0.0005881080326,1.629,0.2674556231,1.614,0.1217076704,
1.102,0.0005910628065,1.664,0.2575501049,1.658,0.1219843924,
1.122,0.0005943988973,1.715,0.267455625,1.683,0.123785466,
1.142,0.0005971612007,1.732,0.2674556257,1.734,0.1223327518,
1.162,0.0005998514479,1.764,0.255830457,1.759,0.119268328,
1.182,0.0006025844422,1.799,0.2558304575,1.797,0.1135215089,
1.202,0.0006053813839,1.829,0.2558304581,1.818,0.1107699201,
1.222,0.0006086941051,1.865,0.2479682231,1.85,0.1019114926,
1.242,0.0006069727229,1.889,0.2380474744,1.895,0.09758959711,
1.262,0.0006109680848,1.93,0.2380474751,1.931,0.09270344675,
1.282,0.0006152840359,1.962,0.2380474761,1.962,0.09341483563,
