"/uav_ground_truth/pose/pose/position/z_x","/uav_ground_truth/pose/pose/position/z_y","/ual/pose/pose/position/z_x","/ual/pose/pose/position/z_y","/del_uav/KF_pose/z_x","/del_uav/KF_pose/z_y"
2.038,0.3000000001,3.236,-0.448745966,3.268,-0.4014094428,
2.058,0.3000000002,3.262,-0.4822880924,3.299,-0.4344685698,
2.078,0.3000000002,3.302,-0.4881203473,3.332,-0.4344685698,
2.098,0.3000000002,3.334,-0.5066113472,3.365,-0.4531683172,
2.118,0.3000000002,3.367,-0.5214852691,3.398,-0.4624426964,
2.138,0.3000000001,3.398,-0.5168539286,3.435,-0.4624426964,
2.158,0.3000000001,3.437,-0.4963350594,3.464,-0.4456382652,
2.178,0.3000000001,3.449,-0.4844485819,3.499,-0.4113119782,
2.198,0.3000000001,3.496,-0.4581027329,3.531,-0.4113119782,
2.218,0.3000000002,3.523,-0.4268755615,3.565,-0.3620173016,
2.238,0.3000000002,3.558,-0.3896121383,3.598,-0.3620173016,
2.258,0.3000000001,3.598,-0.3539161384,3.632,-0.3156202022,
2.278,0.3000000002,3.631,-0.3163652122,3.668,-0.2658151467,
2.298,0.3000000001,3.652,-0.2983915806,3.701,-0.2658151467,
2.318,0.3000000001,3.7,-0.2578223646,3.731,-0.2191661355,
2.338,0.3000000001,3.725,-0.2465804815,3.767,-0.2191661355,
2.358,0.3000000001,3.766,-0.2160691917,3.799,-0.1868031987,
2.378,0.2999999999,3.787,-0.210168615,3.833,-0.1868031987,
2.398,0.3000000011,3.827,-0.1943388283,3.865,-0.1650270242,
2.418,0.3000000008,3.851,-0.1856680214,3.898,-0.1650270242,
2.438,0.3000000005,3.9,-0.1545135975,3.931,-0.1236809172,
2.458,0.3000000004,3.925,-0.1391490996,3.965,-0.1243885991,
2.478,0.3000000002,3.964,-0.1068862975,3.998,-0.08076659279,
2.498,0.3000000002,4,-0.08039578795,4.032,-0.08076659279,
2.518,0.3,4.036,-0.06963714957,4.067,-0.06186245126,
2.538,0.300000001,4.055,-0.07541906089,4.098,-0.07346523229,
2.558,0.3000000008,4.091,-0.08269635588,4.131,-0.07346523229,
2.578,0.3000000006,4.122,-0.085261181,4.17,-0.07408012694,
2.598,0.3000000003,4.155,-0.07726225257,4.199,-0.07408012694,
2.618,0.3000000002,4.2,-0.07401441038,4.231,-0.06592422346,
2.638,0.3000000002,4.237,-0.07496345788,4.265,-0.06584857124,
2.658,0.3000000002,4.255,-0.07392945141,4.3,-0.06562405575,
2.678,0.3000000002,4.29,-0.07327568531,4.331,-0.06308140174,
2.698,0.3000000002,4.323,-0.06475783885,4.364,-0.03773979413,
2.718,0.3000000001,4.359,-0.04250800982,4.398,-0.03773979413,
2.738,0.3000000002,4.399,-0.01594047621,4.431,-0.002793720946,
2.758,0.3000000002,4.433,0.01032517198,4.465,-0.002793720946,
2.778,0.3000000002,4.467,0.0421689786,4.499,0.03738623626,
2.798,0.3000000002,4.487,0.0603678152,4.531,0.08837308092,
2.818,0.3000000003,4.524,0.09960512817,4.566,0.08842068472,
2.838,0.3000000002,4.554,0.1345240027,4.599,0.1339188439,
2.858,0.3000000002,4.596,0.1690894663,4.631,0.1344693984,
2.878,0.2999988658,4.631,0.1913607568,4.664,0.1705669641,
2.898,0.3000000002,4.662,0.1985965073,4.698,0.1805792163,
2.918,0.3000000002,4.699,0.2024803609,4.724,0.1805792163,
2.938,0.2999979686,4.737,0.1956293881,4.766,0.1749719221,
2.958,0.2999943353,4.758,0.1931805611,4.8,0.1749719221,
2.978,0.299994335,4.8,0.1978953779,4.835,0.1769985656,
2.998,0.2999943337,4.835,0.2085098773,4.871,0.1947072414,
3.018,0.2999943428,4.855,0.2176954448,4.901,0.1947072414,
3.038,0.2999942703,4.895,0.241643101,4.935,0.2276878132,
3.058,0.2999941573,4.934,0.2691308558,4.965,0.2624477786,
3.078,0.2999941164,4.961,0.2967766821,4.998,0.2633155577,
3.098,0.2999940994,4.994,0.3068090379,5.024,0.2825155231,
3.118,0.2999940913,5.034,0.3301307857,5.065,0.2825155231,
3.138,0.2999940875,5.052,0.3360331953,5.098,0.3028508254,
3.158,0.2999940854,5.096,0.3368662298,5.131,0.3028508254,
3.178,0.2999940842,5.134,0.3347750902,5.164,0.2990454512,
3.198,0.2999940832,5.156,0.3309604228,5.198,0.2965507645,
3.218,0.2999940827,5.201,0.3214237392,5.231,0.2847239307,
3.238,0.2999940824,5.223,0.3119812012,5.266,0.2861788579,
3.258,0.299994082,5.267,0.2896650136,5.296,0.2579017463,
3.278,0.2999940812,5.285,0.2751914859,5.339,0.2323381225,
3.298,0.2999940803,5.324,0.2609538734,5.373,0.2323381225,
3.318,0.2999940794,5.36,0.255715698,5.405,0.2304348712,
3.338,0.2999940781,5.385,0.2593552172,5.432,0.2304348712,
3.358,0.2999940766,5.424,0.2694297433,5.465,0.2412703345,
3.378,0.2999940754,5.459,0.2754948139,5.498,0.2395045923,
3.398,0.2999940744,5.504,0.2733208835,5.533,0.2410670873,
3.418,0.2999940734,5.516,0.2686773837,5.566,0.2367395005,
3.438,0.2999940725,5.564,0.2684149742,5.598,0.2367395005,
3.458,0.2999940719,5.587,0.2649462521,5.63,0.2194508087,
3.478,0.2999940716,5.621,0.2461216897,5.667,0.2194508087,
3.498,0.2999940712,5.663,0.2350567281,5.701,0.2044066685,
3.518,0.2999952799,5.696,0.227150023,5.739,0.2044066685,
3.538,0.2999961433,5.718,0.2203825265,5.765,0.1840495381,
3.558,0.3,5.761,0.2024890035,5.799,0.1840495381,
3.578,0.2999959228,5.802,0.1896069646,5.837,0.1685692337,
3.598,0.2999948861,5.835,0.1752681136,5.864,0.1480768865,
3.618,0.299998157,5.854,0.1665634811,5.902,0.1480768865,
3.638,0.3,5.898,0.1448488981,5.927,0.1183322252,
3.658,0.3,5.922,0.1331158429,5.968,0.1179086594,
3.678,0.2999980044,5.958,0.1153922454,6.002,0.09278779737,
3.698,0.2999978993,5.997,0.09493668377,6.035,0.09278779737,
3.718,0.2999961991,6.033,0.07058768719,6.065,0.06251105714,
3.738,0.3,6.066,0.05113704875,6.096,0.03700563125,
3.758,0.2999978462,6.087,0.04179930687,6.134,0.03705743663,
3.778,0.2999955848,6.132,0.01765726507,6.167,0.002329503923,
3.798,0.299999999,6.151,0.002638009377,6.198,0.002329503923,
3.818,0.3,6.197,-0.01928494684,6.231,-0.02819139514,
3.838,0.299997558,6.234,-0.04414440691,6.266,-0.02819244723,
3.858,0.299998947,6.27,-0.05359398201,6.298,-0.04753366978,
3.878,0.3000000001,6.287,-0.0487315394,6.331,-0.01650209021,
3.898,0.3000000001,6.324,-0.01854367368,6.365,-0.01650209021,
3.918,0.3000000001,6.358,0.03621542826,6.396,0.06522935529,
3.938,0.3,6.394,0.1145329177,6.43,0.1920962619,
3.958,0.3000000001,6.429,0.2160874605,6.465,0.1920962619,
3.978,0.3,6.469,0.3289230466,6.5,0.3661885262,
3.998,0.3000000001,6.485,0.3815948069,6.536,0.3661885262,
4.018,0.3000000001,6.526,0.4789325297,6.571,0.50110634,
4.038,0.3000000001,6.55,0.5222550631,6.599,0.50110634,
4.058,0.3000000001,6.59,0.5966361761,6.63,0.6042785655,
4.078,0.3000000001,6.624,0.6601502895,6.669,0.6820358656,
4.098,0.3000000001,6.659,0.7108854055,6.719,0.6932074933,
4.118,0.3000000001,6.679,0.7363333106,6.732,0.7625819672,
4.138,0.3000000001,6.73,0.7821736336,6.765,0.7625819672,
4.158,0.3000000001,6.769,0.8317939639,6.798,0.8364271991,
4.178,0.3000000001,6.786,0.8580559492,6.832,0.8364271991,
4.198,0.3000000001,6.825,0.907014668,6.865,0.9149601244,
4.218,0.3000000002,6.863,0.9576357007,6.899,0.9149601244,
4.238,0.3000000002,6.897,1.002594829,6.933,0.9835268813,
4.258,0.3000000001,6.935,1.046488047,6.965,1.049007474,
4.278,0.3000000001,6.953,1.069715381,7.002,1.057358686,
4.298,0.3000000001,6.993,1.112681031,7.03,1.119977035,
4.318,0.299992834,7.031,1.150190353,7.064,1.119977035,
4.338,0.2999933221,7.068,1.191376328,7.102,1.176856578,
4.358,0.3000001642,7.084,1.211556554,7.132,1.233116414,
4.378,0.2999992602,7.119,1.24947834,7.171,1.233116414,
4.398,0.2999990303,7.159,1.284448028,7.203,1.282349434,
4.418,0.299998334,7.202,1.316055655,7.231,1.282349434,
4.438,0.2999983283,7.238,1.345881462,7.266,1.321522878,
4.458,0.2999981949,7.256,1.361922979,7.302,1.372625122,
4.478,0.2999981983,7.292,1.398596048,7.332,1.372625122,
4.498,0.2999981969,7.335,1.428568006,7.37,1.4173655,
4.518,0.2999981894,7.354,1.444748044,7.398,1.409474989,
4.538,0.2999981844,7.398,1.480863571,7.432,1.460640978,
4.558,0.300000214,7.428,1.49832046,7.468,1.460640978,
4.578,0.2999935921,7.471,1.531697273,7.509,1.507429262,
4.598,0.2999967195,7.493,1.547309279,7.536,1.507429262,
4.618,0.2999922363,7.534,1.579871416,7.569,1.555661448,
4.638,0.3,7.553,1.597809911,7.599,1.579883342,
4.658,0.3000000005,7.589,1.62752533,7.635,1.623566921,
4.678,0.3000001391,7.628,1.65770793,7.672,1.623566921,
4.698,0.2999999999,7.65,1.671849012,7.706,1.664755456,
4.718,0.3,7.693,1.695209861,7.732,1.647061707,
4.738,0.3000000009,7.729,1.722205281,7.77,1.647061707,
4.758,0.2999990311,7.748,1.736615062,7.811,1.683931724,
4.778,0.299998348,7.793,1.762356281,7.836,1.683931724,
4.798,0.2999979567,7.831,1.785413742,7.871,1.717969038,
4.818,0.2999976701,7.87,1.811892271,7.907,1.717969038,
4.838,0.2999976529,7.894,1.824516773,7.932,1.750888575,
4.858,0.2999976498,7.93,1.848510027,7.965,1.750888575,
4.878,0.299997645,7.967,1.871828914,7.995,1.78445868,
4.898,0.299997617,8,1.894733429,8.036,1.877265362,
4.918,0.2999976165,8.018,1.904595375,8.064,1.877265362,
4.938,0.2999976104,8.067,1.924313307,8.107,1.906768051,
4.958,0.2999975866,8.09,1.934921384,8.145,1.906768051,
4.978,0.2999975846,8.132,1.956485748,8.174,1.938668015,
4.998,0.2999975942,8.157,1.967711568,8.198,1.938668015,
5.018,0.2999975454,8.199,1.989650488,8.236,1.969030991,
5.038,0.2999974946,8.217,1.998921871,8.274,1.969030991,
5.058,0.2999974878,8.262,2.019255638,8.295,1.994661372,
5.078,0.2999974747,8.277,2.029065132,8.333,1.994661372,
5.098,0.2999974747,8.33,2.048151731,8.367,2.020442737,
5.118,0.2999974743,8.367,2.063652277,8.399,2.020442737,
5.138,0.2999974722,8.387,2.07164073,8.431,2.043212269,
5.158,0.2999974716,8.431,2.087621927,8.466,2.043212269,
5.178,0.2999974711,8.455,2.095996618,8.498,2.066831799,
5.198,0.2999974695,8.486,2.111923933,8.531,2.066831799,
5.218,0.299997501,8.534,2.127697229,8.565,2.089455483,
5.238,0.299991978,8.56,2.143131018,8.598,2.080495349,
5.258,0.2999969637,8.598,2.158067942,8.634,2.080495349,
5.278,0.3,8.637,2.172267199,8.669,2.100732889,
5.298,0.3,8.654,2.178861141,8.699,2.118980591,
5.318,0.2999919533,8.695,2.191828966,8.731,2.146732315,
5.338,0.2999948166,8.729,2.20495224,8.766,2.166724473,
5.358,0.2999948163,8.769,2.219515324,8.797,2.166724473,
5.378,0.2999948247,8.802,2.232000113,8.829,2.185208108,
5.398,0.2999948313,8.835,2.244293213,8.865,2.21797651,
5.418,0.2999948263,8.87,2.258553743,8.9,2.21797651,
5.438,0.2999948175,8.895,2.26458168,8.936,2.236838066,
5.458,0.2999948122,8.935,2.276886225,8.965,2.245806984,
5.478,0.2999948108,8.968,2.289741039,8.999,2.264162551,
5.498,0.2999948175,8.985,2.296151638,9.031,2.28176649,
5.518,0.2999948135,9.027,2.308135748,9.072,2.287745582,
5.538,0.2999948105,9.051,2.313933849,9.106,2.304698534,
5.558,0.299994808,9.085,2.325394154,9.132,2.304698534,
5.578,0.2999948087,9.124,2.335938215,9.164,2.326214429,
5.598,0.2999948115,9.157,2.346833706,9.198,2.341733285,
5.618,0.2999948196,9.193,2.356556892,9.231,2.341733285,
5.638,0.2999948152,9.231,2.365736246,9.265,2.350279649,
5.658,0.2999948116,9.267,2.373772383,9.298,2.350279649,
5.678,0.2999948078,9.299,2.381238461,9.331,2.361422387,
5.698,0.2999948071,9.337,2.387206316,9.365,2.372126988,
5.718,0.2999948026,9.36,2.390140772,9.405,2.372126988,
5.738,0.2999948093,9.39,2.39562726,9.431,2.379825175,
5.758,0.2999948059,9.43,2.399885178,9.466,2.380634446,
5.778,0.2999948023,9.468,2.402698278,9.497,2.385303493,
5.798,0.2999948038,9.502,2.406261921,9.531,2.390216325,
5.818,0.2999947992,9.536,2.409027576,9.567,2.390216325,
5.838,0.2999948072,9.562,2.410411596,9.609,2.39419253,
5.858,0.2999919515,9.585,2.411721945,9.635,2.39419253,
5.878,0.2999975649,9.636,2.411657095,9.665,2.394123011,
5.898,0.3,9.656,2.411651373,9.7,2.388708971,
5.918,0.2999931746,9.69,2.412307501,9.732,2.389927302,
5.938,0.2999999999,9.731,2.413595915,9.764,2.392333347,
5.958,0.2999919509,9.759,2.415348768,9.798,2.376984149,
5.978,0.2999931187,9.789,2.417982101,9.831,2.380921586,
5.998,0.2999987253,9.831,2.420740843,9.865,2.380921586,
6.018,0.3,9.866,2.423217535,9.898,2.384719323,
6.038,0.3000000001,9.884,2.424693346,9.931,2.388210225,
6.058,0.3,9.919,2.426959038,9.966,2.406848092,
6.078,0.3,9.959,2.428985357,9.999,2.409380086,
6.098,0.2999960244,9.999,2.429834127,10.031,2.409380086,
6.118,0.2999964049,10.036,2.42920804,10.065,2.409057964,
6.138,0.29999675,10.057,2.429015398,10.099,2.409661444,
6.158,0.3000000001,10.089,2.429822206,10.131,2.409661444,
6.178,0.2999962417,10.12,2.431107759,10.169,2.415795406,
6.198,0.2999969918,10.166,2.432332754,10.201,2.415795406,
6.218,0.3001724033,10.201,2.433202028,10.231,2.417220613,
6.238,0.3009144357,10.219,2.433697701,10.267,2.418496527,
6.258,0.3029468437,10.258,2.434495926,10.3,2.418496527,
6.278,0.3067200274,10.295,2.435317278,10.331,2.419446822,
6.298,0.3124203992,10.331,2.435667276,10.368,2.417933526,
6.318,0.3200351304,10.354,2.435845852,10.4,2.418451518,
6.338,0.3294837866,10.388,2.435748816,10.431,2.417974129,
6.358,0.3406768989,10.43,2.43550086,10.47,2.417974129,
6.378,0.3535885383,10.468,2.435288191,10.497,2.417780968,
6.398,0.3682294622,10.503,2.435373545,10.531,2.417780968,
6.418,0.3846147678,10.519,2.435497522,10.565,2.420765738,
6.438,0.4024480272,10.559,2.435670614,10.598,2.420744802,
6.458,0.4209811743,10.595,2.435610771,10.631,2.420744802,
6.478,0.4396200173,10.633,2.435042858,10.665,2.419977489,
6.498,0.4578934888,10.66,2.43483305,10.699,2.419977489,
6.518,0.4754797676,10.701,2.434426785,10.732,2.419219114,
6.538,0.4922346041,10.719,2.434064388,10.772,2.414515955,
6.558,0.5082485518,10.765,2.433989286,10.806,2.414278762,
6.578,0.5238937847,10.799,2.434054852,10.83,2.414278762,
6.598,0.5393189976,10.83,2.433664799,10.864,2.414123522,
6.618,0.5545224283,10.862,2.433055162,10.897,2.413087881,
6.638,0.5694715075,10.897,2.43201685,10.93,2.418667429,
6.658,0.5842826999,10.916,2.431706905,10.966,2.417358342,
6.678,0.5992145869,10.957,2.430332661,10.998,2.414266703,
6.698,0.6142934391,10.991,2.428151608,11.031,2.414266703,
6.718,0.629430009,11.027,2.426739931,11.071,2.383882651,
6.738,0.6445252767,11.068,2.425046682,11.111,2.383882651,
6.758,0.6595848896,11.09,2.424335957,11.132,2.381343289,
6.778,0.6747804106,11.131,2.422608614,11.165,2.381343289,
6.798,0.6900761199,11.156,2.421432018,11.199,2.38249913,
6.818,0.7053361712,11.189,2.418533087,11.231,2.378631552,
6.838,0.720460654,11.23,2.416155815,11.268,2.378631552,
6.858,0.7354676167,11.252,2.415231466,11.311,2.375687781,
