"/uav_ground_truth/pose/pose/position/x_x","/uav_ground_truth/pose/pose/position/x_y","/uav_ground_truth/pose/pose/position/y_x","/uav_ground_truth/pose/pose/position/y_y","/uav_ground_truth/pose/pose/position/z_x","/uav_ground_truth/pose/pose/position/z_y"
1.623,0.001386493623,1.643,0.0008086171251,1.643,0.2999999999,
1.643,0.001386493623,1.663,0.0008086171216,1.663,0.2999999999,
1.663,0.001386493623,1.683,0.0008086171209,1.683,0.2999999999,
1.683,0.001386493623,1.703,0.000808617119,1.703,0.2999999999,
1.703,0.001386493623,1.723,0.0008086171176,1.723,0.2999999999,
1.723,0.001386493623,1.743,0.0008086171161,1.743,0.2999999999,
1.743,0.001386493623,1.763,0.0008086171138,1.763,0.2999999999,
1.763,0.001386493623,1.783,0.0008086171106,1.783,0.2999999999,
1.783,0.001386493624,1.803,0.0008086171073,1.803,0.2999999999,
1.803,0.001386493624,1.823,0.0008086171077,1.823,0.2999999999,
1.823,0.001386493623,1.843,0.0008086171048,1.843,0.2999999999,
1.843,0.001386493623,1.863,0.000808617103,1.863,0.2999999999,
1.863,0.001386493623,1.883,0.0008086171005,1.883,0.2999999999,
1.883,0.001386493623,1.903,0.0008086170985,1.903,0.2999999999,
1.903,0.001386493623,1.923,0.0008086170959,1.923,0.2999999999,
1.923,0.001386493623,1.943,0.0008086170951,1.943,0.2999999999,
1.943,0.001386493623,1.963,0.0008086170946,1.963,0.2999999999,
1.963,0.001386493622,1.983,0.0008086170908,1.983,0.2999999999,
1.983,0.001386493623,2.003,0.0008086170898,2.003,0.2999999999,
2.003,0.001386493623,2.023,0.000808617088,2.023,0.2999999999,
2.023,0.001386493623,2.043,0.0008086170869,2.043,0.2999999999,
2.043,0.001386493623,2.063,0.0008086170849,2.063,0.2999999999,
2.063,0.001386493623,2.083,0.0008086170832,2.083,0.2999999999,
2.083,0.001386493623,2.103,0.0008086170795,2.103,0.2999999999,
2.103,0.001386493624,2.123,0.0008086170764,2.123,0.2999999999,
2.123,0.001386493624,2.143,0.0008086170765,2.143,0.2999999999,
2.143,0.001386493623,2.163,0.0008086170739,2.163,0.2999999999,
2.163,0.001386493623,2.183,0.000808617072,2.183,0.2999999999,
2.183,0.001386493623,2.203,0.0008086170694,2.203,0.2999999999,
2.203,0.001386493623,2.223,0.0008086170676,2.223,0.2999999999,
2.223,0.001386493623,2.243,0.0008086170645,2.243,0.2999999999,
2.243,0.001386493624,2.263,0.0008086170639,2.263,0.2999999999,
2.263,0.001386493623,2.283,0.0008086170629,2.283,0.2999999999,
2.283,0.001386493623,2.303,0.0008086170603,2.303,0.2999999999,
2.303,0.001386493623,2.323,0.0008086170588,2.323,0.2999999999,
2.323,0.001386493623,2.343,0.0008086170571,2.343,0.2999999999,
2.343,0.001386493623,2.363,0.000808617056,2.363,0.2999999999,
2.363,0.001386493623,2.383,0.0008086170535,2.383,0.2999999999,
2.383,0.001386493623,2.403,0.000808617052,2.403,0.2999999999,
2.403,0.001386493623,2.423,0.0008086170484,2.423,0.2999999999,
2.423,0.001386493623,2.443,0.0008086170467,2.443,0.2999999999,
2.443,0.001386493623,2.463,0.000808617045,2.463,0.2999999999,
2.463,0.001386493623,2.483,0.0008086170429,2.483,0.2999999999,
2.483,0.001386493623,2.503,0.000808617041,2.503,0.2999999999,
2.503,0.001386493623,2.523,0.0008086170384,2.523,0.2999999999,
2.523,0.001386493623,2.543,0.0008086170367,2.543,0.2999999999,
2.543,0.001386493623,2.563,0.0008086170338,2.563,0.2999999999,
2.563,0.001386493623,2.583,0.0008086170336,2.583,0.2999999999,
2.583,0.001386493623,2.603,0.0008086170307,2.603,0.2999999999,
