"/uav_ground_truth/pose/pose/position/z_x","/uav_ground_truth/pose/pose/position/z_y","/ual/pose/pose/position/z_x","/ual/pose/pose/position/z_y","/del_uav/KF_pose/z_x","/del_uav/KF_pose/z_y"
0.396,0.2999947655,0.39,-0.354827702,0.436,-0.3085071593,
0.416,0.2999947635,0.436,-0.3750219047,0.476,-0.3375349102,
0.436,0.2999957476,0.461,-0.3845225871,0.51,-0.354274394,
0.456,0.2999939243,0.502,-0.3936216235,0.535,-0.354274394,
0.476,0.2999939246,0.52,-0.3976955414,0.567,-0.3578675913,
0.496,0.2999939239,0.56,-0.4011409879,0.602,-0.3578675913,
0.516,0.2999939237,0.602,-0.4104726315,0.636,-0.3720486004,
0.536,0.2999939208,0.623,-0.4170372188,0.669,-0.3720486004,
0.556,0.2999939218,0.664,-0.4328681827,0.707,-0.3959774596,
0.576,0.2999939163,0.683,-0.4438603222,0.738,-0.3976971727,
0.596,0.2999939164,0.729,-0.47474581,0.772,-0.4361895751,
0.616,0.2999939125,0.768,-0.5013002753,0.81,-0.4361895751,
0.636,0.2999939206,0.785,-0.52039361,0.835,-0.4774704026,
0.656,0.2999939261,0.823,-0.5641644597,0.874,-0.5539626333,
0.676,0.2999939261,0.866,-0.6258470416,0.902,-0.5539626333,
0.696,0.2999939207,0.889,-0.6564705372,0.937,-0.6334991655,
0.716,0.2999970446,0.933,-0.7157098651,0.983,-0.6334991655,
0.736,0.2999942181,0.953,-0.7320159078,1.005,-0.6877554109,
0.756,0.299994227,0.993,-0.7720504999,1.038,-0.6877554109,
0.776,0.2999957016,1.035,-0.8202235699,1.069,-0.7664991541,
0.796,0.2999956957,1.071,-0.8636417985,1.102,-0.7664991541,
0.816,0.2999956906,1.093,-0.8790998459,1.135,-0.7945523051,
0.836,0.2999956766,1.127,-0.8828647733,1.165,-0.7966574167,
0.856,0.2999956712,1.167,-0.880867362,1.195,-0.7866770353,
0.876,0.2999956683,1.188,-0.8760020733,1.233,-0.7617253484,
0.896,0.2999956717,1.223,-0.8529266119,1.267,-0.7617253484,
0.916,0.2999956648,1.255,-0.8238142729,1.302,-0.7216171023,
0.936,0.2999961197,1.288,-0.7872641087,1.334,-0.6656808165,
0.956,0.3000000001,1.323,-0.7463895679,1.369,-0.6656808165,
0.976,0.2999965553,1.364,-0.7034881711,1.403,-0.629570078,
0.996,0.2999965593,1.382,-0.700545311,1.436,-0.629570078,
1.016,0.2999965648,1.436,-0.6200242639,1.467,-0.5572110219,
1.036,0.2999965615,1.471,-0.5545727611,1.502,-0.4525963614,
1.056,0.2999965621,1.502,-0.4728530049,1.536,-0.366258112,
1.076,0.2999965669,1.534,-0.4123955369,1.568,-0.366258112,
1.096,0.2999965664,1.567,-0.3410381377,1.611,-0.2842265112,
1.116,0.2999965773,1.581,-0.3169219196,1.636,-0.2842265112,
1.136,0.2999955869,1.638,-0.2701626718,1.67,-0.242293377,
1.156,0.2999908392,1.654,-0.266792655,1.703,-0.2384271823,
1.176,0.3,1.688,-0.2656422853,1.735,-0.2384271823,
1.196,0.2999999999,1.719,-0.263694644,1.768,-0.2431743493,
1.216,0.2999972071,1.758,-0.278888762,1.799,-0.2531646336,
1.236,0.2999930185,1.791,-0.282851547,1.834,-0.2531646336,
1.256,0.2999930181,1.838,-0.2717461586,1.869,-0.2432259849,
1.276,0.3,1.871,-0.2652172446,1.915,-0.2355348412,
1.296,0.3000000475,1.886,-0.2629244626,1.937,-0.2355348412,
1.316,0.3000000011,1.926,-0.2615256906,1.969,-0.228487444,
1.336,0.2999965345,1.968,-0.2524895072,2.003,-0.2190766369,
1.356,0.2999970837,2.001,-0.2445505708,2.033,-0.2190766369,
1.376,0.2999970751,2.036,-0.2298533022,2.068,-0.1955395352,
1.396,0.2999970766,2.07,-0.2109769285,2.101,-0.1957284903,
1.416,0.2999970716,2.086,-0.2050228715,2.135,-0.1804987232,
1.436,0.2999970709,2.138,-0.2071827054,2.169,-0.1907271549,
1.456,0.2999970655,2.171,-0.2183910161,2.21,-0.1907511778,
1.476,0.3,2.189,-0.2260501981,2.235,-0.2068608995,
1.496,0.3,2.231,-0.2353543937,2.268,-0.2068608995,
1.516,0.3000000001,2.269,-0.2411917299,2.303,-0.2163035923,
1.536,0.2999935292,2.289,-0.2446044832,2.335,-0.2236771173,
1.556,0.3,2.319,-0.2489901483,2.369,-0.2236771173,
1.576,0.2999941413,2.358,-0.2638829947,2.403,-0.243429312,
1.596,0.2999999985,2.382,-0.2709780931,2.435,-0.2423646171,
1.616,0.3,2.427,-0.2846916318,2.472,-0.2561295324,
1.636,0.3,2.466,-0.2881444693,2.508,-0.2561295324,
1.656,0.3,2.487,-0.2941810191,2.54,-0.2666984408,
1.676,0.3,2.531,-0.3033791482,2.587,-0.2677581814,
1.696,0.3,2.552,-0.307905376,2.603,-0.2783031309,
1.716,0.3,2.603,-0.3124366999,2.635,-0.2783031309,
1.736,0.3,2.623,-0.3148490489,2.668,-0.2849084616,
1.756,0.3,2.659,-0.3145470023,2.703,-0.2750529644,
1.776,0.3,2.693,-0.3036834896,2.738,-0.2750529644,
1.796,0.2999999999,2.722,-0.2915456295,2.772,-0.2424776917,
1.816,0.3,2.756,-0.2704915404,2.802,-0.2424776917,
1.836,0.2999908475,2.791,-0.23310332,2.835,-0.1976491679,
1.856,0.3000000006,2.826,-0.2061270624,2.879,-0.155470089,
1.876,0.3000000001,2.871,-0.1722653657,2.904,-0.155470089,
1.896,0.3000000001,2.903,-0.1469949484,2.936,-0.1192930972,
1.916,0.3,2.936,-0.1203756258,2.969,-0.1183903392,
1.936,0.3000000001,2.953,-0.1072772294,3.003,-0.08033817834,
1.956,0.3000000001,2.993,-0.07406364381,3.035,-0.02852059936,
1.976,0.3,3.034,-0.03184920177,3.069,-0.02852059936,
1.996,0.3,3.068,0.01471827086,3.095,0.0392649559,
2.016,0.3000000001,3.102,0.06993659586,3.135,0.1167977234,
2.036,0.3000000001,3.131,0.1294521838,3.169,0.1170784777,
2.056,0.3,3.165,0.1736433059,3.201,0.1666903,
2.076,0.3,3.197,0.19553262,3.239,0.179282614,
2.096,0.3000000001,3.229,0.1982334107,3.269,0.1796693033,
2.116,0.3000000001,3.252,0.1960279942,3.304,0.1735903645,
2.136,0.2999999999,3.299,0.1915275306,3.335,0.1735903645,
2.156,0.3000000001,3.329,0.1804986447,3.368,0.1581613817,
2.176,0.3000000001,3.366,0.1659013927,3.402,0.1318196893,
2.196,0.3000000001,3.399,0.1462272257,3.434,0.1318196893,
2.216,0.3000000001,3.434,0.1293081939,3.468,0.1108552203,
2.236,0.2999999999,3.45,0.1230529845,3.502,0.1102981849,
2.256,0.2999999999,3.493,0.1155425459,3.535,0.1012258813,
2.276,0.3000009821,3.517,0.1129352897,3.569,0.1012258813,
2.296,0.3,3.564,0.110858798,3.613,0.1018824668,
