"/uav_ground_truth/pose/pose/position/y_x","/uav_ground_truth/pose/pose/position/y_y","/del_uav/KF_pose/y_x","/del_uav/KF_pose/y_y","/ual/pose/pose/position/y_x","/ual/pose/pose/position/y_y"
1.847,0.0007138864151,2.84,0.002477462922,2.864,-0.0369521603,
1.867,0.0007159691314,2.874,0.002486960788,2.905,-0.02602909133,
1.887,0.0007183725245,2.906,0.002496458654,2.939,-0.01835623011,
1.907,0.0007202844214,2.94,0.00250595652,2.973,-0.009746032767,
1.927,0.0007224052186,2.966,0.001461659732,3.002,-0.001870198175,
1.947,0.0007245540774,3.006,0.001471858094,3.036,0.007210616022,
1.967,0.0007266396872,3.04,0.0003474386267,3.068,0.01491750591,
1.987,0.0007286689589,3.072,0.0003578865553,3.1,0.02092700079,
2.007,0.0007300968943,3.11,0.0003578865554,3.123,0.02231721207,
2.027,0.0007319433291,3.142,0.001023402387,3.17,0.02580949664,
2.047,0.0007341265888,3.175,0.001034113516,3.2,0.03134549782,
2.067,0.0007362687151,3.206,0.001034113516,3.237,0.03689327464,
2.087,0.0007384243524,3.239,0.001044824645,3.27,0.04398389533,
2.107,0.0007405798229,3.273,0.001958160577,3.305,0.0521645546,
2.127,0.0007423302902,3.305,0.001968271939,3.321,0.05565477908,
2.147,0.000742015565,3.339,0.001506865811,3.364,0.06342090666,
2.167,0.0007438141782,3.373,0.001279954122,3.388,0.06763280183,
2.187,0.0007424809185,3.406,0.001289541885,3.435,0.07452815771,
2.207,0.0007451316867,3.44,0.001289541885,3.459,0.07658197731,
2.227,0.0007474288839,3.484,0.001289541885,3.499,0.07668829709,
2.247,0.0007498318038,3.506,0.001289541885,3.538,0.07584892213,
2.267,0.0007523631181,3.539,0.001289541885,3.558,0.07603151351,
2.287,0.0007549104064,3.573,0.001363389846,3.588,0.07714994252,
2.307,0.0007574727141,3.607,0.001363389846,3.632,0.07892443985,
2.327,0.0007600966251,3.639,0.001373981721,3.67,0.0761218369,
2.347,0.00076511297,3.679,0.001719331641,3.707,0.07255343348,
2.367,0.0007637500343,3.709,0.001719331641,3.739,0.07041841,
2.387,0.0007682585325,3.741,0.00171933164,3.773,0.06560327113,
2.407,0.0007671142079,3.775,0.001709441545,3.809,0.06122482195,
2.427,0.0007694448097,3.807,0.001334434253,3.826,0.05935001746,
2.447,0.0007717321122,3.839,0.001334434253,3.866,0.05338150263,
2.467,0.0007744625107,3.868,0.001334434252,3.903,0.04986809939,
2.487,0.0007770305838,3.906,0.001753830816,3.937,0.04503554478,
2.507,0.0007794841831,3.938,0.001753830815,3.974,0.04096147418,
2.527,0.0007815902011,3.973,0.002375793915,3.994,0.03966141865,
2.547,0.0007839791488,4.006,0.002375793915,4.028,0.0384163335,
2.567,0.0007851983231,4.05,0.002375793915,4.066,0.03780052438,
2.587,0.0007859366665,4.079,0.002937006646,4.109,0.03684644401,
2.607,0.0007862733385,4.11,0.002937006646,4.127,0.03623508289,
2.627,0.0007864141867,4.144,0.0009110782778,4.172,0.03592279926,
2.647,0.0007864757369,4.178,0.0009110782779,4.203,0.03608102724,
2.667,0.0007865040718,4.206,0.000911078278,4.234,0.0362470746,
2.687,0.0007865190002,4.238,0.001986205662,4.268,0.0368908979,
2.707,0.0007865305458,4.272,0.001986205662,4.306,0.03910763934,
2.727,0.000786540204,4.304,0.002160606756,4.341,0.04205477238,
2.747,0.0007865452128,4.339,0.002160606756,4.358,0.04395916313,
2.767,0.0007865588195,4.369,0.002160606756,4.403,0.04816764593,
2.787,0.0007865686195,4.409,0.001908676483,4.428,0.04880160838,
2.807,0.0007865801809,4.441,0.001908676484,4.456,0.04808656499,
2.827,0.0007865932495,4.481,0.001908676484,4.5,0.04683607072,
2.847,0.0007866047648,4.512,0.001908676484,4.537,0.04614319652,
2.867,0.0007852447242,4.542,0.001908676484,4.562,0.04586716369,
2.887,0.0007866034919,4.578,0.001908676484,4.588,0.0457165055,
2.907,0.0007866048272,4.619,0.004015734459,4.636,0.04550155625,
2.927,0.0007866065125,4.644,0.004015734459,4.674,0.04289174452,
2.947,0.0007866072901,4.676,0.00401573446,4.709,0.03868654743,
2.967,0.0007866076316,4.707,0.004004325702,4.74,0.03660516441,
2.987,0.0007866082429,4.739,0.004004325702,4.773,0.03477758169,
3.007,0.0007866097229,4.773,0.001486717474,4.804,0.03258119151,
3.027,0.0007866102017,4.806,0.001486717474,4.843,0.03003091551,
3.047,0.0007866107702,4.839,0.001470002093,4.861,0.02689480968,
3.067,0.0007866117517,4.873,-0.001594954188,4.895,0.02115220763,
3.087,0.000786613112,4.907,-0.001622812135,4.936,0.01441230066,
3.107,0.0007866141022,4.941,-0.001622812135,4.952,0.009904026985,
3.127,0.0007866154814,4.975,-0.001650670082,4.996,0.0009366216254,
3.147,0.0007866166255,5.008,-0.02061851719,5.038,-0.01403774414,
3.167,0.0007867917421,5.042,-0.02061851719,5.054,-0.01862757467,
3.187,0.0007940957076,5.086,-0.02570856644,5.102,-0.02964761294,
3.207,0.0008082170723,5.115,-0.02573721702,5.137,-0.04153462499,
3.227,0.0008170383997,5.159,-0.02576586761,5.173,-0.05290770531,
3.247,0.0008292168128,5.177,-0.02579451819,5.195,-0.05900339037,
3.267,0.0008446086457,5.206,-0.02875249537,5.235,-0.06805139035,
3.287,0.0008604461517,5.24,-0.02875249537,5.254,-0.07060800493,
3.307,0.000876430645,5.258,-0.02878059425,5.3,-0.07712573558,
3.327,0.0008923529554,5.306,-0.02878059425,5.334,-0.08359838277,
3.347,0.0009081444199,5.338,-0.02880869314,5.371,-0.09134379774,
