"/uav_ground_truth/pose/pose/position/y_x","/uav_ground_truth/pose/pose/position/y_y","/del_uav/KF_pose/y_x","/del_uav/KF_pose/y_y","/ual/pose/pose/position/y_x","/ual/pose/pose/position/y_y"
0.319,0.000391080384,0.337,0.01041200943,0.35,0.04359821975,
0.339,0.0003941304612,0.373,0.009550983597,0.388,0.03740161657,
0.359,0.0003934068538,0.405,0.009550983608,0.405,0.03512433544,
0.379,0.0003964944318,0.438,0.009217806171,0.448,0.0305207409,
0.399,0.0003980771522,0.469,0.009557042721,0.491,0.02416546457,
0.419,0.0003989759164,0.493,0.009557042741,0.528,0.01749658212,
0.439,0.0004006918791,0.531,0.008605998748,0.56,0.005806707777,
0.459,0.0004016518484,0.56,0.008172878552,0.575,0.001232937677,
0.479,0.0004035803928,0.596,0.008172878564,0.623,-0.01001435332,
0.499,0.0004050457728,0.637,0.007204297499,0.659,-0.02247843146,
0.519,0.0004064540892,0.661,0.007204297515,0.678,-0.02995342761,
0.539,0.000408041743,0.712,0.006235716424,0.727,-0.04288382828,
0.559,0.0004092663137,0.736,0.005601814513,0.757,-0.04750159383,
0.579,0.0004104940889,0.762,0.004671367517,0.792,-0.05148109794,
0.599,0.0004118142506,0.803,0.004671367516,0.816,-0.05460287258,
0.619,0.0004134985109,0.826,0.003889691052,0.844,-0.06301546842,
0.639,0.0004148371778,0.862,0.002964670993,0.89,-0.07428987324,
0.659,0.0004161000773,0.893,0.002039650937,0.907,-0.08070714027,
0.679,0.0004175045329,0.928,0.001542342938,0.942,-0.0878559947,
0.699,0.0004187947291,0.961,0.001542342936,0.98,-0.09070340544,
0.719,0.0004193999116,0.992,0.0006127968999,1.022,-0.09501501173,
0.739,0.0004203289692,1.031,0.0009211496314,1.056,-0.1026805416,
0.759,0.0004213997201,1.061,8.851396197e-06,1.088,-0.1111903861,
0.779,0.00042256738,1.093,8.851402533e-06,1.124,-0.1208608747,
0.799,0.0004237699675,1.144,-0.0005915008407,1.158,-0.1130804494,
0.819,0.0004246930665,1.17,-0.0005915008236,1.188,-0.1046877876,
0.839,0.0004255544415,1.205,0.0002446799108,1.224,-0.09884447604,
0.859,0.0004262091153,1.229,0.001019284894,1.256,-0.09122699499,
0.879,0.0004276545653,1.26,0.001019284894,1.276,-0.08889362961,
0.899,0.0004286558897,1.295,0.001019284894,1.313,-0.08563879877,
0.919,0.0004298299301,1.33,0.0009999256275,1.349,-0.07977110147,
0.939,0.0004309122103,1.36,0.0009999256243,1.379,-0.07761069387,
0.959,0.0004322594514,1.399,0.001884106843,1.417,-0.07547723502,
0.979,0.0004335007366,1.421,0.002188042409,1.452,-0.07444926351,
0.999,0.0004347159297,1.46,0.002188042401,1.487,-0.0786934644,
1.019,0.00043603379,1.482,0.002188042395,1.519,-0.08100175858,
