"/uav_ground_truth/pose/pose/position/z_x","/uav_ground_truth/pose/pose/position/z_y","/ual/pose/pose/position/z_x","/ual/pose/pose/position/z_y","/del_uav/KF_pose/z_x","/del_uav/KF_pose/z_y"
0.35,0.3000000001,0.368,0.3644034266,0.409,0.3258065358,
0.37,0.2999909023,0.382,0.3686102927,0.448,0.3398830078,
0.39,0.3000000012,0.426,0.3801468611,0.484,0.3398830078,
0.41,0.2999971521,0.461,0.3793314993,0.516,0.34139284,
0.43,0.2999971662,0.499,0.390407145,0.549,0.3401899585,
0.45,0.3,0.516,0.3979493678,0.58,0.3676096922,
0.47,0.2999975221,0.559,0.420196712,0.604,0.4009640885,
0.49,0.3000000004,0.602,0.4436032772,0.642,0.4009640885,
0.51,0.3000000004,0.639,0.4660016894,0.671,0.4318944757,
0.53,0.3000000004,0.671,0.4809646308,0.707,0.4318944757,
0.55,0.3000000002,0.686,0.4909196198,0.748,0.4546963977,
0.57,0.2999991634,0.734,0.5138891339,0.772,0.4864988169,
0.59,0.3000000011,0.77,0.5371703506,0.823,0.4864988169,
0.61,0.3000000009,0.789,0.5441570878,0.847,0.4982745357,
0.63,0.3000000007,0.838,0.5525184274,0.873,0.4982745357,
0.65,0.3000000004,0.868,0.5525803566,0.914,0.4972692813,
0.67,0.3000000002,0.903,0.5516262054,0.937,0.4969384034,
0.69,0.3000000002,0.927,0.5528280139,0.973,0.4935047116,
0.71,0.3000000002,0.955,0.5440263152,1.004,0.4858931414,
0.73,0.3000000002,1.001,0.5382230282,1.039,0.4861837749,
0.75,0.3000000003,1.018,0.5257815719,1.072,0.4395840505,
0.77,0.3000000002,1.053,0.4874716103,1.103,0.4395840505,
0.79,0.3000000002,1.091,0.4381259382,1.142,0.3768553054,
0.81,0.3000000006,1.133,0.3897275925,1.172,0.2979888891,
0.83,0.3000000003,1.167,0.3311347961,1.204,0.2979888891,
0.85,0.3000000002,1.199,0.2567560375,1.255,0.1869622963,
0.87,0.3000000001,1.235,0.1642644256,1.281,0.05765046679,
0.89,0.3000000002,1.269,0.06471631676,1.316,0.05765046679,
0.91,0.3000000001,1.299,-0.02536754683,1.34,-0.06154785696,
0.93,0.3000000001,1.335,-0.10766422,1.371,-0.1582904977,
0.95,0.3000000001,1.367,-0.1752215624,1.406,-0.1582904977,
0.97,0.2999995413,1.387,-0.2087227106,1.441,-0.2434632616,
0.99,0.3,1.424,-0.2714785933,1.471,-0.2434632616,
1.01,0.3000000001,1.46,-0.3157292008,1.51,-0.2999012383,
1.03,0.3,1.49,-0.3614700735,1.532,-0.3612083275,
1.05,0.3,1.528,-0.3981133401,1.571,-0.3612083275,
1.07,0.3,1.563,-0.4230554104,1.593,-0.4008573367,
1.09,0.3,1.598,-0.4592731893,1.634,-0.3987271547,
1.11,0.3,1.63,-0.4772603214,1.673,-0.4417599736,
1.13,0.3,1.653,-0.489497155,1.705,-0.4455997108,
1.15,0.3000000001,1.693,-0.5148149133,1.737,-0.4694904553,
1.17,0.3000000001,1.724,-0.515742898,1.773,-0.4694904553,
1.19,0.3000000001,1.761,-0.5174154043,1.805,-0.458497025,
1.21,0.3000000001,1.796,-0.5031936169,1.851,-0.4231006173,
1.23,0.3,1.833,-0.4680142105,1.878,-0.4231006173,
1.25,0.299999999,1.871,-0.4524070919,1.913,-0.3960767542,
1.27,0.2999957934,1.891,-0.436234504,1.941,-0.3960767542,
1.29,0.3,1.931,-0.3953517973,1.971,-0.3291967829,
1.31,0.2999999995,1.964,-0.3391272426,2.008,-0.2583792135,
1.33,0.2999965262,2.002,-0.2867251635,2.04,-0.2583792135,
1.35,0.2999965441,2.037,-0.2079452872,2.071,-0.1505670607,
1.37,0.2999965447,2.059,-0.1670785248,2.103,-0.1515696747,
1.39,0.2999965418,2.092,-0.09280265868,2.137,-0.04946818605,
1.41,0.2999965821,2.131,-0.003606202547,2.171,-0.04956258149,
1.43,0.2999965674,2.154,0.0415889807,2.207,0.08146639774,
1.45,0.2999965604,2.191,0.1327715963,2.237,0.1878254617,
1.47,0.2999965617,2.23,0.2066800892,2.276,0.1878254617,
1.49,0.2999965637,2.261,0.2730025947,2.31,0.2811121993,
1.51,0.2999965868,2.288,0.3093266189,2.336,0.2798119586,
1.53,0.2999965839,2.327,0.376396209,2.371,0.366174132,
1.55,0.2999965757,2.361,0.4311063886,2.404,0.4244391429,
1.57,0.2999965715,2.393,0.4692101181,2.437,0.426713299,
1.59,0.2999965784,2.431,0.5030910969,2.472,0.4727245463,
1.61,0.2999965752,2.47,0.5314301848,2.504,0.4727245463,
1.63,0.2999965715,2.485,0.5403994322,2.541,0.4966381174,
1.65,0.2999965647,2.524,0.5446041822,2.57,0.498706348,
1.67,0.2999965848,2.557,0.5513470173,2.606,0.498706348,
1.69,0.2999965952,2.59,0.5593135953,2.647,0.4987830703,
1.71,0.2999966091,2.625,0.5488619208,2.676,0.4817915454,
1.73,0.2999966067,2.659,0.5326474905,2.711,0.4848398102,
1.75,0.299996633,2.691,0.505142808,2.737,0.4448652452,
1.77,0.2999966118,2.73,0.4763249159,2.771,0.4173058207,
1.79,0.2999966089,2.758,0.4584540129,2.808,0.4178269849,
1.81,0.2999938249,2.794,0.4507132769,2.841,0.4089735855,
1.83,0.3,2.833,0.4462159276,2.87,0.4111072253,
1.85,0.2999933976,2.87,0.4510807097,2.904,0.4111072253,
1.87,0.2999934059,2.902,0.4443407357,2.94,0.3971938464,
1.89,0.2999933974,2.92,0.436879307,2.971,0.3971938464,
1.91,0.2999934205,2.964,0.4087307155,3.01,0.3573440314,
1.93,0.2999934007,2.983,0.3930488527,3.041,0.3573440314,
1.95,0.2999933916,3.008,0.3769215643,3.071,0.3087688577,
1.97,0.2999933971,3.07,0.3396214545,3.102,0.3097306459,
1.99,0.299993385,3.09,0.3273001611,3.147,0.2873163157,
2.01,0.2999933809,3.128,0.3150435686,3.172,0.2873163157,
2.03,0.29999337,3.172,0.3013244271,3.206,0.2630496914,
2.05,0.2999933967,3.192,0.2884345949,3.233,0.2630496914,
2.07,0.2999933929,3.236,0.2527879477,3.276,0.2166325931,
2.09,0.2999933876,3.26,0.2381422967,3.309,0.2166325931,
2.11,0.2999933884,3.305,0.2086292356,3.35,0.187337041,
2.13,0.2999933939,3.324,0.205129534,3.38,0.187337041,
2.15,0.2999933816,3.364,0.195412755,3.414,0.1724338284,
2.17,0.2999933783,3.404,0.1811897904,3.442,0.1720986251,
2.19,0.2999933752,3.422,0.1723208874,3.471,0.1500209227,
2.21,0.2999933683,3.467,0.147624135,3.506,0.1183307223,
2.23,0.2999933577,3.49,0.1327279806,3.536,0.1183307223,
2.25,0.2999933429,3.53,0.1072129086,3.57,0.08920631021,
2.27,0.2999999999,3.558,0.09928794205,3.606,0.1064136176,
2.29,0.2999999999,3.602,0.1158244759,3.642,0.1064136176,
2.31,0.3,3.62,0.124607563,3.673,0.138783314,
2.33,0.3000000002,3.664,0.1528324187,3.707,0.138783314,
2.35,0.3000000002,3.696,0.1746750772,3.733,0.1675605895,
2.37,0.3000000001,3.733,0.1885488331,3.771,0.1675605895,
2.39,0.3000000003,3.75,0.1920903176,3.805,0.180441685,
2.41,0.3,3.785,0.2051103115,3.837,0.2047935173,
2.43,0.3,3.824,0.2220502496,3.876,0.2047935173,
2.45,0.2999999999,3.862,0.2283695191,3.907,0.2070894424,
2.47,0.3,3.896,0.2226199955,3.948,0.1970042832,
2.49,0.3000000011,3.938,0.21457766,3.977,0.1968445272,
2.51,0.3000000009,3.955,0.2099312246,4.012,0.1771787026,
2.53,0.3000000008,3.994,0.1931405813,4.036,0.1771787026,
2.55,0.3000000005,4.035,0.1724828631,4.071,0.1494952785,
2.57,0.3000000002,4.073,0.1549785733,4.11,0.1494952785,
2.59,0.3000000002,4.089,0.1451943815,4.137,0.1263555693,
2.61,0.3000000002,4.137,0.131414935,4.171,0.1263555693,
2.63,0.3000000002,4.162,0.1218195409,4.203,0.1044609089,
2.65,0.3000000003,4.196,0.1037200242,4.239,0.08025357892,
2.67,0.3000000001,4.23,0.08740340918,4.274,0.07992529349,
2.69,0.3000000002,4.26,0.06616518646,4.305,0.05306786899,
2.71,0.3000000002,4.297,0.05224912241,4.341,0.0369993151,
2.73,0.3000000002,4.333,0.04045777768,4.371,0.03721897248,
2.75,0.3000000001,4.367,0.02357596532,4.403,0.01281954143,
2.77,0.2999956947,4.404,-0.002409776207,4.436,0.01277008276,
2.79,0.2999956834,4.438,-0.02503724024,4.466,-0.02290607369,
2.81,0.2999956771,4.449,-0.0339827612,4.505,-0.04801504511,
2.83,0.2999956847,4.495,-0.05248127878,4.538,-0.0479150751,
2.85,0.299995684,4.522,-0.07427016646,4.57,-0.08338892619,
2.87,0.2999956781,4.562,-0.1098088175,4.604,-0.08338892619,
2.89,0.2999956788,4.584,-0.1293329895,4.637,-0.1314818206,
2.91,0.2999956933,4.624,-0.1625060886,4.674,-0.1737860093,
