"/del_uav/KF_sigma/pos_cov/x_x","/del_uav/KF_sigma/pos_cov/x_y"
8,3.293640736e-05,
8.039,3.293640736e-05,
8.075,3.467703423e-05,
8.11,3.467703423e-05,
8.135,3.467703423e-05,
8.168,3.467703423e-05,
8.201,3.467703423e-05,
8.237,3.771097419e-05,
8.268,3.771097419e-05,
8.306,3.771097419e-05,
8.335,2.839097186e-05,
8.368,2.839097186e-05,
8.4,2.839097186e-05,
8.434,2.839097186e-05,
8.468,3.998014055e-05,
8.501,3.998014055e-05,
8.535,3.998014055e-05,
8.57,3.998014055e-05,
8.605,1.807847858e-05,
8.635,1.807847858e-05,
8.667,1.807847858e-05,
8.698,3.719072203e-05,
8.733,3.719072203e-05,
8.768,3.719072203e-05,
8.8,3.719072203e-05,
8.835,3.719072203e-05,
8.871,1.682548247e-05,
8.9,1.682548247e-05,
8.935,1.682548247e-05,
8.974,1.682548247e-05,
8.998,1.682548247e-05,
9.045,1.682548247e-05,
9.069,2.175278847e-05,
9.105,2.175278847e-05,
9.138,2.175278847e-05,
9.168,2.175278847e-05,
9.201,2.175278847e-05,
9.234,2.780460969e-05,
9.266,2.780460969e-05,
9.304,2.780460969e-05,
9.334,2.780460969e-05,
9.367,2.780460969e-05,
9.4,3.027559154e-05,
9.442,3.027559154e-05,
9.467,3.027559154e-05,
9.5,3.027559154e-05,
9.534,3.027559154e-05,
9.568,2.321995317e-05,
9.6,2.321995317e-05,
9.634,2.321995317e-05,
9.668,2.321995317e-05,
9.701,2.321995317e-05,
9.734,2.321995317e-05,
9.767,2.321995317e-05,
9.801,2.793007514e-05,
9.836,2.793007514e-05,
9.881,2.793007514e-05,
9.9,2.793007514e-05,
9.935,2.793007514e-05,
9.967,3.14009732e-05,
10.006,3.14009732e-05,
10.034,3.14009732e-05,
10.064,3.14009732e-05,
10.102,2.04842202e-05,
10.131,2.04842202e-05,
10.179,2.04842202e-05,
10.205,2.04842202e-05,
10.231,2.04842202e-05,
10.266,1.776365118e-05,
10.301,1.776365118e-05,
10.335,1.776365118e-05,
10.371,1.776365118e-05,
10.402,2.684938773e-05,
10.437,2.684938773e-05,
10.466,2.684938773e-05,
10.508,2.684938773e-05,
10.535,2.684938773e-05,
10.569,1.86262023e-05,
10.599,1.86262023e-05,
10.635,1.86262023e-05,
10.669,1.86262023e-05,
10.701,1.86262023e-05,
10.734,2.426068904e-05,
10.766,2.426068904e-05,
10.799,2.426068904e-05,
10.834,2.426068904e-05,
10.868,1.659108511e-05,
10.901,1.659108511e-05,
10.935,1.659108511e-05,
10.972,1.659108511e-05,
11.011,1.659108511e-05,
11.037,1.659108511e-05,
11.069,1.659108511e-05,
11.105,1.208334394e-05,
11.134,1.208334394e-05,
11.173,1.208334394e-05,
11.204,1.208334394e-05,
11.239,1.899451086e-05,
11.272,1.899451086e-05,
11.312,1.899451086e-05,
11.345,1.899451086e-05,
11.374,1.546907398e-05,
11.417,1.546907398e-05,
11.441,1.546907398e-05,
11.474,1.546907398e-05,
11.504,1.546907398e-05,
11.54,1.546907398e-05,
11.573,4.201781785e-05,
11.605,4.201781785e-05,
11.634,1.773452429e-05,
11.667,1.773452429e-05,
11.7,1.773452429e-05,
11.735,1.526490923e-05,
11.772,1.526490923e-05,
11.8,1.526490923e-05,
11.836,1.526490923e-05,
11.874,1.526490923e-05,
11.91,1.526490923e-05,
11.939,1.526490923e-05,
11.972,3.013314199e-05,
12.004,3.013314199e-05,
12.033,3.013314199e-05,
12.068,4.051011162e-05,
12.1,4.051011162e-05,
12.134,4.051011162e-05,
12.167,4.051011162e-05,
12.2,3.621744149e-05,
12.234,3.621744149e-05,
12.265,3.621744149e-05,
12.301,2.87143324e-05,
12.334,2.87143324e-05,
12.369,2.87143324e-05,
12.4,2.87143324e-05,
12.43,3.068742797e-05,
12.47,3.068742797e-05,
12.501,3.068742797e-05,
12.535,3.068742797e-05,
12.567,3.068742797e-05,
12.601,3.068742797e-05,
12.644,3.233767949e-05,
12.676,3.233767949e-05,
12.7,3.233767949e-05,
12.733,3.233767949e-05,
12.766,3.24588111e-05,
12.802,3.24588111e-05,
12.832,3.24588111e-05,
12.871,3.24588111e-05,
12.9,3.24588111e-05,
12.935,3.24588111e-05,
12.969,3.24588111e-05,
13.001,3.522429361e-05,
13.034,3.522429361e-05,
13.067,3.522429361e-05,
13.104,3.522429361e-05,
13.134,3.549826275e-05,
13.168,3.549826275e-05,
13.2,3.549826275e-05,
13.233,3.549826275e-05,
13.266,2.376891588e-05,
13.302,2.376891588e-05,
13.338,2.376891588e-05,
