"/uav_ground_truth/pose/pose/position/x_x","/uav_ground_truth/pose/pose/position/x_y","/del_uav/KF_pose/x_x","/del_uav/KF_pose/x_y","/ual/pose/pose/position/x_x","/ual/pose/pose/position/x_y"
0.28,0.001814670417,0.286,-0.01080299486,0.286,0.0516028069,
0.3,0.00181692983,0.319,-0.01160910612,0.329,0.04795027897,
0.32,0.001821678392,0.35,-0.01347464904,0.372,0.04622048885,
0.34,0.00182714163,0.374,-0.01347464907,0.409,0.04569405317,
0.36,0.001829721994,0.413,-0.01347464914,0.441,0.03596483916,
0.38,0.001834379798,0.442,-0.01473457984,0.456,0.03302494064,
0.4,0.001838826172,0.477,-0.01473457986,0.504,0.0326850228,
0.42,0.001843136376,0.518,-0.01570968876,0.54,0.03730203584,
0.44,0.001847901846,0.542,-0.01473457996,0.559,0.04065172747,
0.46,0.001852598256,0.593,-0.01473457999,0.608,0.0489721559,
0.48,0.00185759204,0.617,-0.01323894436,0.638,0.04559118673,
0.5,0.001862024663,0.643,-0.01323894437,0.673,0.04651005194,
0.52,0.001866546279,0.684,-0.01323894436,0.697,0.04878601059,
0.54,0.001871085994,0.707,-0.01289607897,0.725,0.05163847655,
0.56,0.001875709861,0.743,-0.01289607896,0.771,0.05747647583,
0.58,0.001879736407,0.774,-0.01196482474,0.788,0.06100762263,
0.6,0.001881838783,0.809,-0.01206927941,0.823,0.06114506721,
0.62,0.001886399015,0.842,-0.01206927937,0.861,0.05474477261,
0.64,0.001890966745,0.873,-0.01300508996,0.903,0.04928343371,
0.66,0.001895480245,0.912,-0.01315522617,0.937,0.04612971842,
0.68,0.001899906299,0.942,-0.01315522605,0.969,0.04427627102,
0.7,0.001904224237,0.974,-0.01315522596,1.005,0.04599631578,
0.72,0.001908451664,1.025,-0.01171730028,1.039,0.03900175914,
0.74,0.001912909847,1.051,-0.0125591163,1.069,0.03387884796,
0.76,0.0019159769,1.086,-0.01255911613,1.105,0.03339225054,
0.78,0.001920212042,1.111,-0.01441221443,1.137,0.03558370844,
0.8,0.001924345599,1.141,-0.01441221433,1.157,0.03738091514,
0.82,0.001928696122,1.176,-0.01441221424,1.194,0.04055970907,
0.84,0.001933232744,1.211,-0.01324217083,1.23,0.03486074507,
0.86,0.001937389957,1.241,-0.01324217078,1.26,0.02212352864,
0.88,0.001941253604,1.28,-0.01502245095,1.298,0.01074899174,
0.9,0.00194578923,1.303,-0.01809175339,1.333,-0.004277122207,
0.92,0.001950452459,1.341,-0.01809175332,1.368,-0.01735714637,
0.94,0.001954901108,1.363,-0.01809175325,1.4,-0.0237994995,
0.96,0.001959644738,1.404,-0.01978249387,1.423,-0.02952489629,
0.98,0.00196423036,1.443,-0.01978249378,1.463,-0.04068825394,
1,0.001968734333,1.475,-0.02225694339,1.494,-0.04502570257,
1.02,0.001972324695,1.507,-0.02328223571,1.531,-0.05307281762,
1.04,0.001977175109,1.543,-0.02328223573,1.566,-0.0591025427,
1.06,0.001977573364,1.575,-0.02430752815,1.603,-0.06601411104,
1.08,0.00197987674,1.622,-0.02254188852,1.641,-0.07179861516,
1.1,0.001987588961,1.648,-0.02350056152,1.661,-0.07380731404,
1.12,0.001991938994,1.683,-0.02373251666,1.701,-0.07697478682,
1.14,0.001996181011,1.711,-0.02373251683,1.734,-0.07588388026,
1.16,0.002000476133,1.741,-0.02373251699,1.772,-0.07427275181,
1.18,0.002004866358,1.778,-0.02159734553,1.807,-0.06790160388,
1.2,0.002009594751,1.81,-0.02159734581,1.829,-0.06406415254,
1.22,0.002014494808,1.841,-0.02066789596,1.862,-0.05786799267,
1.24,0.002018819736,1.873,-0.02262771711,1.901,-0.05123881623,
1.26,0.002023215374,1.907,-0.02163697388,1.924,-0.04799650982,
1.28,0.002027790181,1.941,-0.02227144841,1.961,-0.04247428477,
1.3,0.002032587601,1.977,-0.02126251035,2,-0.03809925169,
1.32,0.002037298847,2.007,-0.02126251057,2.031,-0.03499667346,
1.34,0.002041705867,2.046,-0.02126251078,2.058,-0.03510294855,
1.36,0.002046078808,2.08,-0.02126251093,2.097,-0.03224482387,
1.38,0.002050594826,2.106,-0.01975355694,2.131,-0.02637458779,
1.4,0.002054893067,2.141,-0.01975355708,2.163,-0.01749071851,
1.42,0.002059142516,2.174,-0.0187896426,2.201,-0.008734030649,
1.44,0.002063451587,2.207,-0.01792465569,2.24,-0.002497774549,
