"/uav_ground_truth/pose/pose/position/x_x","/uav_ground_truth/pose/pose/position/x_y","/uav_ground_truth/pose/pose/position/y_x","/uav_ground_truth/pose/pose/position/y_y","/uav_ground_truth/pose/pose/position/z_x","/uav_ground_truth/pose/pose/position/z_y"
0.059,0.001735806429,0.079,0.00153446783,0.099,0.2999964265,
0.079,0.001736002038,0.099,0.001534503565,0.119,0.2999964257,
0.099,0.001736052093,0.119,0.001534484341,0.139,0.2999964263,
0.119,0.00173604062,0.139,0.001534437696,0.159,0.2999964275,
0.139,0.001736008654,0.159,0.00153438917,0.179,0.2999964291,
0.159,0.001735975136,0.179,0.001534332497,0.199,0.2999964304,
0.179,0.001735935233,0.199,0.001534291358,0.219,0.2999964314,
0.199,0.001735892131,0.219,0.001534259883,0.239,0.2999964323,
0.219,0.001735856067,0.239,0.001534232204,0.259,0.2999964331,
0.239,0.00173582437,0.259,0.00153421266,0.279,0.2999964334,
0.259,0.001735797756,0.279,0.001534210276,0.299,0.2999964336,
0.279,0.001735784165,0.299,0.001534214558,0.319,0.2999964339,
0.299,0.001735767423,0.319,0.00153421889,0.339,0.2999964341,
0.319,0.001735747467,0.339,0.001534222113,0.359,0.2999964344,
0.339,0.0017357251,0.359,0.001534218116,0.379,0.2999964349,
0.359,0.001735712601,0.379,0.001534206791,0.399,0.2999964357,
0.379,0.001735693581,0.399,0.001534183098,0.419,0.2999964369,
0.399,0.001735663649,0.419,0.001534145984,0.439,0.2999964381,
0.419,0.001735622799,0.439,0.001534099236,0.459,0.2999964393,
0.439,0.001735578472,0.459,0.001534049783,0.479,0.2999964406,
0.459,0.001735539174,0.479,0.001534003278,0.499,0.2999964417,
0.479,0.00173550544,0.499,0.001533957029,0.519,0.2999964426,
0.499,0.00173546919,0.519,0.001533925865,0.539,0.2999964432,
0.519,0.001735433689,0.539,0.00153390076,0.559,0.2999964437,
0.539,0.001735406413,0.559,0.001533878662,0.579,0.2999964441,
0.559,0.001735380763,0.579,0.001533866313,0.599,0.299996444,
0.579,0.001735363401,0.599,0.00153386647,0.619,0.2999964439,
0.599,0.001735352982,0.619,0.001533869817,0.639,0.2999964439,
0.619,0.001735339523,0.639,0.001533873118,0.659,0.2999964439,
0.639,0.001735322035,0.659,0.001533874014,0.679,0.3000017012,
0.659,0.001735306903,0.679,0.001533274734,0.699,0.3000000001,
