"/uav_ground_truth/pose/pose/position/z_x","/uav_ground_truth/pose/pose/position/z_y","/ual/pose/pose/position/z_x","/ual/pose/pose/position/z_y","/del_uav/KF_pose/z_x","/del_uav/KF_pose/z_y"
0.409,0.3000000002,0.456,-0.4936049879,0.494,-0.4555679847,
0.429,0.3000000002,0.479,-0.5288305879,0.526,-0.559282442,
0.449,0.3000000002,0.519,-0.5998644829,0.558,-0.5679862031,
0.469,0.3000000001,0.563,-0.6600242257,0.592,-0.6523052049,
0.489,0.3000000001,0.584,-0.6792653799,0.625,-0.7127807631,
0.509,0.3000000001,0.623,-0.7183154821,0.656,-0.7178559586,
0.529,0.3000000001,0.645,-0.7341870666,0.69,-0.7573237839,
0.549,0.3000000001,0.683,-0.760933876,0.724,-0.7606161239,
0.569,0.3000000001,0.723,-0.7828506827,0.757,-0.7943412374,
0.589,0.3000000001,0.752,-0.797446847,0.8,-0.7971715019,
0.609,0.3000000001,0.788,-0.7972595096,0.826,-0.8025777346,
0.629,0.3000000001,0.823,-0.7981996536,0.859,-0.8030437003,
0.649,0.3000000013,0.844,-0.7934198976,0.893,-0.7880034174,
0.669,0.3000000002,0.894,-0.779245913,0.926,-0.7867411921,
0.689,0.3000000001,0.918,-0.7712894678,0.96,-0.7595799036,
0.709,0.3000000002,0.959,-0.7311484218,0.989,-0.7573006,
0.729,0.3000000001,0.997,-0.6837797761,1.025,-0.6899472386,
0.749,0.3000000001,1.018,-0.6516144872,1.059,-0.606194285,
0.769,0.3000000001,1.049,-0.5978862643,1.092,-0.5991655719,
0.789,0.3000000001,1.084,-0.5587931275,1.125,-0.5423289487,
0.809,0.2999999994,1.115,-0.5235965252,1.159,-0.4993887933,
0.829,0.3000000001,1.155,-0.4954433143,1.193,-0.4957852573,
0.849,0.3000000001,1.196,-0.4627017677,1.226,-0.4503328186,
0.869,0.3000000001,1.231,-0.4273097217,1.258,-0.4465076451,
0.889,0.3000000001,1.25,-0.411129266,1.292,-0.3965436893,
0.909,0.3000000001,1.288,-0.3749903738,1.325,-0.3456280222,
0.929,0.3,1.322,-0.3409631848,1.357,-0.3413490322,
0.949,0.2999999995,1.358,-0.3003810644,1.391,-0.2839746626,
0.969,0.2999980748,1.38,-0.2787249684,1.426,-0.2791597173,
0.989,0.2999946685,1.427,-0.2443273067,1.463,-0.2247525861,
1.009,0.2999946754,1.446,-0.2243732065,1.463,-0.2289650005,
1.029,0.2999946819,1.473,-0.2071742117,1.523,-0.1712984373,
1.049,0.2999946838,1.519,-0.1663876325,1.558,-0.1668126,
1.069,0.2999946876,1.556,-0.1528192312,1.587,-0.1664029582,
1.089,0.3000009926,1.582,-0.1363317072,1.628,-0.1271347668,
1.109,0.3000001429,1.631,-0.1111369804,1.659,-0.1238393996,
1.129,0.2999973607,1.649,-0.0960784182,1.691,-0.08324426446,
1.149,0.2999973587,1.698,-0.03966187313,1.726,-0.02455693877,
1.169,0.2999973571,1.717,-0.01920273155,1.755,-0.01966640387,
1.189,0.2999973499,1.756,0.01224764902,1.792,0.0204308326,
1.209,0.2999973697,1.795,0.03155722469,1.825,0.02379590822,
1.229,0.2999973683,1.814,0.04010974243,1.864,0.04786968924,
1.249,0.3000004895,1.851,0.06320643425,1.89,0.04989006961,
1.269,0.2999999999,1.892,0.0808391571,1.924,0.07822815172,
1.289,0.3,1.928,0.09277135134,1.961,0.09372722089,
1.309,0.3,1.949,0.09744089842,1.991,0.09504849457,
1.329,0.3000000001,1.992,0.1076782495,2.029,0.1086754037,
1.349,0.3,2.011,0.1099054292,2.066,0.1098189603,
1.369,0.3,2.058,0.1187017113,2.092,0.1181691513,
1.389,0.3000000001,2.092,0.1262287796,2.121,0.1188699037,
1.409,0.3000000001,2.111,0.1434881389,2.158,0.1616575604,
1.429,0.3,2.149,0.190049544,2.194,0.2334764506,
1.449,0.3,2.188,0.2400478721,2.224,0.2395034449,
1.469,0.3,2.21,0.2731043994,2.252,0.2400091858,
1.489,0.3,2.261,0.3327820599,2.294,0.3250034448,
1.509,0.3,2.275,0.3621509671,2.364,0.406906178,
1.529,0.3,2.324,0.4075108469,2.364,0.4005935768,
1.549,0.3000000001,2.356,0.4226772785,2.391,0.4074361734,
1.569,0.3,2.397,0.4429746866,2.425,0.439968533,
1.589,0.3,2.431,0.4684335887,2.458,0.4698675476,
1.609,0.3,2.453,0.4726044536,2.5,0.4723766321,
1.629,0.3,2.473,0.4701637626,2.525,0.4680126085,
1.649,0.3,2.517,0.4629796147,2.571,0.467646336,
1.669,0.3,2.563,0.4586357474,2.595,0.4485872224,
1.689,0.3,2.585,0.4468393624,2.625,0.4469877242,
1.709,0.3,2.62,0.4196193516,2.654,0.409007822,
1.729,0.3,2.658,0.3907524049,2.688,0.4058075064,
1.749,0.3,2.697,0.3435688913,2.725,0.3487845524,
1.769,0.3,2.713,0.3268504739,2.759,0.3439991278,
1.789,0.3,2.759,0.2870531976,2.792,0.2918246173,
1.809,0.3,2.775,0.2658713758,2.83,0.2874460654,
1.829,0.3,2.831,0.2281713486,2.861,0.2331381043,
1.849,0.3,2.855,0.2096052319,2.892,0.2286009692,
1.869,0.2999984957,2.895,0.1545691639,2.931,0.1607946966,
1.889,0.2999970527,2.919,0.1273896545,2.962,0.1550912974,
1.909,0.3000000655,2.944,0.1023694798,2.992,0.08719406084,
1.929,0.3000000001,2.992,0.06080283225,3.025,0.08149613246,
