"/uav_ground_truth/pose/pose/position/z_x","/uav_ground_truth/pose/pose/position/z_y","/ual/pose/pose/position/z_y","/del_uav/KF_pose/z_y"
2.41,0.3000000001,-0.07572585344,-0.06794056957,
2.43,0.2999984752,-0.1230500117,-0.1400806421,
2.45,0.3000000002,-0.1633774787,-0.1461358837,
2.47,0.3000000002,-0.2064551115,-0.2014092179,
2.49,0.3000000002,-0.2425728291,-0.2060478089,
2.51,0.3000000001,-0.2553042769,-0.2480976494,
2.53,0.3000000001,-0.2538050413,-0.2533066071,
2.55,0.2999980436,-0.2544591725,-0.2537437466,
2.57,0.2999936982,-0.2632844448,-0.2624897786,
2.59,0.2999943177,-0.2693463862,-0.2632236084,
2.61,0.2999943144,-0.2698658109,-0.2693141465,
2.63,0.2999943129,-0.2703846693,-0.2698251466,
2.65,0.2999943046,-0.2610313296,-0.2617569403,
2.67,0.2999942941,-0.2529135346,-0.2610799472,
2.69,0.2999943203,-0.2438149154,-0.2384430563,
2.71,0.2999943055,-0.2334006876,-0.2365435302,
2.73,0.2999943016,-0.2412012219,-0.2407984573,
2.75,0.2999943071,-0.2285479009,-0.2411954248,
2.77,0.2999942999,-0.2174690217,-0.2196102356,
2.79,0.2999942922,-0.1916188598,-0.2177986086,
2.81,0.2999942902,-0.1712324768,-0.1830915321,
2.83,0.2999942943,-0.1597507,-0.1488742298,
2.85,0.2999942936,-0.1377641261,-0.1460026125,
2.87,0.2999942965,-0.1284002364,-0.1457615753,
2.89,0.2999942866,-0.089610219,-0.1114065567,
2.91,0.2999942962,-0.04784824327,-0.05317090569,
2.93,0.2999942935,-0.008786401711,-0.04828398906,
2.95,0.299994291,0.008568009362,0.003787690979,
2.97,0.2999942905,0.049245134,0.008157590123,
2.99,0.3000000011,0.06797965616,0.06295014519,
3.01,0.3000000095,0.0990826562,0.06754836554,
3.03,0.3000000015,0.124463886,0.1097816734,
3.05,0.2999950598,0.1345275342,0.1418919736,
3.07,0.2999944369,0.1515365839,0.1445866801,
3.09,0.2999908521,0.1580716968,0.1569501765,
3.11,0.2999942155,0.1550578028,0.1579877077,
3.13,0.2999942153,0.1454096884,0.1464753559,
3.15,0.2999942205,0.1340140402,0.1455092282,
3.17,0.3,0.1299522519,0.1312412439,
3.19,0.2999938525,0.1259947717,0.1300438097,
3.21,0.2999938564,0.1223300025,0.1229606871,
3.23,0.2999938573,0.1290838122,0.1223662137,
3.25,0.2999938634,0.1478171796,0.1456653895,
3.27,0.2999979331,0.1691129804,0.1476207269,
3.29,0.2999942675,0.18291758,0.1799396734,
3.31,0.2999942644,0.2034353465,0.2014901851,
3.33,0.3000008129,0.21052742,0.2032987892,
3.35,0.2999999999,0.2218386978,0.2335570722,
3.37,0.3000009863,0.2516887486,0.2360963966,
3.39,0.3,0.2582824826,0.261941045,
3.41,0.3000000001,0.271509707,0.2640688104,
3.43,0.3000000001,0.2741943598,0.2733535337,
3.45,0.3000000001,0.273483634,0.2741327954,
3.47,0.3000000001,0.2673643231,0.2679352626,
3.49,0.3000000001,0.2519448102,0.2674150893,
3.51,0.3,0.2295817435,0.2446578239,
3.53,0.3000000001,0.2177497447,0.2427480537,
3.55,0.3000000001,0.2034827173,0.2068101532,
3.57,0.3,0.1735885888,0.1634721147,
3.59,0.3000000001,0.1595681012,0.1598351326,
3.61,0.3,0.1427762359,0.1595298109,
3.63,0.3000000001,0.130604282,0.1370730652,
3.65,0.3000000001,0.1324850768,0.1352821791,
3.67,0.3000000001,0.142767325,0.1353465172,
3.69,0.3000000001,0.146412313,0.144202109,
3.71,0.3,0.1414360255,0.1449282425,
3.73,0.3,0.1412377656,0.1415635163,
3.75,0.3,0.1478620619,0.1541801781,
3.77,0.3,0.1633646637,0.1552389774,
3.79,0.3,0.1626342237,0.1619923918,
3.81,0.3000000001,0.1486260742,0.16255902,
3.83,0.3,0.1310783923,0.1430850508,
3.85,0.3000000001,0.1182027832,0.1203052983,
3.87,0.3,0.1115688458,0.1183937108,
3.89,0.3,0.1085321009,0.1182333588,
3.91,0.3000000001,0.09976495802,0.1013294351,
3.93,0.3,0.09288167208,0.08441718732,
3.95,0.3000000001,0.07390963286,0.0829978955,
