"/uav_ground_truth/pose/pose/position/x_x","/uav_ground_truth/pose/pose/position/x_y","/del_uav/KF_pose/x_x","/del_uav/KF_pose/x_y","/ual/pose/pose/position/x_x","/ual/pose/pose/position/x_y"
1.881,0.001809993121,2.903,0.08219313352,2.9,0.1258698106,
1.901,0.001814596742,2.938,0.09656387922,2.937,0.1430491954,
1.921,0.001819356537,2.971,0.109486135,2.958,0.1535823643,
1.941,0.001823586551,3.004,0.121916277,2.999,0.1594651043,
1.961,0.001827918481,3.034,0.1309879329,3.028,0.1645556986,
1.981,0.00183248271,3.07,0.140607274,3.061,0.1769028604,
2.001,0.001834346938,3.104,0.1539438516,3.102,0.1953163743,
2.021,0.001838603272,3.137,0.1696904096,3.13,0.2173906118,
2.041,0.001842480113,3.167,0.1811939483,3.165,0.2247385681,
2.061,0.001844237434,3.215,0.1925971033,3.197,0.2228831947,
2.081,0.001847538296,3.238,0.1979119553,3.243,0.2210461497,
2.101,0.001851019287,3.27,0.2017909744,3.265,0.2213725448,
2.121,0.001852475203,3.304,0.2046218987,3.306,0.2198259532,
2.141,0.001856443302,3.337,0.2096954322,3.338,0.225213632,
2.161,0.001861342048,3.371,0.2124835517,3.369,0.2204809934,
2.181,0.001866165384,3.411,0.2115110008,3.391,0.2194522321,
2.201,0.001871208809,3.436,0.2108010973,3.434,0.2189888209,
2.221,0.001876097964,3.47,0.2114735093,3.465,0.2209868282,
2.241,0.001880916587,3.504,0.214971745,3.501,0.2279432863,
2.261,0.001885754831,3.533,0.2205375327,3.541,0.2396534085,
2.281,0.00189073298,3.57,0.224071343,3.555,0.2462464571,
2.301,0.001894641844,3.602,0.2266438168,3.601,0.2366207987,
2.321,0.001898128405,3.637,0.2285151855,3.642,0.240231365,
2.341,0.001905729103,3.67,0.2298807728,3.676,0.2449198067,
2.361,0.001910096055,3.704,0.2338867155,3.709,0.2524022758,
2.381,0.001914473118,3.737,0.239817685,3.724,0.259049952,
2.401,0.001919207589,3.77,0.2470105098,3.768,0.2686036229,
2.421,0.001917115945,3.805,0.2492553935,3.81,0.2619441152,
2.441,0.001921069997,3.837,0.2508940588,3.826,0.2619741261,
2.461,0.00192573779,3.877,0.2527332436,3.876,0.2671138048,
2.481,0.001930292424,3.918,0.2570830022,3.892,0.2729945183,
2.501,0.001934563481,3.937,0.2632655261,3.938,0.2897028029,
2.521,0.001938842436,3.97,0.270416072,3.97,0.2905654907,
2.541,0.001943395949,4.004,0.2726169729,4.01,0.2845169008,
2.561,0.001947588876,4.035,0.2738430022,4.037,0.2855612636,
2.581,0.001953585269,4.071,0.2752826667,4.059,0.2861702144,
2.601,0.001958051715,4.103,0.2763520815,4.104,0.2912965417,
2.621,0.001962182778,4.137,0.2801416139,4.141,0.2932925522,
2.641,0.001963977201,4.171,0.2799184995,4.172,0.2723952234,
2.661,0.001969375795,4.205,0.2767448733,4.192,0.2674838006,
2.681,0.001972935571,4.237,0.2714246431,4.239,0.2638845146,
2.701,0.00197795195,4.269,0.267140825,4.276,0.2677384615,
2.721,0.001983275392,4.304,0.2670195431,4.308,0.2726884484,
2.741,0.00198808292,4.338,0.2699378807,4.327,0.2765995264,
2.761,0.001989928786,4.37,0.2720678222,4.368,0.2775863111,
2.781,0.001993649603,4.404,0.2698256312,4.405,0.2637690902,
2.801,0.001998658694,4.44,0.2651819668,4.423,0.2581425309,
2.821,0.002003279167,4.471,0.2587872562,4.47,0.2507330477,
2.841,0.002008067746,4.503,0.2541202744,4.489,0.2491643876,
2.861,0.002012987659,4.538,0.2477120596,4.538,0.2413403988,
2.881,0.002018171065,4.573,0.241948989,4.562,0.2353629172,
2.901,0.002023022265,4.604,0.234733969,4.607,0.2056297362,
2.921,0.002027819729,4.637,0.2234532918,4.625,0.1959762722,
2.941,0.002033012565,4.669,0.2122097034,4.668,0.1819688976,
2.961,0.002038341541,4.704,0.1995792312,4.709,0.1744666994,
2.981,0.002043370403,4.738,0.1907877547,4.725,0.1702238768,
3.001,0.002047898569,4.777,0.1843719456,4.746,0.1705821902,
3.021,0.002052035409,4.804,0.1766820321,4.803,0.1636552513,
3.041,0.002054985863,4.838,0.1710695586,4.842,0.1564760655,
3.061,0.002058608575,4.869,0.1668270996,4.859,0.1565475315,
3.081,0.002063651192,4.906,0.1637238348,4.895,0.1582010388,
3.101,0.002068300372,4.938,0.1614583944,4.935,0.1647413671,
3.121,0.002073108024,4.972,0.1628082431,4.966,0.1649794281,
3.141,0.002077991432,5.012,0.1609220141,4.993,0.1603826433,
3.161,0.002082741852,5.041,0.1565378347,5.039,0.1553224623,
3.181,0.002087384174,5.075,0.1533380791,5.061,0.1542639136,
3.201,0.002091487154,5.104,0.1538272151,5.1,0.1581327021,
3.221,0.002096136358,5.137,0.1546965199,5.142,0.1632297486,
3.241,0.002101399408,5.168,0.1553305386,5.168,0.1697813272,
3.261,0.002106342833,5.225,0.1588003656,5.19,0.169583261,
3.281,0.002111314555,5.241,0.1583250403,5.214,0.1680798531,
3.301,0.002116034091,5.272,0.1609852235,5.265,0.1670979112,
3.321,0.002122100247,5.309,0.1629274876,5.308,0.1728531718,
3.341,0.002126467975,5.337,0.1673523424,5.337,0.1818845123,
3.361,0.00213064378,5.362,0.1703709151,5.353,0.1833864897,
3.381,0.002135444508,5.402,0.1695712321,5.406,0.1779968888,
3.401,0.002140674836,5.438,0.1719953657,5.428,0.1798238307,
3.421,0.002145228143,5.47,0.1737668845,5.47,0.1856383383,
3.441,0.002149520359,5.504,0.1785462484,5.509,0.1953938901,
3.461,0.002154166627,5.538,0.1820329475,5.529,0.1998443753,
3.481,0.002158770312,5.57,0.1875849717,5.572,0.205054611,
3.501,0.002163637069,5.605,0.1901604059,5.588,0.2035800368,
3.521,0.002168788001,5.656,0.1890325749,5.633,0.1922477782,
3.541,0.002173770491,5.671,0.1852009254,5.672,0.186599195,
3.561,0.002178766614,5.705,0.182404321,5.71,0.1843567044,
3.581,0.002183321304,5.745,0.182063016,5.729,0.1848499477,
3.601,0.002187763289,5.77,0.181813991,5.772,0.1911404729,
3.621,0.002191981605,5.799,0.184639632,5.789,0.1918834746,
3.641,0.002196119223,5.837,0.1817501131,5.842,0.1843522638,
3.661,0.0022006307,5.871,0.1815265179,5.876,0.1851877123,
3.681,0.002205017451,5.907,0.1813632311,5.893,0.1862728447,
3.701,0.002209470153,5.937,0.1842511494,5.933,0.1914755702,
3.721,0.002213830086,5.972,0.1855796697,5.971,0.1907800436,
3.741,0.002218501138,6.007,0.1835421034,5.998,0.1865701377,
3.761,0.002223163302,6.046,0.1820549858,6.021,0.1834733635,
3.781,0.002227718924,6.069,0.1809700137,6.068,0.1801145077,
3.801,0.002232178563,6.104,0.1801781492,6.101,0.1796275675,
3.821,0.002228243592,6.151,0.1791528417,6.134,0.1831710786,
3.841,0.002232497129,6.17,0.17840311,6.17,0.176689744,
3.861,0.002237091868,6.205,0.1748482398,6.199,0.1704353988,
3.881,0.002241070163,6.239,0.1729517304,6.242,0.1686763316,
3.901,0.002245011487,6.269,0.1715713582,6.262,0.168326363,
3.921,0.002248784401,6.303,0.1705638629,6.298,0.1675298512,
3.941,0.002252867385,6.336,0.1698285297,6.339,0.1685290635,
3.961,0.002257102732,6.38,0.1688349043,6.359,0.1701509058,
3.981,0.00226129167,6.407,0.1681083901,6.404,0.1639891118,
4.001,0.002265610276,6.437,0.1645706833,6.443,0.1566183716,
4.021,0.002269914188,6.47,0.1589800571,6.456,0.1516730636,
4.041,0.002272997076,6.504,0.1548997387,6.504,0.1487072259,
4.061,0.002275923496,6.537,0.1527812868,6.52,0.1483178735,
4.081,0.002280656052,6.568,0.1512349882,6.562,0.1485008895,
4.101,0.002284903018,6.605,0.1501054713,6.596,0.1474013925,
