"/uav_ground_truth/pose/pose/position/x_x","/uav_ground_truth/pose/pose/position/x_y","/del_uav/KF_pose/x_y","/ual/pose/pose/position/x_y"
0.324,0.001483526992,0.000253349727,-0.05552687123,
0.344,0.001487868599,0.001958470078,-0.06557524204,
0.364,0.001492603991,0.001958470078,-0.06977207959,
0.384,0.001497187721,0.0005583504181,-0.07779401541,
0.404,0.001501811665,0.0005583504181,-0.08652879298,
0.424,0.001506362284,0.0005483331974,-0.0905078575,
0.444,0.001510610651,0.0005383159766,-0.09394571185,
0.464,0.00151497081,0.001757182463,-0.09582830966,
0.484,0.001519009865,0.001746263647,-0.1045366004,
0.504,0.001522503671,0.001315308129,-0.1079446971,
0.524,0.001526237882,0.001315308129,-0.1109467372,
0.544,0.001530366491,0.001305113443,-0.1135890037,
0.564,0.001534447048,0.001315308128,-0.1005754843,
0.584,0.001538175625,0.001325502814,-0.09272782505,
0.604,0.001542230617,0.0006841534838,-0.08433013409,
0.624,0.00154645161,0.0006941047271,-0.08346318454,
0.644,0.001550768041,0.0006941047267,-0.07810851187,
0.664,0.001556307076,0.001360153912,-0.07498662174,
0.684,0.001559707355,0.001360153911,-0.07084967941,
0.704,0.001562383236,0.0007920217641,-0.06996662915,
0.724,0.001563312161,0.0007920217641,-0.06602797657,
0.744,0.001563615592,0.001497120434,-0.0601356104,
0.764,0.001563698317,0.001497120434,-0.05693529174,
0.784,0.001563688499,0.001508090257,-0.05088044703,
0.804,0.001563641716,0.001055991232,-0.04148794338,
0.824,0.001563602737,0.001066364517,-0.03220427781,
0.844,0.001563565701,0.001442904663,-0.02276314795,
0.864,0.001563537297,0.001453210995,-0.01846923493,
0.884,0.001563513385,0.001453210995,-0.01041087508,
0.904,0.00156349519,0.001463517327,-0.004397000186,
0.924,0.001563471595,0.001463517327,-0.0010617628,
0.944,0.001563449619,0.001463517327,0.001378468121,
0.964,0.001563439846,0.0008961369254,0.008382214233,
0.984,0.001563430346,0.0008961369254,0.0127311321,
1.004,0.001563407827,0.0009065190354,0.02328576893,
1.024,0.001563357322,0.001159735714,0.02886394598,
1.044,0.001563293005,0.001159735714,0.03296237066,
1.064,0.001563232345,0.001159735714,0.04175685719,
1.084,0.001563170477,0.001170316945,0.05189169943,
1.104,0.001563106446,0.001180898177,0.06380712241,
1.124,0.001563050378,0.00146912739,0.07049664855,
1.144,0.001563012072,0.001491057025,0.08238145709,
1.164,0.001562980367,0.001275645188,0.08709286153,
1.184,0.001562958702,0.001491057025,0.08984079957,
1.204,0.001562941766,0.001285956917,0.1067688763,
1.224,0.001562928343,0.001296268646,0.115241155,
1.244,0.001562909931,0.001316892103,0.1358227581,
1.264,0.001562896773,0.001507688929,0.1492302418,
1.284,0.001562890797,0.001424373493,0.1482980698,
1.304,0.001562882678,0.001424373492,0.160631597,
1.324,0.001562859089,0.001435016257,0.1768884361,
1.344,0.001562813936,0.001456301787,0.1971157342,
1.364,0.001562762711,0.002274268713,0.2193132639,
1.384,0.0015627142,0.002295682505,0.2301334739,
1.404,0.001562664261,0.002295682505,0.229494378,
1.424,0.001562731028,0.002295682505,0.2322960794,
1.444,0.001571778787,0.002022485092,0.2349640578,
1.464,0.001588858921,0.00203252614,0.2457505465,
1.484,0.001600164709,0.002303281649,0.257581383,
1.504,0.001615023407,0.002314053851,0.2481948137,
1.524,0.001636446037,0.00230328165,0.2438459694,
1.544,0.001657139953,0.001330444118,0.2414902151,
1.564,0.001679722447,0.001330444119,0.2481485307,
1.584,0.001703769702,0.00134104537,0.2651209533,
1.604,0.001728447165,0.001351646621,0.2723410726,
1.624,0.001752794593,0.001778850983,0.2992919385,
1.644,0.001775661222,0.001799780951,0.2993263006,
1.664,0.001798544567,0.001789315968,0.2937159538,
1.684,0.001821827406,0.002277275848,0.2985631227,
1.704,0.001845359674,0.002288045396,0.3149638772,
1.724,0.001870005948,0.002298814944,0.3241997063,
1.744,0.001895308619,0.002320354039,0.3375319541,
1.764,0.001920763662,0.002309584491,0.3230345249,
1.784,0.001946256721,0.002219300249,0.315754354,
1.804,0.001971684405,0.002222967275,0.309294492,
1.824,0.001997138886,0.002222967273,0.311201036,
1.844,0.00202240567,0.002222967272,0.3143629432,
1.864,0.002047181749,0.002755073351,0.3077589571,
1.884,0.002071538297,0.002744559666,0.2912432551,
1.904,0.00209582479,0.002723547162,0.2859609127,
1.924,0.002120153408,0.002723547162,0.2784123123,
1.944,0.002144613645,0.002723547161,0.2794929445,
1.964,0.002168843861,0.002723547161,0.2816290557,
1.984,0.002192304475,0.002879457128,0.2879828513,
2.004,0.002215141384,0.002879457128,0.2758957744,
2.024,0.002237950246,0.003079542832,0.2571619749,
2.044,0.002260984838,0.00306888601,0.2452610284,
2.064,0.002282070064,0.003058229189,0.2318469286,
2.084,0.002302809025,0.003047572368,0.2108262628,
2.104,0.00230621236,0.003483438883,0.1847385913,
2.124,0.002323373602,0.003449959231,0.1295665503,
2.144,0.002348082003,0.003445740108,0.1125244796,
2.164,0.002370679933,0.003408918032,0.07740992308,
2.184,0.002393540633,0.003372095954,0.06008859351,
2.204,0.002418718816,0.003316862838,0.02272852138,
2.224,0.002440419158,-0.001451811052,-0.01207354572,
2.244,0.002455354524,-0.00150346467,-0.02567051351,
2.264,0.002463121113,-0.001658425526,-0.05324813351,
2.284,0.00247824091,-0.001761732765,-0.08187831193,
2.304,0.002500967828,0.05662596948,-0.1085468456,
2.324,0.002521664157,0.05657857149,-0.1354784369,
2.344,0.002546552462,0.05643637753,-0.1479369849,
2.364,0.002561410116,0.1047331441,-0.158864066,
2.384,0.002579910267,0.1046951281,-0.1713419259,
2.404,0.002599624496,0.1046571121,-0.1831413507,
2.424,0.002624218244,0.1601069086,-0.1970958859,
2.444,0.002648504327,0.160000984,-0.2121673971,
2.464,0.002672695799,0.1599480217,-0.2197962701,
2.484,0.002696691741,0.1599480217,-0.22113581,
2.504,0.002720606922,0.2192748387,-0.2211450189,
2.524,0.002744521461,0.2192156709,-0.2265728414,
2.544,0.002768851516,0.2192156709,-0.2299688607,
2.564,0.002792878666,0.3716010502,-0.2369772643,
2.584,0.002816920084,0.3715389368,-0.2427216321,
2.604,0.002841133877,0.3715389367,-0.2360706925,
2.624,0.002865173391,0.641304792,-0.2291398942,
2.644,0.002889014677,-0.2226396173,-0.2252411246,
2.664,0.002912741031,-0.2226396184,-0.2226507664,
2.684,0.002936451317,-0.2226396187,-0.2213587463,
2.704,0.002960213296,-0.2115076449,-0.2208656371,
2.724,0.002983971693,-0.2115076456,-0.2182447165,
2.744,0.003007909063,-0.2115076469,-0.2090909779,
2.764,0.003032138343,-0.2364166453,-0.2015174627,
2.784,0.003056586145,-0.2361774113,-0.1969695985,
2.804,0.003081211278,-0.2361774113,-0.1906660199,
2.824,0.003105337683,-0.2359381773,-0.1826367974,
2.844,0.00313568508,-0.2351864983,-0.1734125763,
2.864,0.003191378177,-0.2351599186,-0.1693846881,
2.884,0.003314171214,-0.2351333389,-0.1627618521,
2.904,0.003450170399,-0.2351333389,-0.1578412801,
2.924,0.003638627019,-0.2293359251,-0.1559153199,
2.944,0.003957420608,-0.2292906682,-0.1495077163,
2.964,0.003999808758,-0.2292906682,-0.1388078332,
2.984,0.004086179967,-0.226447097,-0.1319906563,
3.004,0.004209897533,-0.2263877313,-0.1291585863,
3.024,0.004339691362,-0.2263877313,-0.1238555014,
3.044,0.004459493787,-0.2263283656,-0.1201940626,
3.064,0.004536900191,-0.2263329003,-0.119307749,
3.084,0.004807062287,-0.2263329003,-0.1105910391,
3.104,0.005147405597,-0.2263049673,-0.1039267704,
3.124,0.005414255701,-0.2263049673,-0.100117065,
3.144,0.005801106389,-0.2222061525,-0.09504938126,
3.164,0.006127556949,-0.2222061525,-0.09279240668,
3.184,0.005899781891,-0.2222061525,-0.09254737198,
3.204,0.005353554333,-0.2222061525,-0.08439360559,
3.224,0.004568360356,-0.2151620891,-0.07862641662,
3.244,0.003618557658,-0.2151368128,-0.07361306995,
3.264,0.002543300762,-0.2072647891,-0.07177552581,
3.284,0.001320927985,-0.2072647891,-0.07116702944,
3.304,-8.110789688e-05,-0.2072647891,-0.07170078158,
3.324,-0.001691724285,-0.2072647891,-0.06280136853,
