"/uav_ground_truth/pose/pose/position/x_x","/uav_ground_truth/pose/pose/position/x_y","/del_uav/KF_pose/x_y","/ual/pose/pose/position/x_y"
0.257,0.001712236707,-0.05288846704,-0.0868132934,
0.277,0.001715298008,-0.05495063003,-0.09343054891,
0.297,0.001718369376,-0.05667025245,-0.0909280479,
0.317,0.001721672993,-0.05661020748,-0.08906235546,
0.337,0.00172356134,-0.05841603623,-0.09085065871,
0.357,0.001726576986,-0.06033687651,-0.09217344224,
0.377,0.001729502371,-0.06193776387,-0.09505840391,
0.397,0.001732381913,-0.06327419412,-0.09800703079,
0.417,0.00173533569,-0.06439216941,-0.09405106306,
0.437,0.001738360994,-0.06250341744,-0.08835396171,
0.457,0.001742884834,-0.06091861535,-0.08513045311,
0.477,0.001743888394,-0.05959701884,-0.08263887465,
0.497,0.001746722645,-0.05848752966,-0.07750369608,
0.517,0.001750041308,-0.05570699786,-0.07538124919,
0.537,0.00175301989,-0.05408448285,-0.06744828075,
0.557,0.001756055023,-0.05087371944,-0.06045909598,
0.577,0.001759222656,-0.0481978136,-0.05474550277,
0.597,0.001762741689,-0.04317285113,-0.05319746956,
0.617,0.001766203741,-0.03898653803,-0.05158728361,
0.637,0.00176951372,-0.0354980229,-0.05156362802,
0.657,0.001772827716,-0.03259183825,-0.04701604322,
0.677,0.001775965704,-0.02892476916,-0.04413370416,
0.697,0.001777738717,-0.02586874375,-0.0424044244,
0.717,0.001781009264,-0.02332161116,-0.04151579738,
0.737,0.001784062384,-0.02231449403,-0.04231541231,
0.757,0.001787142893,-0.02147544947,-0.04215706512,
0.777,0.001790205408,-0.02077826561,-0.03857860342,
0.797,0.001793363906,-0.01834216403,-0.03322631493,
0.817,0.001796739812,-0.01533911551,-0.02387229726,
0.837,0.001800083298,-0.01098144897,-0.01781358942,
0.857,0.001803200352,-0.007354157945,-0.01549479458,
0.877,0.001806556495,-0.004360961755,-0.01021688152,
0.897,0.001809992138,-1.502666697e-05,-0.005758610554,
0.917,0.001813356242,0.003601631799,-0.002804710297,
0.937,0.001816710383,0.0077569798,0.004646016285,
0.957,0.001819934548,0.009787527649,0.006926000118,
0.977,0.001823124868,0.01147459458,0.009717535228,
0.997,0.001826242742,0.01512441697,0.01661655679,
1.017,0.001829335834,0.01816543177,0.01945240609,
1.037,0.001831999548,0.02069935661,0.02009100653,
1.057,0.001833383293,0.02281076266,0.02056474797,
1.077,0.001837622216,0.02457002492,0.02159790695,
1.097,0.001839373122,0.02603622202,0.02166670375,
1.117,0.001843076225,0.02725820897,0.02177678794,
1.137,0.001846618455,0.02827666436,0.02212829702,
1.157,0.001850143307,0.03127887029,0.02247195132,
1.177,0.001853826981,0.0319266741,0.02146036923,
1.197,0.001857429275,0.03432191163,0.02270356193,
1.217,0.001860702892,0.03568452338,0.02327282541,
1.237,0.001864136192,0.03682010961,0.02473002486,
1.257,0.001867602743,0.0377664313,0.0264410954,
1.277,0.001871240855,0.03855500972,0.02974362485,
1.297,0.001872562644,0.03922883527,0.02815072984,
1.317,0.001876078988,0.04016506619,0.02534582466,
1.337,0.001881577708,0.0409454928,0.02558279037,
1.357,0.001885301616,0.04159183089,0.02630224265,
1.377,0.001888976002,0.04212635292,0.02760140039,
1.397,0.001892574181,0.04307948708,0.02828057483,
1.417,0.0018963138,0.04387282472,0.03087735176,
1.437,0.001899984425,0.04379913763,0.03260966018,
1.457,0.001903618018,0.0455903454,0.03779162094,
1.477,0.001907103921,0.04707953163,0.04203859344,
1.497,0.001910288533,0.05017507081,0.05069682002,
1.517,0.001913545415,0.05275208697,0.04670796916,
1.537,0.001916861689,0.0532337017,0.04213792831,
1.557,0.001920441391,0.05363280139,0.0396864675,
1.577,0.001924041283,0.05399842623,0.03739153594,
1.597,0.001927302574,0.0524527816,0.03192984685,
1.617,0.001930198409,0.05117142966,0.01915282756,
1.637,0.001933485806,0.04545066795,9.996944573e-05,
1.657,0.001936887469,0.04068048363,-0.01138746552,
1.677,0.001940409069,0.03299422529,-0.03487772122,
1.697,0.001943881861,0.02288196853,-0.05648997426,
1.717,0.001947869755,0.0135723341,-0.06817876548,
1.737,0.001951829646,0.002098927541,-0.08840493113,
1.757,0.001955510842,-0.009324283513,-0.09418354183,
1.777,0.00195999295,-0.016865205,-0.09745626897,
1.797,0.001960539381,-0.02498193005,-0.1072386354,
1.817,0.001963220269,-0.03174348799,-0.1137670949,
1.837,0.001964045703,-0.03921210785,-0.1215538383,
1.857,0.001966453205,-0.05041866824,-0.1243984476,
1.877,0.001969565257,-0.05790750169,-0.1181015521,
1.897,0.001972734507,-0.06415281565,-0.1144905314,
1.917,0.001971695821,-0.06750231282,-0.1042378619,
1.937,0.001975283813,-0.06844180604,-0.094402574,
1.957,0.001978443762,-0.06643765271,-0.08831010014,
1.977,0.001981756938,-0.06477231554,-0.07717924565,
1.997,0.001985334855,-0.06152948895,-0.0647411719,
2.017,0.001989254291,-0.05654210607,-0.0528287366,
2.037,0.00199292273,-0.04942106606,-0.04299110547,
2.057,0.001995995649,-0.04348707758,-0.03557385504,
2.077,0.001998507966,-0.03594222361,-0.0320398286,
2.097,0.002001566225,-0.02965479678,-0.02659607306,
