"/uav_ground_truth/pose/pose/position/y_x","/uav_ground_truth/pose/pose/position/y_y","/del_uav/KF_pose/y_y","/ual/pose/pose/position/y_y"
0.303,0.001334019754,-0.005747196327,-0.02253341302,
0.323,0.001336172515,-0.007760475636,-0.03146556392,
0.343,0.001337964702,-0.01128986,-0.04083253443,
0.363,0.001339852052,-0.01607448535,-0.04575099796,
0.383,0.001341849587,-0.02087696627,-0.05151144415,
0.403,0.001343723901,-0.02672218729,-0.06128976867,
0.423,0.001345910745,-0.03205336522,-0.06469573826,
0.443,0.001347065474,-0.03833885541,-0.07102888823,
0.463,0.00134914517,-0.04357613502,-0.07477471232,
0.483,0.00135120193,-0.04793938908,-0.07069211453,
0.503,0.00135312043,-0.04858279348,-0.06499952823,
0.523,0.001355060396,-0.0491203356,-0.06160329655,
0.543,0.00135719576,-0.04956834858,-0.05869967863,
0.563,0.00136100992,-0.04809981945,-0.05201409757,
0.583,0.001361790012,-0.0468760944,-0.04790312052,
0.603,0.001363810719,-0.0441211583,-0.0431256108,
0.623,0.001366398504,-0.04182631094,-0.03968400881,
0.643,0.001368927481,-0.03991400087,-0.0367764011,
0.663,0.0013713111,-0.03967824884,-0.0363798216,
0.683,0.001373632764,-0.03948325934,-0.03645210341,
0.703,0.001375991924,-0.03932127592,-0.03851535171,
0.723,0.001378806343,-0.03918739897,-0.03729618341,
0.743,0.001381266988,-0.0382116724,-0.03767562285,
0.763,0.001383394452,-0.0373983092,-0.03919849917,
0.783,0.001384690114,-0.03672026562,-0.04112417996,
0.803,0.001386441677,-0.03550372342,-0.04324862733,
0.823,0.001388479784,-0.03633345564,-0.04595660418,
0.843,0.001390368166,-0.03702837188,-0.04565197602,
0.863,0.001392292341,-0.03760780536,-0.04814583436,
0.883,0.001394375458,-0.03942718098,-0.05276414379,
0.903,0.001396376612,-0.04094314652,-0.05635572225,
0.923,0.001398560315,-0.04405073359,-0.05830166116,
0.943,0.001400637038,-0.04464298788,-0.06312546879,
0.963,0.001402712431,-0.04512665414,-0.0637280196,
0.983,0.00140487568,-0.04551653791,-0.0640674457,
1.003,0.001406918436,-0.04795116109,-0.06630352885,
1.023,0.001408852288,-0.05147528542,-0.06752833724,
1.043,0.001410696634,-0.05441904629,-0.06798065454,
1.063,0.001412428226,-0.05601475796,-0.06848324835,
1.083,0.001414280273,-0.05733926341,-0.06963612884,
1.103,0.00141601655,-0.05844306343,-0.06963889301,
1.123,0.001417669363,-0.0593633059,-0.06829493493,
1.143,0.001418587425,-0.05828551947,-0.0655104965,
1.163,0.001412754715,-0.05738642862,-0.06500889361,
1.183,0.00142025279,-0.0566373424,-0.06563103944,
1.203,0.001422639507,-0.05601331257,-0.06868705899,
1.223,0.001424460895,-0.05804806184,-0.06794761121,
1.243,0.001426487514,-0.05790230197,-0.06530310959,
1.263,0.0014286201,-0.05778091681,-0.06290274113,
1.283,0.001430919923,-0.05685084373,-0.0593557246,
1.303,0.001433330721,-0.05607660048,-0.0549024865,
1.323,0.001435729464,-0.05358854738,-0.04997944087,
1.343,0.001437800034,-0.04967225735,-0.03549826145,
1.363,0.001440099977,-0.04477403469,-0.02360354923,
1.383,0.0014422125,-0.03967014162,-0.01054674014,
1.403,0.001443534899,-0.03357387532,0.0001275644463,
1.423,0.001445563973,-0.02848997949,0.003616996575,
1.443,0.0014498063,-0.02424972911,0.01047652494,
1.463,0.001452179255,-0.02026575738,0.01089541987,
1.483,0.001454444814,-0.01511184721,0.01334890816,
1.503,0.001456545652,-0.01061788127,0.01457562763,
1.523,0.001458568739,-0.006867821113,0.01445971802,
1.543,0.001460752149,-0.003734996204,0.01481551956,
1.563,0.001463037462,-0.001123425277,0.01484519243,
1.583,0.001465416766,0.001059068074,0.01557759196,
1.603,0.001467682728,0.003182873197,0.01864652149,
1.623,0.001469993928,0.004950140745,0.02049450763,
1.643,0.001471903401,0.006414319501,0.0256273672,
1.663,0.001473818451,0.007640047964,0.03215264529,
1.683,0.001475803413,0.01051170448,0.04734637216,
1.703,0.001477716029,0.01785096279,0.05835011601,
1.723,0.001479327248,0.02580273175,0.06592632085,
1.743,0.001481570271,0.03611430208,0.08083854616,
1.763,0.001483802203,0.04656021537,0.0958301872,
1.783,0.001486141771,0.05372342118,0.1031042859,
1.803,0.001488665117,0.06337245392,0.117747955,
1.823,0.001491398057,0.07140457838,0.1155467033,
1.843,0.001493835589,0.07614800723,0.1149954945,
1.863,0.00149629307,0.08012031962,0.1175450385,
1.883,0.001499435393,0.08343320469,0.1184529811,
1.903,0.001499204691,0.08621231179,0.1213716194,
1.923,0.001501150597,0.09299446999,0.1206497103,
1.943,0.001501880791,0.09679872849,0.1135904416,
1.963,0.001504141979,0.0981220504,0.1091919914,
1.983,0.001507996493,0.09738151432,0.09848091751,
2.003,0.00150822816,0.09676130997,0.08717994392,
2.023,0.001512745143,0.09251351269,0.08055671304,
2.043,0.001515129875,0.08712455547,0.073068358,
2.063,0.001517644731,0.08263327128,0.06574625522,
