"/ual/odom/pose/pose/position/z_x","/ual/odom/pose/pose/position/z_y","/del_uav/KF_pose/z_y"
23.284,0.3336283565,0.3398720324,
23.317,0.3407016993,0.3353151243,
23.35,0.345248282,0.3405634829,
23.384,0.3528943658,0.343881778,
23.417,0.3717462718,0.3555769404,
23.45,0.3822416663,0.3693358869,
23.484,0.3884010613,0.3838170769,
23.517,0.3860859573,0.388312473,
23.55,0.383694917,0.3860859573,
23.585,0.3771896064,0.3843408714,
23.617,0.3502347767,0.3741633387,
23.65,0.3345609605,0.3544905237,
23.684,0.320353508,0.330722729,
23.717,0.3000041842,0.320353508,
23.75,0.2876664102,0.2966710579,
23.784,0.2523095608,0.2876664102,
23.817,0.2202147245,0.2478589084,
23.85,0.2040328085,0.2244346916,
23.884,0.1899720132,0.2126244207,
23.917,0.1601448059,0.1894278874,
23.95,0.1396233588,0.1676586854,
23.984,0.1165430248,0.1396233588,
24.017,0.07482074201,0.1227783204,
24.05,0.05383341014,0.07417797391,
24.084,0.03307113796,0.05886050012,
24.117,0.01785983704,0.02838821365,
24.15,-0.002119568177,0.01728634016,
24.184,-0.01425396465,-0.004468574889,
24.217,-0.01282145269,-0.01332478878,
24.25,-0.01318804547,-0.01253093348,
24.284,-0.01303074975,-0.01279848895,
24.317,-0.01214239467,-0.0127907551,
24.35,-0.01389728673,-0.01214239467,
24.384,-0.02037842013,-0.01564820518,
24.417,-0.04131249338,-0.02037842013,
24.45,-0.05983512104,-0.0463164963,
24.484,-0.1054261625,-0.05983512104,
24.517,-0.1290494949,-0.1118817855,
24.55,-0.1686594486,-0.1291231279,
24.592,-0.2105586231,-0.174631423,
24.617,-0.2277873755,-0.2052112752,
24.65,-0.2423162162,-0.2314546904,
24.684,-0.2663444281,-0.2420584745,
24.717,-0.2719569504,-0.2686553716,
24.75,-0.2749402821,-0.2727516362,
24.784,-0.282250762,-0.2762743796,
24.817,-0.2964220047,-0.2816098879,
24.85,-0.3066230714,-0.2991778862,
24.884,-0.3242822886,-0.3066230714,
24.917,-0.3330001235,-0.3261596786,
24.95,-0.3391284347,-0.3325223362,
24.984,-0.362149328,-0.3369950461,
25.017,-0.3663010597,-0.362149328,
25.05,-0.3609965742,-0.3651794436,
25.084,-0.3595260978,-0.3609965742,
25.117,-0.3595000207,-0.3599233561,
25.15,-0.3520483673,-0.3588481648,
25.184,-0.3508137465,-0.3534096218,
25.217,-0.3516214192,-0.3510319443,
25.25,-0.3627831936,-0.3516214192,
25.284,-0.369974494,-0.363663086,
25.317,-0.3790929317,-0.368911612,
25.35,-0.379296273,-0.3791478656,
25.384,-0.3883261681,-0.379296273,
25.417,-0.394916594,-0.3911852026,
25.45,-0.4148952663,-0.3959951841,
25.484,-0.4278939664,-0.4105764939,
25.517,-0.4421046674,-0.4278939664,
25.55,-0.4751008153,-0.4382655583,
25.584,-0.4922877848,-0.4759815451,
25.617,-0.5155133605,-0.488525348,
25.65,-0.5286934376,-0.5190740402,
25.684,-0.539226532,-0.5286934376,
25.717,-0.5668820143,-0.5363809511,
25.75,-0.5875987411,-0.5667953181,
25.784,-0.598444283,-0.5819152924,
25.817,-0.6131505966,-0.602417285,
25.85,-0.6340450048,-0.6131505966,
25.884,-0.6440963149,-0.6356099165,
25.917,-0.6459966302,-0.6429458027,
25.95,-0.647106111,-0.6462963633,
25.984,-0.6412960291,-0.647106111,
26.017,-0.6358239055,-0.6411345204,
26.05,-0.6285771728,-0.6371407249,
26.084,-0.619645834,-0.6245681171,
26.117,-0.6000440717,-0.618049635,
26.15,-0.5815905333,-0.6037434106,
26.184,-0.5576469898,-0.5797043915,
26.217,-0.5321481824,-0.5622293451,
26.25,-0.5150507092,-0.5307323966,
26.284,-0.5077987313,-0.518253912,
26.317,-0.5009213686,-0.5069564545,
26.35,-0.4978761971,-0.501937054,
26.384,-0.4939312339,-0.4968104408,
26.417,-0.4945358038,-0.4939312339,
26.45,-0.4993737042,-0.4943724755,
26.486,-0.5021213293,-0.4993737042,
26.517,-0.5076050162,-0.5013790413,
26.55,-0.5227006674,-0.5092542731,
26.584,-0.5300853252,-0.5202717404,
26.617,-0.5487112999,-0.5331657298,
26.65,-0.5582643747,-0.5467597817,
26.684,-0.564848721,-0.5600431768,
26.717,-0.5788543224,-0.564848721,
26.75,-0.5913687348,-0.5822351687,
26.784,-0.5969033837,-0.5913687348,
26.817,-0.6084242463,-0.595408164,
26.851,-0.6045171618,-0.6077539287,
26.884,-0.6051985621,-0.6049023674,
26.918,-0.5872566104,-0.6032767371,
26.95,-0.5743869543,-0.5901819151,
26.984,-0.546916604,-0.5706940081,
27.017,-0.5326489806,-0.5506449436,
27.05,-0.5155548453,-0.5280308938,
27.084,-0.4835117459,-0.5155548453,
27.117,-0.4788025618,-0.4829567066,
27.15,-0.4758554101,-0.4795197378,
27.184,-0.4727857113,-0.475447194,
27.217,-0.4689481258,-0.4732067934,
27.25,-0.4727752507,-0.4704059555,
27.284,-0.4801598489,-0.4727752507,
27.317,-0.5089038014,-0.4781648538,
27.35,-0.5236286521,-0.5089038014,
27.384,-0.5370227098,-0.5196506422,
27.417,-0.5493832827,-0.5411694424,
27.45,-0.5697627068,-0.5501907297,
27.484,-0.5809907913,-0.5727960435,
27.517,-0.5895608068,-0.5809907913,
27.55,-0.6078011394,-0.5944885459,
27.584,-0.6130385399,-0.6078011394,
27.617,-0.6183077097,-0.6116236236,
27.65,-0.6068140268,-0.6176011452,
27.684,-0.57732898,-0.6092125522,
27.717,-0.5647634268,-0.57732898,
27.75,-0.5341568589,-0.568158089,
27.784,-0.5205528736,-0.5342957757,
27.817,-0.5037172437,-0.5243669916,
27.85,-0.4988443851,-0.5028592024,
27.884,-0.4781760275,-0.4993027769,
27.917,-0.4662484229,-0.4783107255,
27.95,-0.4293783307,-0.4696054373,
27.984,-0.4030122757,-0.4293783307,
28.017,-0.3507820964,-0.4101352292,
28.053,-0.3240685761,-0.3504062062,
28.084,-0.2748370767,-0.3309095093,
28.117,-0.2433485389,-0.2737278434,
28.15,-0.1941304058,-0.2507461297,
28.184,-0.1693112105,-0.1931679635,
28.217,-0.1416162848,-0.175053828,
28.25,-0.09521368891,-0.1344062325,
28.284,-0.07853551954,-0.1005395861,
28.317,-0.04854631051,-0.07398501819,
28.35,-0.03724001348,-0.05209758027,
28.384,-0.03039212711,-0.03541564268,
28.417,-0.03415187076,-0.03041775535,
28.45,-0.03845236078,-0.03516169482,
28.484,-0.04998113215,-0.03830038074,
28.517,-0.05871054903,-0.05233943835,
28.55,-0.07085090131,-0.05871054903,
28.584,-0.09871638566,-0.06757110972,
28.618,-0.1146078631,-0.0988292888,
28.65,-0.1285884678,-0.1104275849,
28.684,-0.1396635026,-0.130458189,
28.717,-0.1460552663,-0.1385412343,
28.75,-0.1580094099,-0.1479648815,
28.784,-0.1607719958,-0.156689539,
28.817,-0.1626244187,-0.1587057951,
28.85,-0.165976584,-0.1628819954,
28.885,-0.1728148758,-0.1653285523,
28.917,-0.1784892678,-0.1743478481,
28.95,-0.1796249747,-0.1784892678,
28.984,-0.1667069495,-0.1793181565,
29.017,-0.1619510651,-0.1667069495,
29.05,-0.1637627631,-0.1632358968,
29.084,-0.1650437415,-0.1637315362,
29.117,-0.1676568985,-0.1646664503,
29.15,-0.1733268946,-0.1682927968,
29.184,-0.1784695089,-0.1724310083,
29.217,-0.1741718799,-0.178238421,
29.25,-0.172270745,-0.1751018231,
29.284,-0.1786388606,-0.173991131,
29.317,-0.1975248605,-0.1786388606,
29.35,-0.2051901668,-0.1924226903,
29.384,-0.2154283524,-0.2054850692,
29.417,-0.2294073701,-0.2129573453,
29.45,-0.2367257178,-0.2298545343,
29.485,-0.2415048629,-0.2351957849,
29.517,-0.2457711101,-0.2423833987,
29.55,-0.2492196858,-0.2454970927,
29.584,-0.2552928329,-0.2502780591,
29.617,-0.2548798025,-0.2547105077,
29.65,-0.2493180037,-0.2529425592,
29.684,-0.2358366996,-0.2488833149,
29.717,-0.2345977128,-0.2357903363,
29.75,-0.2376431525,-0.2348860694,
29.784,-0.2342661619,-0.2371087647,
29.817,-0.235937342,-0.2342661619,
29.85,-0.2371857017,-0.2354858624,
29.884,-0.2376803756,-0.2373193409,
29.917,-0.2361779362,-0.2376803756,
29.95,-0.2339703292,-0.2365838295,
29.984,-0.2295893282,-0.2339703292,
30.017,-0.2175617367,-0.2307728828,
30.05,-0.2114917636,-0.217385627,
30.084,-0.2055897713,-0.2129554948,
30.117,-0.1955174357,-0.2028686672,
30.15,-0.1860911399,-0.1955174357,
30.184,-0.1670209318,-0.1886377123,
30.217,-0.1553320587,-0.1670209318,
30.25,-0.1409269273,-0.1584898804,
30.284,-0.1022206172,-0.1355465451,
30.317,-0.0747942701,-0.1072969851,
30.35,-0.04585323483,-0.06697566964,
30.384,0.02398534864,-0.04585323483,
30.417,0.06530658901,0.03514853841,
30.45,0.1401792914,0.06530658901,
30.484,0.1764905304,0.1514829619,
30.517,0.2101869434,0.1779844942,
30.55,0.2780870795,0.2025776119,
30.584,0.3064406812,0.2780870795,
30.617,0.3631729186,0.2987807796,
30.65,0.3876661956,0.3637839948,
30.684,0.4409724176,0.3816602609,
30.717,0.4684985578,0.4420748475,
30.75,0.492054224,0.4621646299,
30.784,0.5441922545,0.4998355309,
30.817,0.5669353008,0.5378881486,
30.85,0.6113283038,0.573674498,
30.884,0.6352112293,0.6060744555,
30.917,0.6806454062,0.641338674,
30.95,0.7002057433,0.6744985258,
30.984,0.7231450081,0.7064029282,
31.017,0.7674387693,0.7231450081,
31.05,0.7864763737,0.7725818964,
31.084,0.8270334005,0.7864763737,
31.117,0.8455289602,0.8320300909,
31.15,0.8852892518,0.8455289602,
31.184,0.9083955884,0.874547762,
31.217,0.9243515134,0.9079042508,
31.25,0.9652563334,0.9195495836,
31.284,0.9856291413,0.9652563334,
31.317,1.015495062,0.9801253007,
31.35,1.032270551,1.016582049,
31.384,1.051336288,1.028825536,
31.417,1.070701718,1.05656798,
31.45,1.110305667,1.070701718,
31.484,1.12702179,1.099606414,
31.517,1.139001012,1.12702179,
31.55,1.156367779,1.135764751,
31.584,1.187373161,1.160508199,
31.617,1.203107595,1.183137285,
31.65,1.21247983,1.206868768,
31.684,1.238260508,1.213709035,
31.717,1.24665761,1.232524903,
31.75,1.257471204,1.247752874,
31.784,1.282120466,1.255645109,
31.818,1.294861674,1.281598711,
31.85,1.305852294,1.290897802,
31.884,1.325467587,1.307980699,
31.917,1.330685019,1.322296798,
31.95,1.346096516,1.333874422,
31.984,1.359261274,1.345122407,
32.017,1.372167706,1.360199957,
32.05,1.382964611,1.369619637,
32.084,1.402742982,1.386345055,
32.119,1.41394031,1.400780176,
32.15,1.421784997,1.417037188,
32.184,1.441372156,1.422762584,
32.217,1.448395133,1.442913687,
32.25,1.459044218,1.448039363,
32.284,1.460541844,1.460324952,
32.317,1.471234798,1.461417985,
32.35,1.476261258,1.472592728,
32.384,1.491742611,1.476261258,
32.417,1.495341539,1.492714884,
32.45,1.500591397,1.495341539,
32.484,1.504735708,1.501036665,
32.517,1.509705186,1.504061365,
32.55,1.517421007,1.511789663,
32.584,1.522949576,1.517421007,
32.617,1.528380275,1.523807682,
32.65,1.540733218,1.527771244,
32.684,1.547473073,1.541753541,
32.717,1.563122034,1.546672582,
32.75,1.567129135,1.563188989,
32.784,1.570629597,1.566113546,
32.817,1.581321001,1.571914614,
32.85,1.588577271,1.579717669,
32.884,1.588740349,1.588621327,
32.917,1.595247984,1.588740349,
32.95,1.59307301,1.594660401,
32.984,1.601778388,1.59307301,
33.017,1.599108338,1.599426576,
33.05,1.601264119,1.599108338,
33.084,1.602258563,1.600681722,
33.117,1.60777998,1.603833201,
33.15,1.60819912,1.607862972,
33.184,1.6106354,1.609487454,
33.217,1.61642766,1.611265558,
33.25,1.618883967,1.615493003,
33.284,1.61676836,1.617909891,
33.317,1.618614793,1.616365828,
33.35,1.622349501,1.619450935,
33.384,1.625423908,1.622176688,
33.417,1.626986265,1.624764895,
33.45,1.627792597,1.625905171,
33.484,1.632890105,1.628567839,
33.517,1.630049586,1.632288224,
33.55,1.632624865,1.631371188,
33.584,1.637485623,1.633250739,
33.617,1.641749024,1.636798334,
33.65,1.644246459,1.641230007,
33.684,1.646143794,1.643052744,
33.717,1.64918077,1.646953721,
33.751,1.651212335,1.649170239,
33.784,1.654816389,1.652185992,
33.817,1.659483314,1.654816389,
33.85,1.658510804,1.658222515,
33.884,1.662473559,1.659078194,
33.917,1.664109945,1.661970386,
33.95,1.667686582,1.665076196,
33.984,1.664954782,1.667686582,
34.017,1.667131305,1.664577982,
34.05,1.666682482,1.666166503,
34.084,1.672399879,1.667470992,
34.117,1.674640775,1.671643799,
34.15,1.673597932,1.673279303,
34.184,1.675412655,1.673597932,
34.217,1.677231193,1.674922396,
34.25,1.67952311,1.676223204,
34.284,1.677085638,1.677895946,
34.317,1.678361893,1.677472003,
34.35,1.680337667,1.67840347,
34.384,1.683232188,1.68111964,
34.417,1.682532907,1.683232188,
34.45,1.686250329,1.682721822,
34.484,1.690636754,1.687058774,
34.517,1.68991363,1.690260179,
34.55,1.692483425,1.690409235,
34.584,1.690115452,1.692284784,
34.618,1.69324863,1.690728315,
34.65,1.695501566,1.693015046,
34.684,1.701699853,1.696561888,
34.717,1.705932021,1.701085669,
34.75,1.710396767,1.706726296,
34.784,1.713343263,1.709984863,
34.817,1.716781378,1.714272091,
34.85,1.720115542,1.716781378,
34.884,1.722096205,1.720650631,
34.917,1.72024703,1.722096205,
34.95,1.72243309,1.720746596,
34.984,1.723191261,1.72243309,
35.017,1.722821474,1.722986437,
35.05,1.720278263,1.722934675,
35.084,1.726914406,1.721078528,
35.117,1.727260351,1.726448301,
35.15,1.728309274,1.726700787,
35.184,1.730676651,1.728948835,
35.217,1.727725387,1.730676651,
35.25,1.730111361,1.728522689,
35.284,1.740804434,1.731235352,
35.317,1.741203427,1.739039625,
35.35,1.745088339,1.74225296,
35.384,1.747924685,1.745088339,
35.417,1.749018312,1.747158429,
35.45,1.751345396,1.749018312,
35.484,1.752852917,1.75071672,
35.517,1.759872317,1.753658625,
35.55,1.76005733,1.758781691,
35.584,1.762903929,1.760826356,
35.617,1.768861651,1.762903929,
35.65,1.768440366,1.767252136,
35.684,1.77912426,1.769018512,
35.717,1.783820033,1.776816086,
35.75,1.788689971,1.783501975,
35.784,1.791709423,1.787056269,
35.817,1.794363856,1.791709423,
35.85,1.796586871,1.793646745,
35.884,1.802445531,1.797583266,
35.917,1.80005753,1.801859172,
35.95,1.801659822,1.801152988,
35.984,1.806637168,1.802322411,
36.017,1.80887711,1.80670116,
36.05,1.810815811,1.808335968,
36.084,1.811789036,1.809750916,
36.117,1.814649582,1.812351853,
36.15,1.81635201,1.815625075,
36.184,1.822530866,1.816867582,
36.217,1.825380445,1.823300697,
36.25,1.831164002,1.825380445,
36.284,1.830228806,1.830911353,
36.317,1.831889987,1.830228806,
36.35,1.835750222,1.831441209,
36.384,1.834476352,1.835750222,
36.417,1.840364099,1.834820496,
36.45,1.837006211,1.839948781,
36.484,1.839928985,1.837498048,
36.517,1.849437952,1.841097258,
36.55,1.852605939,1.848037319,
36.584,1.858180761,1.853183924,
36.617,1.857816339,1.857252674,
36.65,1.866219997,1.859235844,
36.684,1.874332428,1.865369202,
36.717,1.879662275,1.873770255,
36.75,1.882986188,1.877660211,
36.784,1.892009258,1.883731318,
36.817,1.892243505,1.89031675,
36.85,1.895407438,1.893098261,
36.884,1.899196744,1.895407438,
36.917,1.903025985,1.900231237,
36.95,1.906200647,1.903025985,
36.984,1.909701705,1.907609815,
37.017,1.913133979,1.91016504,
37.05,1.919959307,1.912670064,
37.084,1.923443794,1.919959307,
37.117,1.926238656,1.922502438,
37.15,1.93087244,1.926720252,
37.184,1.932898164,1.93010219,
37.217,1.935606241,1.933629768,
37.25,1.941464901,1.935606241,
37.284,1.944702864,1.942339657,
37.317,1.947476983,1.944702864,
37.35,1.951919794,1.946727537,
37.384,1.95345974,1.951919794,
37.418,1.957644105,1.953043714,
37.45,1.958086967,1.95749171,
37.484,1.960274696,1.957814931,
37.517,1.962808013,1.960959088,
37.55,1.963470101,1.962808013,
37.584,1.966787696,1.96404258,
37.617,1.970984936,1.966463906,
37.65,1.971615076,1.969527235,
37.684,1.974127889,1.971615076,
37.717,1.976772666,1.973449037,
37.75,1.980096459,1.977123412,
37.784,1.98687017,1.979549262,
37.817,1.989109159,1.98687017,
37.85,1.993313193,1.988504282,
37.884,1.994518995,1.993313193,
37.917,1.999658346,1.99419324,
37.95,2.003903151,2.000116045,
37.984,2.007711649,2.00321409,
38.017,2.010661125,2.007711649,
38.05,2.017705441,2.012564191,
38.084,2.020364285,2.017705441,
38.117,2.024748087,2.019645981,
38.15,2.030309439,2.02579894,
38.184,2.033401251,2.029857858,
38.217,2.037598848,2.03350843,
38.25,2.036662817,2.03657202,
38.284,2.038321972,2.037560954,
38.317,2.043864965,2.038771878,
38.35,2.045411348,2.04428273,
38.384,2.04773736,2.045411348,
38.417,2.050986528,2.047108974,
38.45,2.050889015,2.050539135,
38.484,2.053755045,2.050467965,
38.517,2.055730343,2.054198896,
38.55,2.057528734,2.055640555,
38.584,2.058297396,2.058241305,
38.618,2.061022282,2.058802308,
38.65,2.060213089,2.060791049,
38.684,2.060966969,2.060183976,
38.717,2.06106329,2.06073419,
38.75,2.062841654,2.060804489,
38.784,2.064129829,2.063176201,
38.819,2.061151743,2.064116368,
38.85,2.058656216,2.061151743,
38.884,2.056728601,2.059330398,
38.917,2.055833101,2.056989077,
38.95,2.054922819,2.056335501,
38.984,2.052979231,2.054479612,
39.017,2.053692579,2.053061096,
39.05,2.052582979,2.053392814,
39.084,2.053366184,2.052582979,
39.117,2.055790901,2.054021237,
39.15,2.056799412,2.055790901,
39.184,2.062148333,2.056526956,
39.217,2.064136028,2.061809148,
39.25,2.066972733,2.063259856,
39.284,2.069816828,2.066590393,
39.317,2.072638273,2.068666138,
39.35,2.07530427,2.073358509,
39.384,2.08047533,2.07530427,
39.417,2.085280895,2.079078336,
39.45,2.08757472,2.085280895,
39.484,2.090651512,2.086955029,
39.517,2.093052387,2.091300123,
39.55,2.097950935,2.093052387,
39.584,2.098284006,2.096627562,
39.617,2.099254131,2.098714331,
39.65,2.103244066,2.100041418,
39.684,2.106571913,2.102953447,
39.717,2.112103462,2.10722967,
39.75,2.114811897,2.111266837,
39.784,2.114727259,2.115071921,
39.817,2.116527796,2.115010149,
39.85,2.117676735,2.116324259,
39.884,2.11954689,2.118068543,
39.917,2.12278223,2.119433464,
39.95,2.124967098,2.123062222,
39.984,2.127161741,2.124656834,
40.017,2.130499125,2.128063356,
40.05,2.132091999,2.130499125,
40.084,2.135066509,2.131661674,
40.117,2.139294386,2.136208696,
40.15,2.144774675,2.139294386,
40.184,2.147736549,2.143294141,
40.217,2.150215626,2.147736549,
40.25,2.153771162,2.149545888,
40.284,2.155813456,2.153771162,
40.317,2.156799793,2.155261717,
40.35,2.158010244,2.156799793,
40.384,2.160810947,2.157683233,
40.417,2.163566828,2.161059571,
40.45,2.16660428,2.163070933,
40.484,2.166269064,2.16660428,
40.517,2.17043829,2.166359625,
40.55,2.173325539,2.17043829,
40.584,2.174473047,2.17254553,
40.617,2.180128336,2.175388317,
40.65,2.182370424,2.179515794,
40.684,2.184830427,2.183035009,
40.717,2.187529802,2.184830427,
40.75,2.187200546,2.187440852,
40.784,2.189215899,2.187200546,
40.817,2.189142466,2.188671439,
40.85,2.190088511,2.189409124,
40.884,2.190073013,2.190099589,
40.917,2.190008879,2.190336516,
40.95,2.191209078,2.190289707,
40.984,2.191576958,2.191428395,
41.017,2.192538738,2.19169689,
41.05,2.194448471,2.193065614,
41.084,2.195846081,2.194459421,
41.117,2.19749403,2.196492309,
41.15,2.198551416,2.197695054,
41.184,2.199951172,2.198929569,
41.217,2.201117039,2.199951172,
41.25,2.20269227,2.200802073,
41.284,2.203852177,2.20269227,
41.317,2.204428911,2.203538821,
41.35,2.207177162,2.204610291,
41.384,2.2063241,2.206616084,
41.417,2.209162474,2.206895935,
41.45,2.209494829,2.208967504,
41.484,2.210947275,2.209887216,
41.517,2.214226484,2.210947275,
41.55,2.215382099,2.214403355,
41.584,2.216075897,2.215246773,
41.617,2.218353033,2.215753137,
41.65,2.218796968,2.218353033,
41.684,2.221443176,2.218677037,
41.717,2.222269058,2.221648516,
41.75,2.222429037,2.222251281,
41.784,2.224162102,2.222897235,
41.817,2.227881193,2.224162102,
41.85,2.228805065,2.22790554,
41.884,2.228321075,2.228579822,
41.917,2.230448723,2.228226586,
41.95,2.231196404,2.230668942,
41.984,2.231739283,2.231214632,
42.017,2.231533289,2.231433334,
42.05,2.230111361,2.231282991,
42.084,2.230491638,2.230245205,
42.117,2.23086834,2.230749408,
42.15,2.232218742,2.231024341,
42.184,2.233557701,2.232079809,
42.217,2.23417902,2.23305704,
42.25,2.234174967,2.234177925,
42.284,2.235947371,2.234174967,
42.317,2.237177134,2.236176735,
42.35,2.239160538,2.23707427,
42.384,2.239331484,2.238521846,
42.417,2.240757465,2.239331484,
42.45,2.24199152,2.240372228,
42.484,2.243016243,2.242268355,
42.517,2.246637344,2.243016243,
42.55,2.247984171,2.247001198,
42.584,2.249163628,2.247984171,
42.617,2.250921249,2.24884499,
42.65,2.252447605,2.251170131,
42.684,2.252968073,2.252284132,
42.717,2.253031969,2.253147069,
42.75,2.24951601,2.253193703,
42.784,2.247555733,2.249210512,
42.817,2.246953249,2.247779816,
42.85,2.244466066,2.247340097,
42.884,2.243106127,2.244466066,
42.918,2.241827965,2.243473523,
42.95,2.242265224,2.241946093,
42.984,2.240440845,2.242265224,
43.017,2.242156744,2.240933713,
43.051,2.241631508,2.24234727,
43.086,2.241668224,2.241963929,
43.117,2.241801739,2.241990727,
43.15,2.242470741,2.242049976,
43.184,2.241845846,2.242301922,
43.218,2.243886232,2.241845846,
43.25,2.244492292,2.244049963,
43.284,2.24557662,2.244492292,
43.317,2.246420622,2.245804632,
43.35,2.248322964,2.246420622,
43.384,2.249147654,2.247809034,
43.417,2.250106573,2.249177218,
43.45,2.251380205,2.249877079,
43.484,2.253419638,2.25182747,
43.517,2.255206108,2.253315937,
43.55,2.255282402,2.254058845,
43.584,2.256162643,2.255418372,
43.617,2.257463694,2.256060811,
43.65,2.25855422,2.257463694,
43.684,2.258618832,2.258259608,
43.717,2.261021852,2.259089928,
43.75,2.260536671,2.260843758,
43.784,2.261573792,2.261051309,
43.817,2.263442993,2.261808245,
43.85,2.265039444,2.263717252,
43.884,2.265887737,2.264882412,
43.917,2.26581049,2.265501533,
43.95,2.26693964,2.266004815,
43.984,2.268995523,2.266828919,
44.017,2.269698381,2.268995523,
44.05,2.271105289,2.2695085,
44.084,2.274106741,2.271524149,
44.117,2.276348352,2.27371474,
44.15,2.275972605,2.276246842,
44.184,2.276897669,2.275972605,
44.217,2.27704072,2.276795192,
44.25,2.276893616,2.276899597,
44.284,2.278305531,2.277155443,
44.317,2.278146744,2.278185921,
44.35,2.278611898,2.278272408,
44.384,2.27837801,2.278611898,
44.418,2.279598713,2.27870779,
44.45,2.280431271,2.279598713,
44.484,2.281889439,2.28020635,
44.517,2.282939672,2.281751472,
44.55,2.283107042,2.282517978,
44.584,2.283545017,2.283412476,
44.617,2.285094261,2.283732129,
44.65,2.285313368,2.285043828,
44.684,2.285314322,2.285203742,
44.717,2.286116123,2.285204438,
44.75,2.284993649,2.286116123,
44.784,2.282436371,2.285296892,
44.817,2.280772924,2.282158698,
44.85,2.280590057,2.280944642,
44.884,2.280184269,2.280453894,
44.917,2.280659437,2.280157732,
44.95,2.281317949,2.280640951,
44.984,2.281000376,2.281121562,
45.017,2.282042027,2.281452858,
45.05,2.281267881,2.2822131,
45.084,2.280042648,2.281648095,
45.117,2.278378487,2.279762206,
45.15,2.27833271,2.278547628,
45.184,2.277018785,2.27833271,
45.218,2.277183771,2.27737375,
45.25,2.278037786,2.277359611,
45.284,2.278679371,2.277982909,
45.317,2.280466318,2.279006704,
45.35,2.28184247,2.280310896,
45.384,2.283337116,2.282386672,
45.417,2.286012411,2.283477531,
45.45,2.287264347,2.286350629,
45.484,2.289692402,2.287264347,
45.517,2.290937185,2.289945019,
45.55,2.292954445,2.290853516,
45.584,2.294039011,2.293418907,
45.617,2.296215773,2.294210471,
45.65,2.297806501,2.296645518,
45.684,2.299052954,2.297806501,
45.717,2.300073624,2.299208118,
45.75,2.302006245,2.299953048,
45.784,2.302794695,2.302350646,
45.817,2.304649591,2.302926092,
45.85,2.305800915,2.304279877,
45.884,2.307612181,2.306195299,
45.917,2.307351351,2.30751724,
45.95,2.308139086,2.307564162,
45.984,2.309858799,2.308139086,
46.017,2.310598373,2.310164683,
46.05,2.311462879,2.310704457,
46.084,2.312433958,2.311335411,
46.117,2.313341379,2.312559687,
46.15,2.314405918,2.313221963,
46.184,2.315132141,2.314389043,
46.217,2.315063953,2.314919072,
46.25,2.315809011,2.315265235,
46.284,2.315922737,2.315809011,
46.317,2.315941095,2.315892013,
46.35,2.316497564,2.316055874,
46.384,2.316697836,2.31646201,
46.417,2.316476107,2.316429632,
46.45,2.315147161,2.316267804,
46.484,2.315920353,2.315297881,
46.518,2.316813707,2.316075839,
46.55,2.317350864,2.316727848,
46.584,2.317952871,2.317681611,
46.617,2.319052935,2.318120982,
46.65,2.321100473,2.318923856,
46.684,2.322759151,2.321253512,
46.717,2.322537184,2.322464088,
46.75,2.32194519,2.322377253,
46.784,2.320672274,2.32194519,
46.817,2.319628239,2.32101616,
46.85,2.31956625,2.319628239,
46.884,2.319302559,2.319582997,
46.917,2.319982529,2.319486257,
46.95,2.320824146,2.319982529,
46.987,2.321472406,2.320858026,
47.017,2.321812153,2.321331155,
47.05,2.322865963,2.322096846,
47.085,2.32391119,2.322865963,
47.117,2.325977802,2.323628815,
47.15,2.326808929,2.32589117,
47.184,2.327572584,2.326497763,
47.217,2.329148054,2.327760211,
47.25,2.330081701,2.328910058,
47.284,2.3303864,2.330311968,
47.318,2.332925797,2.330534351,
47.35,2.333944798,2.333139639,
47.384,2.334714174,2.33388335,
47.417,2.334794283,2.334444875,
47.45,2.335275412,2.334796731,
47.484,2.33555007,2.335147879,
47.517,2.33633852,2.335601984,
47.55,2.336972475,2.33617743,
47.584,2.335959196,2.33682343,
47.617,2.335242987,2.336083894,
47.65,2.33539176,2.33540369,
47.684,2.334922075,2.335512271,
47.717,2.334546804,2.334820694,
47.75,2.334470034,2.334546804,
47.784,2.335054159,2.334490774,
47.817,2.335341215,2.335054159,
47.85,2.334975719,2.335242474,
47.884,2.334786177,2.334975719,
47.917,2.334620953,2.33474154,
47.95,2.333965063,2.334620953,
47.984,2.333847761,2.334142256,
48.017,2.333499432,2.333945987,
48.05,2.334536791,2.334624196,
48.084,2.334264755,2.333691761,
48.118,2.334658623,2.334425652,
48.15,2.335319996,2.334837297,
48.184,2.336012602,2.335319996,
48.217,2.336214542,2.33582549,
48.25,2.336632252,2.336214542,
48.284,2.337263107,2.336519405,
48.317,2.337305069,2.33718195,
48.35,2.33754611,2.337212576,
48.384,2.337865114,2.337750097,
48.417,2.339164257,2.337982921,
48.45,2.340040922,2.339401094,
48.484,2.341351748,2.340040922,
48.517,2.341816187,2.341477219,
48.55,2.34221077,2.341816187,
48.584,2.342978001,2.342284648,
48.617,2.342990875,2.342844607,
48.65,2.342172384,2.342769755,
48.684,2.342081308,2.342172384,
48.717,2.340660334,2.341814585,
48.75,2.339271069,2.340777496,
48.784,2.339114904,2.33922888,
48.817,2.337740898,2.339114904,
48.85,2.337756634,2.337605057,
48.884,2.337781429,2.337616541,
48.917,2.33784008,2.337634638,
48.95,2.337862968,2.337916149,
48.984,2.338510752,2.337932854,
