"/ual/odom/pose/pose/position/z_x","/ual/odom/pose/pose/position/z_y","/del_uav/KF_pose/z_y"
5.384,-0.812846899,-0.8172046658,
5.417,-0.7958104014,-0.8106904757,
5.45,-0.7910118103,-0.7982564938,
5.484,-0.7813379765,-0.7870147833,
5.517,-0.7485823631,-0.7799543958,
5.55,-0.7263926268,-0.742954098,
5.584,-0.6960384846,-0.7267590567,
5.617,-0.6799111962,-0.7046052746,
5.65,-0.6666144133,-0.6799111962,
5.684,-0.6486192346,-0.6702066218,
5.717,-0.6261746287,-0.6425556849,
5.75,-0.5852348208,-0.6261746287,
5.784,-0.5692124963,-0.5809062903,
5.817,-0.532767117,-0.5692124963,
5.85,-0.5218943357,-0.5426130626,
5.884,-0.5071083903,-0.5218943357,
5.917,-0.4952052236,-0.5111029053,
5.95,-0.4821832478,-0.4923693445,
5.984,-0.4815600812,-0.4828653364,
6.017,-0.4797946513,-0.4813116348,
6.05,-0.4884141684,-0.4800231467,
6.084,-0.4993373454,-0.4913651325,
6.117,-0.5217282772,-0.4993373454,
6.15,-0.5310683846,-0.5241223422,
6.184,-0.5385524631,-0.5309391616,
6.217,-0.5478438139,-0.5364013697,
6.25,-0.5486037731,-0.5481190228,
6.284,-0.5492228866,-0.5486736744,
6.317,-0.556894362,-0.5492228866,
6.35,-0.5671541691,-0.5548218652,
6.384,-0.5829530358,-0.5696788903,
6.417,-0.5895864964,-0.581209595,
6.45,-0.5930024981,-0.5905093505,
6.484,-0.6012861133,-0.5930024981,
6.517,-0.6128665209,-0.5990482432,
6.55,-0.6237667203,-0.6129633617,
6.584,-0.6279930472,-0.6209188045,
6.617,-0.6299753189,-0.6285285702,
6.65,-0.6346484423,-0.6299753189,
6.684,-0.6320943236,-0.633385969,
6.717,-0.6307394505,-0.6320943236,
6.75,-0.6277350187,-0.6311054779,
6.784,-0.6231614947,-0.6264994528,
6.817,-0.6115662456,-0.6231614947,
6.85,-0.602150619,-0.6090225556,
6.884,-0.5858388543,-0.602150619,
6.917,-0.5539870262,-0.5902455789,
6.95,-0.5404605865,-0.5530614186,
6.984,-0.5357961655,-0.5431892306,
7.017,-0.5201151967,-0.5330255098,
7.05,-0.5165428519,-0.5215808522,
7.084,-0.5151026845,-0.5165024506,
7.117,-0.5058714151,-0.5154513533,
7.15,-0.4979335964,-0.503851759,
7.184,-0.4922930002,-0.4980583913,
7.217,-0.493778944,-0.4923966846,
7.25,-0.4946865737,-0.4934811915,
7.284,-0.5013318062,-0.4941436194,
7.317,-0.5095869303,-0.5018781179,
7.35,-0.5160111785,-0.5079030689,
7.384,-0.5146132708,-0.5165195365,
7.417,-0.5100426674,-0.5154992822,
7.45,-0.4970145226,-0.5087179416,
7.484,-0.4854887128,-0.499209431,
7.517,-0.473244369,-0.4821808273,
7.55,-0.4395124018,-0.473244369,
7.584,-0.4107251167,-0.431176748,
7.617,-0.3611110151,-0.4101665268,
7.65,-0.3428664505,-0.3561821326,
7.684,-0.3295558393,-0.3428664505,
7.717,-0.3136131465,-0.3252872506,
7.75,-0.3089435995,-0.3136515753,
7.784,-0.3069863617,-0.3082763575,
7.817,-0.290822953,-0.3068478797,
7.85,-0.2836579084,-0.288747904,
7.884,-0.2738436759,-0.2835185407,
7.917,-0.2718890905,-0.2733328703,
7.95,-0.2710788846,-0.2719063283,
7.984,-0.2578290403,-0.2713150046,
8.017,-0.2493813038,-0.2578290403,
8.05,-0.2333360165,-0.2516635123,
8.084,-0.2317753732,-0.2333360165,
8.117,-0.2298923135,-0.2321969907,
8.15,-0.219825238,-0.2281339818,
8.184,-0.2127393633,-0.2207865893,
8.217,-0.2066796422,-0.211102292,
8.25,-0.2026846558,-0.2066796422,
8.284,-0.2030709237,-0.2027890085,
8.317,-0.2100830972,-0.2030709237,
8.35,-0.2173995972,-0.2124694813,
8.384,-0.2235978693,-0.2178093833,
8.417,-0.2280212045,-0.2223331537,
8.45,-0.2465460002,-0.2307318137,
8.484,-0.2560095489,-0.2442520208,
8.517,-0.2822851241,-0.2594539037,
8.55,-0.2950328887,-0.278630969,
8.584,-0.3168220818,-0.2981283491,
8.617,-0.3229806423,-0.3140310564,
8.65,-0.3238832057,-0.3231656527,
8.684,-0.3203315735,-0.323824383,
8.717,-0.317024678,-0.3194412466,
8.75,-0.3178266287,-0.3170277294,
8.784,-0.3226071596,-0.3191181188,
8.817,-0.3382048309,-0.3226071596,
8.85,-0.3410679996,-0.3389783337,
8.884,-0.3430756032,-0.3410679996,
8.917,-0.3389915824,-0.3425332367,
8.95,-0.3373067081,-0.3385364031,
8.984,-0.3306358457,-0.3373067081,
9.017,-0.3223364353,-0.3283937084,
9.05,-0.3146905899,-0.3167561625,
9.084,-0.2960253656,-0.3167561625,
9.117,-0.2800345719,-0.2960253656,
9.15,-0.2386386991,-0.2843545841,
9.184,-0.2166501731,-0.2386386991,
9.218,-0.1541054398,-0.22259051,
9.25,-0.1249877661,-0.1541054398,
9.284,-0.0632610172,-0.1328540866,
9.317,-0.03336608037,-0.0632610172,
9.35,-0.006636175327,-0.04144238326,
9.384,0.02173653618,0.001883191399,
9.417,0.06899756193,0.02259083864,
9.45,0.08915542811,0.05708400471,
9.484,0.1123367399,0.08915542811,
9.517,0.1351877898,0.1060741645,
9.55,0.1755249202,0.1410999552,
9.584,0.1902839988,0.1705397593,
9.617,0.1992783993,0.1923610727,
9.65,0.1999282837,0.1989255801,
9.684,0.2121891975,0.1993998941,
9.717,0.2179200053,0.2126464903,
9.75,0.2245770991,0.2168290847,
9.784,0.2307189256,0.2255126259,
9.817,0.2314234674,0.2299951998,
9.851,0.2338568866,0.2319873269,
9.884,0.2280554473,0.2337633428,
9.917,0.2249413133,0.2272141447,
