"/ual/odom/twist/twist/linear/x_x","/ual/odom/twist/twist/linear/x_y","/del_uav/KF_twist/x_y"
4.549,0.07048538796,0.05558059642,
4.583,0.05166174976,0.06117478824,
4.616,0.05116119284,0.07356302092,
4.649,0.04234957648,0.06566125779,
4.683,0.06712604184,0.04608658454,
4.716,0.06132251559,0.02024390007,
4.749,0.06217316909,0.01992619597,
4.783,0.02048780014,0.007954488177,
4.816,0.01985239194,0.002448687603,
4.849,0.005908976353,-0.01071767155,
4.883,0.004897375206,-0.0156095753,
4.916,-0.001435343096,-0.01909298687,
4.949,-0.001219150597,0.0218522048,
4.983,-0.01818597374,0.01698756453,
5.016,0.0437044096,0.02182249745,
5.049,0.03397512906,0.03416598542,
5.083,0.0436449949,0.03269980245,
5.116,0.05833197084,0.02628328057,
5.149,0.0553996049,0.04420090608,
5.183,0.05256656114,0.06252168885,
5.216,0.05840181216,0.04642298437,
5.249,0.1050433777,0.04662993699,
5.283,0.06284596873,0.05792089005,
5.316,0.07325987398,0.03920183274,
5.349,0.07584178011,0.03154708843,
5.383,0.05840366548,0.006853436384,
5.416,0.03309417686,-0.01933819802,
5.449,0.01370687277,-0.01771593636,
5.483,-0.01867639603,-0.04547075486,
5.516,-0.02543187272,-0.03609827145,
5.549,-0.06094150972,-0.0199249717,
5.583,-0.0621965429,-0.006779953451,
5.617,-0.0298499434,-0.003775581045,
5.649,-0.0135599069,-0.03149968398,
5.683,-0.007551162091,-0.03511189072,
5.716,-0.00299936796,-0.02442553881,
5.751,-0.06022378144,-0.04550921579,
5.783,-0.02885107763,-0.06782946308,
5.816,-0.05101843158,-0.04177545699,
5.849,-0.06565892615,-0.03000863484,
5.883,-0.06355091398,-0.02342514327,
5.916,-0.04001726969,-0.02556229271,
5.949,-0.03685028653,-0.05770371591,
5.983,-0.01112458542,-0.06129136616,
6.016,-0.04540743181,-0.03413547302,
6.049,-0.05258273233,-0.001257643253,
6.083,-0.02827094605,0.005994847454,
6.116,0.01748471349,-0.01170026932,
6.149,0.03198969491,-0.03923696785,
6.183,0.01659946136,-0.06661803455,
6.217,0.001526064293,-0.09460703884,
6.249,-0.0232360691,-0.08466662577,
6.283,-0.06921407768,-0.05212090275,
6.316,-0.07933325154,-0.06334481504,
6.349,-0.0242418055,-0.09001058344,
6.383,-0.03668963008,-0.1116815888,
6.416,-0.06002116688,-0.09614118778,
6.449,-0.08336317769,-0.08448400447,
6.483,-0.09228237556,-0.07869730842,
6.516,-0.05896800894,-0.06127236237,
6.549,-0.05739461684,-0.06069706675,
6.583,-0.04254472473,-0.05401184612,
6.616,-0.03139413351,-0.06005141704,
6.649,-0.02802369224,-0.02858643597,
6.683,-0.03010283408,-0.04175111897,
6.716,-0.01717287194,-0.05815564706,
6.749,-0.003502237946,-0.05920322103,
6.783,-0.03631129413,-0.06036580942,
6.816,-0.02840644206,-0.06595378502,
6.849,-0.02073161883,-0.02836255969,
6.883,-0.03190757004,0.0136306942,
6.916,-0.00672511938,0.0311858447,
6.95,0.0272613884,0.01510330666,
6.983,0.0523716894,0.006394214657,
7.016,0.05020661331,-0.01558175872,
7.049,0.05278842931,-0.0153017462,
7.083,0.02883648256,-0.01085908443,
7.116,0.01939650761,-0.04422174017,
7.149,0.03828183114,-0.01152788838,
7.183,-0.00844348034,0.01630545123,
7.216,0.01694422324,0.006773994258,
7.249,0.05261090247,-0.02374926975,
7.283,0.05354798852,0.008695344013,
7.316,0.002501460499,0.03551489068,
7.349,0.05739068803,0.05216426216,
7.383,0.07102978137,0.05465025484,
7.416,0.08432852432,0.002306131578,
7.449,0.08930050968,-0.05793361178,
7.483,0.08461226316,-0.07593565215,
7.516,-0.005867223552,-0.06377560345,
7.549,-0.0218713043,-0.06641253984,
7.583,-0.02755120691,-0.0128722621,
7.616,-0.03282507967,0.00975575891,
7.649,0.0142554758,-0.002379191948,
7.683,0.02951151782,-0.02865251742,
7.716,0.0452416161,-0.06703247246,
7.749,0.01269496516,-0.1405081992,
7.783,-0.004064944912,-0.1323328987,
7.816,-0.1010163983,-0.1238832631,
7.849,-0.1146657974,-0.127594502,
7.883,-0.0877665263,-0.02988814479,
7.916,-0.09518900406,0.002562595687,
7.949,-0.02977628958,0.02511309094,
7.983,0.02512519137,0.00725741934,
8.016,0.05022618187,-0.01418538821,
8.049,0.04451483868,-0.03056437697,
8.083,0.03162922358,-0.03641404505,
8.116,0.00887124607,-0.07892163258,
8.149,-0.002828090103,-0.08247890254,
8.183,-0.03784326516,-0.05177951272,
8.216,-0.07495780508,-0.0123622848,
8.249,-0.02355902544,0.02144002602,
8.283,-0.004724569601,0.06243102852,
8.316,0.04288005205,0.08306193027,
8.349,0.07486205704,0.07528078577,
8.383,0.1061238605,0.07389589222,
8.416,0.1105615715,0.08587472034,
8.449,0.1077917844,0.07587442007,
8.483,0.1217494407,0.08205142921,
8.516,0.1117488401,0.08577088195,
8.549,0.1241028584,0.09766329877,
8.583,0.1415417639,0.1134138518,
8.616,0.1453265975,0.1602079889,
8.649,0.1468277037,0.1437886368,
8.684,0.1804159778,0.1252375126,
8.716,0.2075772737,0.08131013542,
8.749,0.1704750252,0.04991756176,
8.783,0.1326202708,0.06229870056,
8.816,0.09983512353,0.06419886493,
8.849,0.1045974011,0.06257771288,
8.883,0.1083977299,0.06129545025,
8.916,0.1151554258,0.06825946853,
8.949,0.1125909005,0.08472339264,
8.983,0.1065189371,0.06403816189,
9.017,0.1294467853,0.04435810074,
9.049,0.1080763238,0.04087730549,
9.083,0.08871620149,0.04496987512,
9.116,0.07175461098,0.03073004657,
9.149,0.08993975023,0.03435428196,
9.183,0.06146009315,0.03115039223,
9.216,0.05870856391,-0.00977785073,
9.249,0.06230078447,0.00501168987,
9.283,0.01044429854,0.02315749111,
