"/uav_ground_truth/pose/pose/position/z_x","/uav_ground_truth/pose/pose/position/z_y","/ual/pose/pose/position/z_x","/ual/pose/pose/position/z_y","/del_uav/KF_pose/z_x","/del_uav/KF_pose/z_y"
0.247,0.2999973081,0.256,0.192212224,0.283,0.1709020129,
0.267,0.299997306,0.288,0.1439649761,0.316,0.1645813988,
0.287,0.2999973124,0.33,0.1019245386,0.351,0.1071648369,
0.307,0.2999973068,0.354,0.08027134836,0.382,0.1023464245,
0.327,0.2999973089,0.392,0.05454606935,0.415,0.05853959591,
0.347,0.2999973092,0.419,0.02790796757,0.449,0.01350090017,
0.367,0.2999973119,0.456,-0.006320020184,0.483,0.009721237781,
0.387,0.2999973101,0.489,-0.03478743881,0.516,-0.03103637879,
0.407,0.2999973331,0.53,-0.07001116127,0.549,-0.03446642254,
0.427,0.299997331,0.55,-0.08430399746,0.584,-0.0801153911,
0.447,0.2999938945,0.595,-0.1110446975,0.613,-0.1173860509,
0.467,0.3,0.625,-0.1289453506,0.649,-0.1205138156,
0.487,0.3,0.656,-0.147727415,0.684,-0.1454406646,
0.507,0.2999908744,0.689,-0.1688873023,0.717,-0.1475381701,
0.527,0.3000000002,0.719,-0.181900084,0.75,-0.179019038,
0.547,0.3000000002,0.766,-0.1928275526,0.783,-0.1816608805,
0.567,0.3000000002,0.801,-0.1930440068,0.814,-0.1912505508,
0.587,0.3000000001,0.818,-0.1911774129,0.847,-0.1869675724,
0.607,0.3000000002,0.864,-0.1805055887,0.884,-0.1865861473,
0.627,0.3000000001,0.884,-0.1708851755,0.926,-0.1620726781,
0.647,0.3000000001,0.933,-0.1551603675,0.952,-0.160015628,
0.667,0.3000000001,0.958,-0.1425749809,0.984,-0.1354307828,
0.687,0.3,0.994,-0.1189156324,1.017,-0.1333677598,
0.707,0.3,1.025,-0.09007000178,1.049,-0.09369152434,
0.727,0.3000000001,1.058,-0.06559993327,1.084,-0.06342837818,
0.747,0.3000000001,1.092,-0.05571923405,1.115,-0.06088845525,
0.767,0.3000000002,1.123,-0.02574213408,1.149,-0.02867999448,
0.787,0.3000000001,1.165,0.01597676799,1.185,-0.02597703924,
0.807,0.2999999999,1.189,0.03659810126,1.216,0.03135844463,
0.827,0.3000000001,1.224,0.08316553384,1.249,0.1066589401,
0.847,0.3000000001,1.259,0.14283216,1.282,0.1129667186,
0.867,0.2999999999,1.292,0.2098589987,1.316,0.2017156746,
0.887,0.2999908836,1.329,0.2873817682,1.348,0.2091635327,
0.907,0.3,1.371,0.3665866256,1.384,0.3212200446,
0.927,0.3,1.39,0.4051418602,1.425,0.3306570328,
0.947,0.3000000001,1.435,0.4840994179,1.449,0.4380500524,
0.967,0.3000000002,1.459,0.5241670609,1.483,0.5482603391,
0.987,0.3000000002,1.495,0.5870381594,1.515,0.5575091994,
1.007,0.3000000002,1.525,0.6326203346,1.549,0.6262943693,
1.027,0.3000000001,1.565,0.65725559,1.582,0.6649762389,
1.047,0.3000000001,1.599,0.6800008416,1.616,0.6682224075,
1.067,0.3,1.621,0.6864691377,1.648,0.6886599176,
1.087,0.299993955,1.661,0.6899187565,1.682,0.6904111699,
1.107,0.2999939612,1.691,0.6873723269,1.715,0.6876409429,
1.127,0.2999939589,1.731,0.6755104065,1.751,0.6874086067,
1.147,0.2999939575,1.771,0.6630989909,1.787,0.6674406261,
1.167,0.2999939607,1.794,0.669254601,1.816,0.6662438662,
1.187,0.2999939626,1.832,0.6714673042,1.837,0.6661187922,
1.207,0.2999939592,1.87,0.6864936352,1.882,0.6847731359,
1.227,0.2999939602,1.886,0.7097451091,1.916,0.6863385809,
1.247,0.2999939663,1.929,0.7279632688,1.949,0.724495548,
1.267,0.2999939693,1.965,0.7531895638,1.981,0.7502919353,
1.287,0.2999939752,2.001,0.752025187,2.014,0.7524568307,
1.307,0.2999939932,2.039,0.7591624856,2.046,0.7585809282,
1.327,0.2999939758,2.056,0.7570099235,2.082,0.759094844,
1.347,0.3000001906,2.093,0.7570859194,2.116,0.7572356564,
1.367,0.2999999328,2.139,0.7594439983,2.161,0.7570796203,
1.387,0.3000000001,2.165,0.7607093453,2.188,0.7604195667,
1.407,0.3000000001,2.189,0.749799788,2.219,0.7606998771,
1.427,0.3000000002,2.227,0.7297757268,2.253,0.7323554999,
1.447,0.3000000002,2.252,0.7125865221,2.287,0.7299767304,
1.467,0.3000000001,2.295,0.7062530518,2.319,0.7082283413,
1.487,0.3000000002,2.335,0.6927280426,2.348,0.7064098743,
1.507,0.3000000001,2.356,0.6868258119,2.383,0.6884604617,
1.527,0.3000000001,2.395,0.6930048466,2.416,0.6869542225,
1.547,0.3,2.434,0.7059870958,2.449,0.6964462332,
1.567,0.3000000001,2.466,0.730502367,2.483,0.7276642069,
1.587,0.3000000001,2.504,0.7616589069,2.515,0.7302840658,
1.607,0.3000000002,2.538,0.8020632267,2.549,0.7780562564,
1.627,0.3000000002,2.557,0.8296405673,2.583,0.7820533917,
1.647,0.3000000001,2.603,0.8679579496,2.62,0.8435467142,
1.667,0.3,2.626,0.8948174715,2.654,0.9031679357,
1.687,0.3,2.665,0.9231547713,2.693,0.9081713633,
1.707,0.3000000001,2.69,0.9426782131,2.719,0.9504524552,
1.727,0.3000000001,2.73,0.9612301588,2.753,0.953963671,
