"/uav_ground_truth/pose/pose/position/y_x","/uav_ground_truth/pose/pose/position/y_y","/del_uav/KF_pose/y_x","/del_uav/KF_pose/y_y","/ual/pose/pose/position/y_x","/ual/pose/pose/position/y_y"
0.219,0.001213787243,0.215,0.03163688263,0.22,0.04295446351,
0.239,0.001217371204,0.248,0.03211156041,0.262,0.04474728927,
0.259,0.001220652461,0.283,0.03250688347,0.286,0.04676295817,
0.279,0.001223910541,0.314,0.03467711554,0.324,0.05159490556,
0.299,0.001227387007,0.347,0.03648545865,0.351,0.05677749217,
0.319,0.001231027494,0.381,0.03935713998,0.388,0.05521339178,
0.339,0.001234571175,0.415,0.03990745752,0.421,0.04937352613,
0.359,0.001238059184,0.448,0.04036607693,0.462,0.04213591293,
0.379,0.001240679198,0.481,0.03912745359,0.482,0.03814315051,
0.399,0.001241688083,0.516,0.03625243239,0.527,0.02953331918,
0.419,0.001243250228,0.545,0.03385737841,0.557,0.02453074418,
0.439,0.001244818017,0.581,0.03001924153,0.588,0.02038051002,
0.459,0.001249145094,0.616,0.02735469665,0.621,0.01671799272,
0.479,0.00125252797,0.649,0.02472091734,0.651,0.01397896558,
0.499,0.001255939737,0.682,0.02252569985,0.698,0.007306606043,
0.519,0.001259527991,0.715,0.01884753463,0.733,0.0007974224864,
0.539,0.001262960959,0.746,0.01578182767,0.75,-0.001829457702,
0.559,0.001266481709,0.779,0.01276430916,0.796,-0.009746876545,
0.579,0.001270259611,0.816,0.01137323744,0.816,-0.01350303087,
0.599,0.001273813167,0.858,0.008371428109,0.865,-0.01978721842,
0.619,0.001276871473,0.884,0.00586795545,0.89,-0.02178035863,
0.639,0.001279781393,0.916,0.001939024545,0.926,-0.02652361803,
0.659,0.001283078572,0.949,-0.001337017129,0.957,-0.03430947661,
0.679,0.00128662343,0.981,-0.005909533383,0.99,-0.04242934659,
0.699,0.00129044373,1.016,-0.01197627349,1.024,-0.04992587864,
0.719,0.001293811604,1.047,-0.0188653976,1.055,-0.05437366664,
0.739,0.001296746032,1.081,-0.02506438374,1.097,-0.05919296667,
0.759,0.001299451265,1.117,-0.03023142372,1.121,-0.06007076055,
0.779,0.001302305688,1.148,-0.03453726149,1.156,-0.06171213835,
0.799,0.001305098161,1.181,-0.03812774295,1.191,-0.06066994742,
0.819,0.001308439698,1.214,-0.04006138456,1.224,-0.05414810032,
0.839,0.001311466211,1.248,-0.0413185553,1.261,-0.04761798307,
0.859,0.001314125209,1.28,-0.04235755734,1.303,-0.03658848628,
0.879,0.001315443748,1.316,-0.04137982355,1.322,-0.03144136444,
0.899,0.001318760806,1.357,-0.037940435,1.367,-0.0207686387,
0.919,0.001321810515,1.381,-0.03323165895,1.391,-0.01507559512,
0.939,0.001325035343,1.415,-0.02931094133,1.427,-0.008882788941,
0.959,0.001328168986,1.447,-0.02420414628,1.457,-0.001389331068,
0.979,0.001331429153,1.481,-0.02009425701,1.497,0.008390114643,
0.999,0.001334331269,1.514,-0.01666693709,1.531,0.01950847171,
1.019,0.001339138339,1.548,-0.01196654229,1.553,0.02635380253,
1.039,0.001342484483,1.58,-0.00620636953,1.593,0.0325926058,
1.059,0.001345745415,1.614,0.0009934761726,1.623,0.03588112816,
1.079,0.001349139402,1.647,0.006993067875,1.663,0.04103332385,
1.099,0.001352463326,1.683,0.01199311234,1.703,0.04860151187,
1.119,0.001355925453,1.719,0.0180027337,1.726,0.05336915329,
1.139,0.001359417478,1.748,0.02301364647,1.764,0.06203983724,
1.159,0.001362875241,1.769,0.02886369557,1.802,0.0667956993,
1.179,0.001366421547,1.814,0.03558144429,1.818,0.06870120764,
1.199,0.001370010256,1.848,0.04117982094,1.861,0.07056894153,
1.219,0.001373583561,1.881,0.04494272698,1.897,0.07592648268,
1.239,0.001377091281,1.913,0.04807881392,1.933,0.08088479191,
1.259,0.00138101116,1.946,0.05253528946,1.971,0.08932331949,
1.279,0.001382536314,1.978,0.05777872896,1.988,0.08554832637,
1.299,0.001386852243,2.014,0.06030539608,2.025,0.07995939255,
1.319,0.001390073446,2.048,0.0624109554,2.071,0.08207155019,
1.339,0.001393813396,2.093,0.06416557442,2.097,0.0857957527,
1.359,0.001397779535,2.12,0.06563632258,2.121,0.08906557411,
1.379,0.001402033949,2.151,0.06870454843,2.159,0.09756366909,
1.399,0.001405699827,2.185,0.07199539659,2.184,0.1023969054,
1.419,0.001409465924,2.219,0.07657638478,2.227,0.103924863,
1.439,0.00141344236,2.251,0.08039364291,2.267,0.1015133485,
1.459,0.001417294986,2.28,0.08481078901,2.288,0.1010336354,
1.479,0.001420850077,2.315,0.08849208431,2.327,0.1059899107,
1.499,0.001424419951,2.348,0.09156387626,2.366,0.1149384156,
1.519,0.001427853086,2.381,0.09596678178,2.398,0.1128289327,
1.539,0.001431337059,2.415,0.09728752834,2.436,0.1135195568,
1.559,0.001435216757,2.447,0.0983936162,2.47,0.1197181493,
1.579,0.001438894554,2.481,0.09931595252,2.489,0.1247400045,
1.599,0.001442739314,2.515,0.1039094161,2.535,0.1345317215,
1.619,0.001446208824,2.552,0.1077370253,2.558,0.1409344673,
1.639,0.001448778597,2.586,0.1127662664,2.597,0.1533026844,
1.659,0.001452659776,2.625,0.1206398989,2.622,0.1557038873,
1.679,0.001456180785,2.651,0.1253578969,2.662,0.1456463933,
1.699,0.001458407013,2.685,0.1266297685,2.701,0.1421387196,
1.719,0.001462281833,2.717,0.127690206,2.731,0.1437120289,
1.739,0.001466202646,2.748,0.1285761235,2.77,0.1483916193,
1.759,0.001469895798,2.783,0.1313027033,2.79,0.151739195,
1.779,0.001473746404,2.817,0.1335806084,2.833,0.1429354548,
1.799,0.001477482869,2.851,0.1336448623,2.855,0.1390412897,
1.819,0.00147718188,2.881,0.1323323395,2.9,0.1369345486,
1.839,0.0014804393,2.931,0.1312246747,2.921,0.1373471767,
1.859,0.001484357738,2.956,0.1302856166,2.96,0.1450083405,
1.879,0.001488347978,2.998,0.1313840843,2.992,0.1513619572,
1.899,0.001492142247,3.019,0.134142478,3.023,0.1568921953,
1.919,0.001495701782,3.055,0.138287494,3.052,0.1559182703,
1.939,0.001499226968,3.096,0.1398991357,3.079,0.1550661623,
1.959,0.001502826462,3.125,0.141245506,3.126,0.1518719196,
1.979,0.00150674368,3.157,0.1423678708,3.148,0.1499693543,
1.999,0.00151023867,3.189,0.1433032945,3.19,0.149430573,
2.019,0.001513340268,3.218,0.1440865659,3.236,0.1404939145,
2.039,0.001517044219,3.261,0.1433742266,3.266,0.1393186152,
2.059,0.001520702824,3.284,0.1427809565,3.291,0.1351069659,
2.079,0.001524473123,3.318,0.1422864274,3.331,0.1310952157,
2.099,0.001528049049,3.361,0.1400339917,3.355,0.1298582852,
2.119,0.001531503232,3.394,0.1381572559,3.403,0.1253219694,
2.139,0.001534711093,3.418,0.1342727515,3.428,0.1240646541,
2.159,0.001538061808,3.448,0.1310340781,3.463,0.1243463308,
2.179,0.001541542468,3.481,0.1295327926,3.5,0.1262969226,
2.199,0.001545025357,3.514,0.1295272097,3.522,0.12860021,
2.219,0.001548748549,3.54,0.1295226324,3.562,0.1357689053,
2.239,0.001552297097,3.585,0.1313616176,3.603,0.1412533969,
