"/uav_ground_truth/pose/pose/position/x_x","/uav_ground_truth/pose/pose/position/x_y","/del_uav/KF_pose/x_x","/del_uav/KF_pose/x_y","/ual/pose/pose/position/x_x","/ual/pose/pose/position/x_y"
1.957,0.00163669212,3.156,0.102379229,3.174,0.1241655648,
1.977,0.001639531465,3.199,0.1045154517,3.204,0.1246719137,
1.997,0.001642394751,3.222,0.1062953861,3.229,0.1224583015,
2.017,0.001645439522,3.256,0.1077785882,3.269,0.1212147251,
2.037,0.001648270587,3.299,0.1071583558,3.293,0.1209784895,
2.057,0.001651246936,3.332,0.1084965197,3.341,0.1188911572,
2.077,0.001654292264,3.356,0.1099150983,3.366,0.1186347976,
2.097,0.001657097057,3.386,0.1110985225,3.401,0.1192660928,
2.117,0.001659711949,3.419,0.1116538196,3.438,0.1206557006,
2.137,0.001662631731,3.452,0.1104744241,3.46,0.1224272177,
2.157,0.00166595496,3.478,0.1113469183,3.5,0.1280591786,
2.177,0.001669026171,3.523,0.1120739958,3.541,0.1316869557,
2.197,0.001671934332,3.553,0.112679881,3.573,0.1262566894,
2.217,0.001674686796,3.586,0.113184949,3.606,0.1266354024,
2.237,0.001677158598,3.62,0.1136059022,3.639,0.1285984814,
2.257,0.001679705405,3.654,0.1159310643,3.666,0.1323509067,
2.277,0.001682467139,3.686,0.1197240555,3.696,0.1397877932,
2.297,0.001685493118,3.72,0.1211645863,3.73,0.1378783435,
2.317,0.001688053059,3.756,0.1223659793,3.771,0.1333354115,
2.337,0.00169047884,3.794,0.1233684953,3.792,0.1346393377,
2.357,0.001692796439,3.823,0.1254776061,3.833,0.1370130032,
2.377,0.00169523237,3.856,0.1272348374,3.872,0.1438411921,
2.397,0.001698141886,3.889,0.1286997218,3.891,0.1487123519,
2.417,0.001700936804,3.924,0.1317764064,3.936,0.1519915462,
2.437,0.001703661635,3.959,0.1343410171,3.974,0.1470462978,
2.457,0.001706952685,3.994,0.1359408175,3.993,0.1457639784,
2.477,0.001709994314,4.034,0.1354185602,4.036,0.1432207227,
2.497,0.001711998051,4.059,0.1349856495,4.058,0.1432190537,
2.517,0.001714217881,4.092,0.1364803223,4.102,0.1508999467,
2.537,0.001715045051,4.121,0.1389616553,4.142,0.1602553129,
2.557,0.001722295366,4.153,0.1428841219,4.16,0.1600015461,
2.577,0.001725511487,4.185,0.1461391372,4.199,0.1638766676,
2.597,0.00172688218,4.217,0.1480477254,4.23,0.169031769,
2.617,0.001729878682,4.251,0.1514949268,4.271,0.1767509878,
2.637,0.001732487423,4.287,0.1543760588,4.299,0.1808479726,
2.657,0.001734982967,4.326,0.1566490954,4.334,0.1793493629,
2.677,0.001737321255,4.352,0.1611590178,4.367,0.1782058328,
2.697,0.001739881842,4.388,0.1649175143,4.388,0.176496163,
