"/uav_ground_truth/pose/pose/position/x_x","/uav_ground_truth/pose/pose/position/x_y","/del_uav/KF_pose/x_x","/del_uav/KF_pose/x_y","/ual/pose/pose/position/x_x","/ual/pose/pose/position/x_y"
0.243,0.0008777285578,0.257,-0.001482836313,0.305,0.01189980563,
0.263,0.0008806744823,0.286,-0.002221226582,0.327,0.01280686259,
0.283,0.0008838787599,0.32,-0.001830328502,0.353,0.01378575619,
0.303,0.0008868309699,0.348,-0.001472566272,0.405,0.01416171622,
0.323,0.000889524545,0.385,-0.001148540263,0.438,0.01394512318,
0.343,0.0008918820154,0.415,0.001712846936,0.469,0.01300842501,
0.363,0.0008943547001,0.438,0.004301344703,0.504,0.01166226435,
0.383,0.0008974449746,0.492,0.006630586806,0.522,0.01069252938,
0.403,0.0009001822383,0.517,0.008737167524,0.565,0.008221222088,
0.423,0.0009029333296,0.544,0.009568306607,0.6,0.006039762869,
0.443,0.0009056669173,0.584,0.01030776243,0.632,0.004445692524,
0.463,0.0009083373314,0.62,0.007927006886,0.653,0.004280817229,
0.483,0.0009109311962,0.655,0.00577269308,0.69,0.005321624223,
0.503,0.0009137433653,0.686,0.003823278502,0.738,0.008351260796,
0.523,0.0009163865614,0.721,0.003589644733,0.771,0.01055964641,
0.543,0.0009189762588,0.752,0.003379231288,0.792,0.0111753745,
0.563,0.0009218337201,0.787,0.003189030174,0.825,0.01094312593,
0.583,0.0009247976476,0.819,0.00351687354,0.861,0.01203324366,
0.603,0.0009264723411,0.852,0.004872717183,0.896,0.0133668473,
0.623,0.0009278742901,0.886,0.006099520093,0.928,0.01461169217,
0.643,0.0009298614435,0.919,0.005278235655,0.963,0.0162583515,
0.663,0.0009324276308,0.953,0.004532100084,0.997,0.01710757986,
0.683,0.0009355010616,0.984,0.003856225134,1.035,0.01781878993,
0.703,0.0009384984223,1.016,0.005188487752,1.068,0.01651866734,
0.723,0.0009412625514,1.052,0.006394022409,1.1,0.01677797176,
0.743,0.0009440837034,1.085,0.00747990276,1.138,0.0167125389,
0.763,0.0009468142704,1.12,0.008604882672,1.169,0.01649315096,
0.783,0.0009494908121,1.153,0.009622225332,1.201,0.01877168939,
0.803,0.0009522173385,1.186,0.01053386545,1.231,0.02251465432,
0.823,0.0009546718436,1.219,0.008868346523,1.266,0.02382620424,
0.843,0.0009571883089,1.254,0.008418927039,1.305,0.0258001741,
0.863,0.0009599959925,1.284,0.01078441702,1.325,0.02531354316,
0.883,0.000962898156,1.321,0.01294461931,1.373,0.02319361083,
0.903,0.0009654712487,1.357,0.01490090558,1.391,0.02213291079,
0.923,0.00096802025,1.389,0.01541737786,1.424,0.02071411349,
0.943,0.0009704998975,1.419,0.01482565457,1.459,0.01762521453,
0.963,0.0009730734777,1.452,0.01429103845,1.506,0.0133701833,
0.983,0.0009754420216,1.483,0.01511872343,1.529,0.010440927,
1.003,0.0009793899808,1.52,0.0158667065,1.555,0.007288352586,
1.023,0.0009817891226,1.553,0.01546763187,1.601,0.001728740986,
1.043,0.0009842006859,1.588,0.01510506491,1.638,-0.004811699968,
1.063,0.0009868554251,1.621,0.01476931745,1.638,-0.004811699968,
1.083,0.0009894963043,1.651,0.01446484848,1.691,-0.00825392548,
1.103,0.0009922457745,1.686,0.01418079852,1.732,-0.01295407675,
1.123,0.0009949611225,1.724,0.01212388826,1.771,-0.01698147506,
1.143,0.0009976258281,1.752,0.009203781419,1.803,-0.01827602834,
1.163,0.001000411353,1.79,0.006926648269,1.84,-0.01995738409,
1.183,0.00100278761,1.819,0.004865888798,1.859,-0.01905361563,
1.203,0.001005071918,1.853,0.00299557537,1.893,-0.01874168776,
1.223,0.001007478438,1.885,0.001302777258,1.934,-0.01746058092,
1.243,0.001007383018,1.917,0.001066522017,1.967,-0.0194125101,
1.263,0.001011872001,1.952,0.0008526609541,1.993,-0.02105810121,
1.283,0.001014132565,1.987,-0.00127921526,2.033,-0.02513147891,
1.303,0.001016752305,2.021,-0.003207955481,2.068,-0.02604019269,
1.323,0.001015267699,2.052,-0.006012173302,2.088,-0.02275412343,
1.343,0.001015211036,2.086,-0.008549630281,2.127,-0.01896111853,
1.363,0.001017510175,2.119,-0.008026847098,2.158,-0.01397681609,
1.383,0.001019948623,2.153,-0.007553680721,2.198,-0.0114212241,
1.403,0.001022718595,2.185,-0.007129269259,2.237,-0.009580180049,
1.423,0.001025210378,2.221,-0.007346264002,2.257,-0.00860844925,
1.443,0.001027888583,2.252,-0.007049640415,2.306,-0.005788192619,
1.463,0.001030525161,2.294,-0.006781214105,2.339,-0.004923751578,
1.483,0.001033109919,2.32,-0.00653470626,2.363,-0.004363368265,
1.503,0.001035657412,2.35,-0.006311525983,2.394,-0.007744829636,
1.523,0.00103807235,2.385,-0.006107524299,2.438,-0.01206334587,
1.543,0.001040112061,2.419,-0.004120994982,2.461,-0.01867041364,
1.563,0.001042661701,2.451,-0.003382377082,2.482,-0.02149550244,
1.583,0.001045199784,2.486,-0.002714086192,2.529,-0.02772095799,
1.603,0.001047503495,2.519,-0.004909236258,2.567,-0.03343508393,
1.623,0.001052149341,2.554,-0.006488989373,2.587,-0.03687804192,
1.643,0.001053772898,2.588,-0.008977488711,2.636,-0.03926468641,
1.663,0.001056224177,2.619,-0.01122981817,2.657,-0.04039368778,
1.683,0.001059073089,2.656,-0.01326892091,2.697,-0.03615767136,
1.703,0.001062121853,2.687,-0.01511425854,2.738,-0.03005596809,
1.723,0.001064978035,2.723,-0.01641593337,2.757,-0.02759870701,
1.743,0.001067654647,2.752,-0.01653480479,2.805,-0.0220251698,
1.763,0.001070076712,2.786,-0.01663842805,2.825,-0.02105358616,
1.783,0.001073749649,2.819,-0.01629602776,2.857,-0.01858451404,
1.803,0.001076197236,2.853,-0.01598514306,2.899,-0.01803270541,
1.823,0.001076689628,2.886,-0.01592282767,2.938,-0.01598800905,
1.843,0.001078713937,2.929,-0.01586645445,2.957,-0.01494518109,
1.863,0.001081091192,2.953,-0.01581495797,2.994,-0.01197856572,
1.883,0.00108345972,2.988,-0.01576836514,3.032,-0.008920316584,
1.903,0.001085978983,3.019,-0.01554587046,3.063,-0.006485034712,
1.923,0.001088621248,3.052,-0.01428562379,3.105,-0.007392437197,
1.943,0.001092390527,3.086,-0.01336085456,3.124,-0.009257973172,
1.963,0.001092199829,3.118,-0.01251717208,3.16,-0.009950573556,
1.983,0.00109203391,3.155,-0.01175315855,3.196,-0.008481282741,
2.003,0.001096559595,3.185,-0.01105439201,3.225,-0.008098496124,
2.023,0.001098534132,3.227,-0.01003604476,3.262,-0.008850042708,
2.043,0.001100106002,3.254,-0.009114622835,3.295,-0.008481274359,
2.063,0.001100460096,3.287,-0.008281539912,3.326,-0.007093378808,
