"/uav_ground_truth/pose/pose/position/x_x","/uav_ground_truth/pose/pose/position/x_y","/del_uav/KF_pose/x_y","/ual/pose/pose/position/x_y"
0.328,0.001717182701,0.01147694465,-0.0801043734,
0.348,0.001721899657,0.0174834689,-0.06522131711,
0.368,0.001726898307,0.02397720918,-0.05569742993,
0.388,0.001732465421,0.02963464435,-0.04271728173,
0.408,0.001737541871,0.03687278575,-0.03416859359,
0.428,0.001742445008,0.04499007613,-0.015750641,
0.448,0.001747410098,0.05339968382,-0.0100116767,
0.468,0.001752690908,0.0610103546,0.001677697757,
0.488,0.001757875763,0.06895669457,0.01010174677,
0.508,0.001763717212,0.07559397992,0.01498910971,
0.528,0.001770158207,0.08266059533,0.0244740583,
0.548,0.001775871552,0.09011362888,0.03255975246,
0.568,0.001778773754,0.09756038962,0.0387314409,
0.588,0.001777538079,0.1053571323,0.04165697098,
0.608,0.00178470086,0.1124039798,0.0449690409,
0.628,0.001789378559,0.1207490635,0.0493786931,
0.648,0.001794394195,0.1269247372,0.05086639151,
0.668,0.001800845963,0.1325137939,0.05177492648,
0.688,0.001807224287,0.1386357529,0.05312957987,
0.708,0.001813001987,0.1441754019,0.05852211267,
0.728,0.001816985912,0.1502471466,0.06291098148,
0.748,0.001822326198,0.1557413845,0.06621485204,
0.768,0.001827732707,0.1607130339,0.06443054974,
0.788,0.001833659461,0.1652120588,0.06270346791,
0.808,0.001839636978,0.1686392237,0.05811701342,
0.828,0.001845554194,0.1717400738,0.0554853119,
0.848,0.001851333301,0.1745459561,0.05334783345,
0.868,0.001857084737,0.1749570267,0.05500559881,
0.888,0.00185894919,0.1753212171,0.05280694738,
0.908,0.001862978609,0.1756501189,0.04815579951,
0.928,0.001868889166,0.1759421205,0.04631463066,
0.948,0.001874397327,0.1762058806,0.04334354401,
0.968,0.001879866634,0.1768483146,0.03970936313,
0.988,0.001885175699,0.1774294437,0.03420510888,
1.008,0.001890148992,0.1779526347,0.03085760027,
1.028,0.001895486621,0.1762873254,0.02003511973,
1.048,0.001901355178,0.1747795068,0.00642032735,
1.068,0.00190729082,0.1712972915,-0.0005994986859,
1.088,0.001913153641,0.1693330213,-0.01654107682,
1.108,0.00191910992,0.1664967673,-0.02640389092,
1.128,0.001924614386,0.1628714772,-0.03947050124,
1.148,0.001930235325,0.1585332454,-0.04256908596,
1.168,0.001935666928,0.1546078504,-0.04999793321,
1.188,0.001941023605,0.1494787822,-0.05320023373,
1.208,0.001946167637,0.1448378084,-0.05616649985,
1.228,0.001951496158,0.1395815703,-0.0584509708,
1.248,0.00195722299,0.1342121343,-0.05633710697,
1.268,0.001962466853,0.1293538483,-0.05054876953,
1.288,0.001967891916,0.126023709,-0.04736818373,
1.308,0.001973131639,0.1239407674,-0.03875511885,
1.328,0.001978591279,0.1231068702,-0.03459697217,
1.348,0.00198530237,0.1223417014,-0.03039682098,
1.368,0.001991261225,0.1227075658,-0.02561405301,
1.388,0.001995853161,0.1232784848,-0.01965030096,
1.408,0.002001729778,0.1248482203,-0.01510605589,
1.428,0.002007369955,0.1254654178,-0.0113542797,
1.448,0.002013138006,0.1262278482,-0.004256336484,
1.468,0.00201858669,0.1280943043,0.003641498974,
1.488,0.002023955799,0.1297838147,0.008761442266,
1.508,0.002029042205,0.1313120792,0.01603003591,
1.528,0.00203437588,0.1337542169,0.02272954956,
1.548,0.002039678975,0.1359616942,0.02719735913,
1.568,0.002044976295,0.1384022057,0.03909832984,
1.588,0.002051250997,0.1416673516,0.0435870029,
1.608,0.00205776529,0.1446215669,0.05079073086,
1.628,0.002056202401,0.1483487143,0.05348879471,
1.648,0.002062170903,0.1517208716,0.06180947274,
1.668,0.00206789752,0.1569929809,0.07341812551,
1.688,0.002073471316,0.161764457,0.07939644903,
1.708,0.002079699498,0.1670416356,0.09459260106,
1.728,0.002085850041,0.171814442,0.1045037955,
1.748,0.002091746383,0.1782508498,0.1074577421,
1.768,0.002097711888,0.1840719325,0.1143716499,
1.788,0.002103357141,0.1893389303,0.1203446165,
1.808,0.002109231975,0.1956719263,0.1321540922,
1.828,0.002115149386,0.2024609819,0.1459426582,
1.848,0.002121055772,0.2096583169,0.1503358334,
1.868,0.002126491669,0.217229837,0.1481697261,
1.888,0.002131780874,0.2243895665,0.1466188431,
1.908,0.002137204648,0.2308715066,0.1470306516,
1.928,0.002143180356,0.2367372573,0.1451783627,
1.948,0.002149483366,0.2413605,0.1488308907,
1.968,0.002155434239,0.2455431265,0.1422438323,
1.988,0.002161548049,0.2493228497,0.1350536346,
2.008,0.00216756552,0.251674546,0.1325039715,
2.028,0.002171171864,0.2539357737,0.123726815,
2.048,0.002178274797,0.2559875044,0.1213586926,
2.068,0.002180767103,0.257844672,0.1236998588,
2.088,0.002186343825,0.2575193136,0.1190081313,
2.108,0.002193297749,0.2572232534,0.1150772944,
2.128,0.002198052473,0.2558783522,0.1127141416,
2.148,0.00220370742,0.2546437125,0.1119297072,
2.168,0.002209442495,0.2553894338,0.1092683747,
2.188,0.002215070933,0.2560731411,0.1073545814,
2.208,0.002220833362,0.2546153387,0.09850590676,
2.228,0.002227162286,0.2532928732,0.09481865168,
2.248,0.002233248095,0.2510381151,0.09135765582,
2.268,0.002238465616,0.2506257992,0.08626209944,
2.288,0.002244741209,0.2491820249,0.07873854786,
2.308,0.002250800773,0.2478675918,0.0726646632,
2.328,0.002256413067,0.243746927,0.06693907827,
2.348,0.002261931162,0.240022112,0.05452178419,
2.368,0.002267555693,0.235592971,0.03930848092,
2.388,0.002273403571,0.2310515594,0.02539801225,
2.408,0.002278571504,0.2258800719,0.01285018958,
2.428,0.002285163305,0.2190822811,0.008523002267,
2.448,0.002291638993,0.2122051597,0.001371337334,
2.468,0.002297594347,0.2059836831,0.003993713297,
2.488,0.002303675776,0.1997759484,0.008758106269,
2.508,0.002309090008,0.194157818,0.01204849686,
2.528,0.002314792485,0.1890740929,0.01290561073,
2.548,0.002320517829,0.185531902,0.01524207927,
2.568,0.002326188401,0.1827584478,0.02222978137,
2.588,0.002331767599,0.1802487816,0.02648213878,
2.608,0.002337516994,0.179037677,0.03553206101,
2.628,0.002343557014,0.1790006324,0.04052840173,
2.648,0.002349262928,0.1795010314,0.04988101497,
2.668,0.002354961468,0.1810123174,0.05862890556,
2.688,0.002361124534,0.1834319163,0.06119710207,
2.708,0.002367261251,0.1856128963,0.04457482323,
2.728,0.002373511284,0.1865268492,0.03708653897,
2.748,0.002379667689,0.185213498,0.02909715846,
2.768,0.002385637397,0.1829661099,0.01097142324,
